Q93553	A0A087WNU1
P34255	P24547
O02155	P24549
Q17436	P24610
V6CLE7	P24638
Q11194	P24788
Q93839	P24860
Q17905	P25118
Q9TZA5	P25119
O44821	P25206
O17917	P25233
G5ECL7	P25322
O76630	P25425
Q9N4Y8	P25444
Q18014	P25446
Q966L5	P25799
G5EEX3	P25801
G5EBV3	P25911
P34886	P25916
Q9GUC8	P25976
Q23463	P26039
G5EBF1	P26040
O45784	P26041
U4PCM1	P26043
Q9N3R6	P26049
Q9XUE5	P26231
Q95QH1	P26323
Q867X0	P26339
O62504	P26350
P52874	P26361
O76371	P26369
Q8MQ42	P26443
G5EDF6	P26450
O02640	P26516
G5EF97	P26618
Q22633	P26638
Q19196	P26645
Q22472	P26687
P90970	P26883
Q95QF1	P27038
Q19103	P27040
G5EF57	P27046
P90788	P27048
Q18310	P27467
P0DM41	P27546
Q17692	P27577
G5EF65	P27600
Q86NH1	P27601
Q8IG69	P27612
P91276	P27641
A0A4V0IJR4	P27656
O18240	P27659
Q17832	P27661
O61749	P27671
P34500	P27699
P50464	P27773
Q19848	P27782
Q22459	P27786
Q9TYQ6	P27790
O16885	P27808
P27639	P27870
O01767	P27889
O02482	P28028
Q95PX9	P28033
O44650	P28047
G5EF32	P28063
Q22768	P28076
H2KYP0	P28184
Q95NM6	P28271
P53795	P28293
O01815	P28301
Q09535	P28352
Q9TYM3	P28357
Q20117	P28359
Q7YWM3	P28474
Q8IG45	P28481
O01820	P28574
O16226	P28649
Q20496	P28650
P34708	P28652
G5EGL5	P28653
Q95YA9	P28656
Q95XQ8	P28658
Q8MXI1	P28659
Q9N5S3	P28660
Q95XL1	P28661
Q9NES8	P28663
O17229	P28665
Q9XWW1	P28666
Q8IG72	P28700
Q20198	P28705
P34563	P28738
P91252	P28740
Q22167	P28741
Q9U325	P28776
Q10924	P28798
Q9U1Y5	P28828
O44797	P28843
A0A4V0IKG6	P28867
G5EF37	P29037
Q27522	P29268
Q9U757	P29319
G5EEM0	P29341
L8E938	P29351
Q9XVQ1	P29387
Q8ITV5	P29391
Q19007	P29416
Q95PV7	P29533
Q19547	P29595
H2KYW1	P29621
Q9TXR4	P29699
Q19569	P29754
P43510	P29758
Q23294	P29788
P34328	P29974
O16643	P30051
O44624	P30275
P09588	P30285
Q19185	P30306
O16216	P30415
P02567	P30416
Q9U3M2	P30554
Q9TYQ2	P30561
U4PER8	P30658
Q21374	P30677
A0A2K5ATM2	P30681
O44857	P30730
Q22631	P30999
Q18320	P31001
Q9TZ90	P31230
Q17868	P31245
Q95XC8	P31254
Q9N5L4	P31266
O61967	P31310
O62518	P31311
Q20277	P31315
Q20921	P31316
O61861	P31324
O01735	P31362
Q9GUE9	P31428
Q95QQ9	P31648
Q09518	P31650
Q23149	P31695
Q95Y80	P31725
Q19626	P31750
Q22851	P31786
O17953	P31938
Q9XUK7	P32020
Q20683	P32037
Q9U1R0	P32043
Q9N359	P32067
P91357	P32082
G5EE16	P32114
G5EDD4	P32233
Q18932	P32261
Q10003	P32442
G5ECD1	P32443
A0A168H651	P32507
Q95PY4	P32648
O62258	P32848
G5ED04	P32883
P13508	P32921
G5EF16	P32958
Q8IG73	P33033
P91185	P33173
G5EDT1	P33174
Q22886	P33175
Q22145	P33215
Q20819	P33242
Q8MNV8	P33267
Q8IG65	P33434
Q20002	P33587
G5EGD5	P33609
G5EE07	P33610
Q9TVW5	P33611
Q86FL8	P34022
Q23615	P34056
Q19537	P34152
O01800	P34821
Q18097	P34914
Q8I4H5	P34927
Q93334	P34960
Q9XXL8	P35123
O01427	P35235
Q94248	P35276
Q27274	P35278
Q21701	P35279
O45069	P35282
O45829	P35283
H8ESF1	P35293
A0A3P6N624	P35329
Q9U237	P35374
Q94125	P35396
Q5WRU9	P35428
Q21418	P35436
Q9XWH0	P35438
P49404	P35441
Q18543	P35454
Q966C7	P35486
Q09463	P35487
Q22717	P35492
Q18033	P35546
G5EGF2	P35550
Q9N538	P35561
P34815	P35564
Q20634	P35569
G5EDN6	P35582
Q93758	P35585
P20163	P35601
P34430	P35639
Q9N5M2	P35700
Q22570	P35737
O17982	P35762
Q09530	P35802
G5ECU5	P35803
O45749	P35821
P34342	P35822
P91529	P35917
K8F807	P35918
O45521	P35922
Q09652	P35951
Q23680	P35969
O01692	P35979
Q9U332	P35980
O16785	P35991
Q18700	P36371
P50437	P36536
B2FDA6	P36552
Q19536	P36916
Q95XQ1	P36993
Q8MQ70	P37040
P91351	P37172
Q94402	P37238
G5ECF9	P37242
O44509	P37804
Q9U3D4	P37889
O01864	P37913
Q21268	P38060
P18831	P38532
Q09248	P38647
Q18529	P39053
P34537	P39054
E9P864	P39061
Q20344	P39087
P34748	P39098
Q18412	P39429
G5EFS1	P39447
H2L2B8	P39654
W6RTA4	P39688
O16502	P39689
Q18838	P39749
O01590	P40124
Q86FL7	P40201
U4PBX8	P40223
Q17848	P40336
Q9XUS2	P40338
Q95X94	P40630
A0A2C9C377	P40645
P53703	P40694
Q8WQD4	P40749
Q09260	P40764
P61866	P41105
E9P861	P41133
G5EC05	P41136
Q18942	P41139
Q95ZQ7	P41149
O16406	P41155
Q9XVP1	P41158
Q23646	P41183
Q9XVA8	P41216
O18167	P41230
Q21080	P41241
Q9U211	P41242
U4PRX8	P41251
O76412	P41317
Q9GUM1	P41539
O44740	P41731
Q9TZM9	P41778
Q9GP94	P41969
Q86D25	P41971
Q965S8	P42125
Q9NAB2	P42128
Q18603	P42208
Q9XW58	P42225
O16637	P42227
Q23174	P42230
Q19640	P42232
Q8I136	P42337
O18246	P42567
Q18473	P42582
Q21955	P42669
Q965K5	P42682
G5ED36	P42703
P48181	P42859
Q9U308	P42932
P35129	P43006
Q22909	P43024
Q21499	P43120
Q09314	P43136
Q09485	P43241
A5Z2T6	P43247
O18259	P43267
Q20374	P43274
Q19326	P43275
G5EET3	P43276
O76387	P43277
O16582	P43345
G5EG49	P43404
Q09562	P43406
Q9GYI2	P43407
Q20681	P45376
P34595	P45448
O17915	P45481
O02207	P45591
Q11117	P45878
Q9NLD1	P45952
P20154	P46061
P91205	P46062
P34371	P46096
Q95YD5	P46097
Q09655	P46412
P19826	P46414
Q20520	P46425
P34604	P46460
Q9XUS7	P46467
Q20938	P46471
Q20330	P46638
Q09232	P46656
P34690	P46660
Q09603	P46662
Q9XVD5	P46664
O02045	P46684
G5EBP5	P46735
Q21372	P46737
P41848	P46935
O16364	P46938
Q95Q62	P46978
A7WK41	P47199
U4PAR9	P47242
Q965V9	P47708
Q9XTJ4	P47713
P91453	P47738
Q8IG64	P47739
Q9GYP8	P47746
O01789	P47753
P18334	P47754
P90829	P47757
O16454	P47758
H1UBJ3	P47791
Q22497	P47802
Q9XWI6	P47806
G5EBV0	P47809
O02252	P47810
A0A0K3AWU9	P47811
G5EF90	P47856
P91020	P47857
Q9N5U9	P47867
Q9U1U1	P47877
O01802	P47911
O16932	P47915
G5EEM6	P47934
H2L0E2	P47936
Q18075	P47941
P20271	P47955
P52821	P47962
P91913	P47963
Q18502	P47964
P91997	P47968
G5EF03	P48024
Q9BLC3	P48025
G5EF29	P48036
G5EGR8	P48193
Q18677	P48281
Q95QD7	P48298
P90993	P48301
H2KZB2	P48316
O18195	P48318
K8ESB4	P48320
Q45EL5	P48356
Q9XVZ9	P48377
G5EFG5	P48379
Q9NAE4	P48432
Q9BL46	P48437
P55216	P48453
Q3HKB7	P48455
P30646	P48542
Q21297	P48545
G5ED66	P48678
Q21902	P48722
Q9N5U5	P48725
Q9XWD9	P48744
P23678	P48754
A8WHU4	P48758
Q27245	P48771
Q9U2I4	P48774
O16318	P48787
O02328	P48962
Q26261	P48972
Q20011	P48985
Q10926	P48999
O45599	P49025
Q9TXU0	P49117
A0A486WV95	P49135
Q95Y89	P49138
O16946	P49290
P91482	P49312
Q7JKP2	P49442
Q8MQ20	P49443
G5EGH3	P49446
P34621	P49586
Q19826	P49615
O02209	P49698
I2HAI1	P49710
P34647	P49717
H2L2B3	P49718
Q17994	P49722
A3RMT9	P49766
G5ECF8	P49769
Q22945	P49813
O18041	P49817
O45443	P49935
G5EBG4	P49962
Q9XVK5	P50096
P34709	P50114
O01546	P50136
G4SC46	P50149
Q18453	P50171
Q9U2M8	P50220
P52017	P50247
Q9GUF2	P50396
Q19306	P50404
O17526	P50427
G5ECQ1	P50429
J7SF93	P50431
Q19989	P50446
Q17821	P50462
Q94045	P50481
Q19853	P50516
P91283	P50518
Q1HAZ8	P50540
O18017	P50543
P34575	P50544
G5EEL3	P50580
Q7YTL5	P50586
Q23331	P50608
Q23073	P50615
Q10014	P50636
Q18538	P50637
G5EF98	P51125
Q20129	P51141
Q9XVS7	P51150
Q93540	P51162
P34545	P51174
Q09584	P51180
Q11176	P51410
P34710	P51432
Q21801	P51450
O17977	P51637
G5EED4	P51655
O02161	P51660
A0A8D9IN58	P51829
Q8WQF7	P51830
O62277	P51855
Q93873	P51859
O44625	P51860
G5EG76	P51863
O45865	P51881
P46576	P51885
Q20814	P51908
Q95QU3	P51943
O62012	P51944
O45419	P51954
Q9GRZ5	P52189
O45797	P52293
Q93561	P52332
Q09385	P52431
Q23378	P52432
P90897	P52479
P46562	P52480
Q9BKR2	P52482
O45924	P52483
Q94272	P52503
V6CJ04	P52623
K8ESG0	P52633
O62347	P52734
O44572	P52785
Q9N361	P52787
Q400M3	P52793
O01763	P52795
Q95YE2	P52800
O16928	P52801
Q9XUP3	P52825
Q17884	P52875
G5EDS1	P52912
O17817	P52927
Q95Y07	P52946
Q22592	P52950
Q86DC2	P52955
Q17632	P52963
Q93934	P53026
Q20471	P53395
Q17381	P53566
Q19742	P53568
P91130	P53569
A0A2C9C3I4	P53612
Q7JL61	P53668
Q9XVR3	P53690
Q9XWU2	P53702
Q95017	P53762
Q9N366	P53776
Q7YZG1	P53808
Q09294	P53810
Q9U3I4	P53811
G5EEL9	P53986
O16297	P53994
Q9N3C9	P53995
Q9Y041	P53996
Q9XWT3	P54071
Q9N412	P54099
Q23644	P54103
O01804	P54116
P91375	P54227
Q19418	P54254
Q9U299	P54276
Q9U280	P54285
P34554	P54320
O17087	P54726
Q10050	P54728
Q20757	P54729
Q9BI74	P54731
Q9TZE7	P54754
Q17543	P54761
Q23605	P54763
Q7JM44	P54775
O16655	P54818
Q95Q95	P54822
Q18803	P54823
S6F527	P54830
Q03564	P54841
O01460	P54869
Q19694	P55012
Q9U2Y2	P55066
O17345	P55088
P34607	P55096
A9D4S6	P55194
Q9U3I0	P55200
Q9GZD5	P55258
Q19843	P55284
Q22329	P55288
O45513	P55292
O45246	P55302
O45936	P55821
Q10040	P55849
O44518	P55937
Q9N3D9	P56135
Q9XW80	P56183
Q20312	P56213
G5EFB5	P56382
O18032	P56383
O02219	P56387
H2KZ15	P56389
Q9XWJ8	P56391
O44499	P56392
Q20974	P56394
Q9N575	P56395
Q7JKP6	P56399
G3MU05	P56402
O17239	P56450
Q9N581	P56477
P34455	P56480
Q22058	P56484
P41992	P56542
Q27395	P56546
Q20306	P56564
Q18030	P56565
Q09276	P56567
Q93700	P56581
Q19891	P56593
O45698	P56695
Q9NAH8	P56716
B7WNA5	P56873
P20792	P56931
Q09364	P56942
Q17348	P56959
Q9N402	P56960
Q20680	P57016
Q9U221	P57080
Q17750	P57716
H2L0N7	P57722
Q20184	P57724
G4XR36	P57725
Q20716	P57746
Q95XC1	P57774
Q22708	P57776
Q9NDC9	P57780
Q21351	P57784
Q23163	P58022
Q9GYQ6	P58064
O62137	P58137
P49632	P58252
Q94218	P58281
Q7YWR3	P58283
Q9N4C6	P58389
Q20560	P58404
Q9GYI4	P58462
Q19420	P58463
Q9XW37	P58501
O01487	P58544
Q23537	P58545
Q7YTQ6	P58681
O01331	P58682
G5EFY5	P58735
Q8MPX3	P58742
P91494	P58771
P34568	P58774
Q9N4Z0	P58801
Q9U2F1	P58802
Q22306	P58854
O17580	P58871
Q21006	P58929
X5M5N0	P59016
G5EG59	P59048
O44769	P59054
Q9GYR0	P59055
G5EEJ2	P59108
Q9U1N6	P59110
B3GWD4	P59114
Q9Y048	P59178
U4PFF3	P59222
Q564P9	P59235
Q22289	P59240
Q95X39	P59242
O45103	P59270
Q27532	P59281
Q9GRZ9	P59325
K8ESC5	P59326
O76365	P59384
O45418	P59470
Q9XTI0	P59481
Q22371	P59598
O02299	P59644
G5EEG1	P59708
P17512	P59729
O16741	P59759
B2D6L9	P59764
Q21281	P59823
Q9N4F4	P59900
P34525	P59913
O17927	P59997
Q95QJ7	P59999
Q21344	P60122
Q17499	P60202
Q9N456	P60229
Q19213	P60322
Q19964	P60324
Q27487	P60335
Q21230	P60469
Q22264	P60487
P45896	P60521
P49958	P60605
Q6A573	P60670
H2KZI3	P60710
Q9U3K5	P60761
Q9TYT0	P60762
P91253	P60766
Q23419	P60824
O01806	P60843
Q19324	P60867
O45539	P60879
Q20422	P60898
A0A2K5ATP7	P60904
Q9N4G8	P61021
P91230	P61022
Q21877	P61025
Q17948	P61027
Q18143	P61028
O18191	P61079
Q9XVU2	P61080
Q9XXI7	P61082
Q17561	P61087
O61208	P61089
O62165	P61092
Q21243	P61148
Q9N5K2	P61161
P19626	P61164
Q9TZ70	P61168
Q19020	P61202
Q09601	P61205
Q17426	P61211
H2KZM6	P61216
Q9N5G0	P61222
Q95XA8	P61226
O01868	P61255
Q23212	P61264
P18948	P61290
G5EEW7	P61294
Q20546	P61327
Q9N580	P61329
O61792	P61358
Q965L8	P61372
G5EEL0	P61375
Q4W528	P61406
O61847	P61407
P34657	P61458
Q18405	P61460
Q9XVI9	P61514
O45405	P61588
Q6BER6	P61600
G5EE62	P61620
O45388	P61750
Q95XS2	P61759
Q20528	P61804
O17352	P61922
O01996	P61924
G5EDE9	P61939
O45166	P61953
Q27355	P61957
G5EE74	P61961
G5EFM0	P61963
Q9N3Y1	P61965
Q9U2C9	P61967
O62422	P61969
P39745	P61979
G5EF87	P61982
Q93425	P62046
P34384	P62069
Q95ZI9	P62071
Q8T3G2	P62073
G5EEH0	P62075
Q9XXJ0	P62077
P91374	P62082
P09446	P62137
Q10663	P62141
Q18477	P62192
Q22253	P62196
P46769	P62242
Q17606	P62245
Q9XUC4	P62254
P90740	P62257
Q18688	P62259
P49041	P62264
O01504	P62267
Q20206	P62270
O01918	P62274
Q9BKU6	P62281
P48150	P62301
P52275	P62305
Q18605	P62307
O45864	P62309
Q21742	P62311
Q9GYT4	P62313
Q07750	P62315
O45499	P62317
O18214	P62320
Q9XWR2	P62322
O02293	P62325
Q9N3G0	P62331
G5EBV4	P62334
Q22318	P62342
Q86NB7	P62482
Q20389	P62484
Q9XUU9	P62488
Q9XXN9	P62492
G5ED81	P62500
Q17957	P62509
Q09377	P62627
G5EDU6	P62631
O17209	P62696
Q22619	P62702
P39055	P62715
A3QMC5	P62717
O01456	P62737
O16612	P62743
G5EEN3	P62746
Q9U284	P62748
P48156	P62751
P49197	P62754
Q93372	P62761
A0A0S4XRJ2	P62774
Q9U238	P62806
P46941	P62812
P41988	P62814
Q6BEV5	P62821
H2L299	P62823
Q18171	P62827
O16368	P62830
Q20497	P62835
P34496	P62838
O62388	P62843
P52015	P62849
Q20228	P62852
O18236	P62855
P49180	P62858
Q20437	P62862
Q9XUS9	P62869
P91457	P62874
G5EEH9	P62878
Q17746	P62880
Q9GZH4	P62881
P34662	P62889
D3YT71	P62892
P62784	P62897
Q9XVE9	P62900
Q95Y90	P62908
Q9U1X9	P62911
Q2V4S7	P62915
P90983	P62918
Q21215	P62960
Q19286	P62962
Q23312	P62983
Q19760	P62984
P34450	P62996
Q22053	P63001
P52709	P63002
Q9XVA3	P63005
O16360	P63006
Q17400	P63011
Q95QN6	P63013
P49594	P63015
P91001	P63017
Q19861	P63024
Q19869	P63028
O62281	P63030
Q23220	P63032
Q9U2D9	P63037
Q9U226	P63038
Q23645	P63040
G5EFA2	P63044
Q09291	P63046
Q19338	P63056
Q8STE5	P63058
Q20062	P63073
A5Z2U2	P63082
G5EDU4	P63085
G5EDR3	P63087
O01593	P63089
G5EE56	P63101
O76401	P63137
Q9U2C3	P63139
Q22757	P63141
O44608	P63143
A0A168H2Z9	P63147
P90992	P63154
O45080	P63157
Q9BI71	P63158
Q17557	P63163
Q10017	P63166
P41932	P63168
Q09620	P63213
Q9N4S0	P63216
Q9XU81	P63239
Q10657	P63242
B3WFY7	P63248
Q95Q34	P63254
H2KYH4	P63260
Q9XTW8	P63268
Q9GZH6	P63271
Q9BL19	P63276
P34574	P63280
G5EC91	P63318
Q9BKS4	P63321
Q20950	P63323
Q9U2A8	P63325
Q95X44	P63328
Q9N5R9	P63330
P37806	P67778
Q9U2A9	P67871
P48162	P67984
Q9XU98	P68033
Q9XVN3	P68037
P48154	P68040
Q03604	P68134
Q18841	P68181
Q17865	P68254
Q23652	P68368
Q9XWR1	P68369
P28548	P68372
H2KZP2	P68373
Q95XD0	P68404
Q7JKI3	P68433
Q9U2Q9	P68510
Q18189	P69744
Q22670	P70120
Q9N4C7	P70121
Q22166	P70122
Q9N5A8	P70124
O62481	P70158
Q9TYK1	P70168
H2KYN0	P70169
Q8IA74	P70170
Q9TZ69	P70175
Q23666	P70178
O62197	P70181
Q17765	P70182
O61965	P70193
Q9U2H9	P70195
Q9U3S5	P70196
Q22678	P70206
O61741	P70207
Q968Y9	P70208
Q21808	P70210
E2JL00	P70211
Q20182	P70217
Q18223	P70218
O17907	P70227
H1UBJ1	P70232
A0A0S4XRB1	P70236
Q18862	P70245
Q9U357	P70248
Q93701	P70255
Q9GYQ8	P70257
Q10658	P70265
Q9XWS2	P70268
Q4W5M1	P70270
Q9N593	P70271
Q9GYN8	P70274
Q23031	P70275
Q09949	P70278
Q18846	P70279
O17323	P70281
Q95PW8	P70284
A0A486WXA8	P70288
Q21019	P70290
Q9U380	P70295
Q9XWS6	P70296
Q95XZ0	P70297
Q20327	P70302
Q21549	P70303
Q9NA99	P70315
D3YT80	P70318
Q09566	P70321
O01598	P70324
Q10046	P70326
Q9N582	P70333
Q95XN0	P70335
Q9NAB4	P70336
Q9NAH2	P70338
G5EDP9	P70340
Q22013	P70349
Q22078	P70351
Q8T3B8	P70353
Q9GS00	P70362
P27715	P70365
Q9U302	P70372
Q09486	P70375
Q23166	P70377
Q19864	P70388
Q95YE6	P70396
Q0G819	P70398
Q18508	P70399
Q23186	P70402
Q564Q1	P70403
O16264	P70404
A0A061ADT4	P70408
Q93534	P70414
Q19978	P70428
Q23624	P70429
P91399	P70434
Q09980	P70436
Q9GT24	P70441
Q9N312	P70444
Q9XXJ1	P70445
Q03605	P70447
Q94241	P70452
Q9XU67	P70453
Q21133	P70458
Q20136	P70460
Q20063	P70660
A0A2C9C357	P70662
Q18206	P70665
Q09973	P70669
Q9BIC3	P70670
O18068	P70671
Q95R07	P70677
Q93346	P70689
A0A486WX65	P70695
Q09534	P70697
Q93576	P70698
Q9U304	P70699
Q18888	P70700
P58798	P70704
Q95PZ0	P79621
P03949	P80206
Q19905	P80313
P34489	P80314
Q20476	P80315
G5EFZ1	P80316
Q9NEQ5	P80317
P34552	P80318
O45496	P80560
Q03609	P81066
Q09237	P81068
P91353	P81117
H2KYL7	P81269
P20268	P81270
Q9GYS9	P82020
O01516	P82347
O16474	P82348
O45548	P82349
Q23038	P82350
Q03571	P83093
G5EGG0	P83510
Q95XP9	P83741
Q21263	P83870
P34676	P83877
Q9N4L8	P83882
G5EEC2	P83887
H2L008	P83917
Q22847	P83940
H2KZ22	P84075
Q03577	P84078
D3YT69	P84084
Q7JP67	P84086
Q9UAT1	P84091
Q8IA98	P84096
Q9TXP0	P84099
O17919	P84104
A0A131MBP2	P84228
P34420	P84244
A0A7R9SUM5	P84309
Q23269	P86048
P34340	P97287
Q18238	P97298
Q21209	P97299
P91871	P97300
Q7JLH5	P97302
Q21270	P97303
Q23319	P97305
Q27420	P97310
Q8WTJ8	P97311
O45106	P97313
Q21816	P97315
Q95XD4	P97318
Q23236	P97321
P45965	P97329
Q93654	P97333
G5EBU4	P97334
Q9U2X6	P97343
Q9GZD0	P97346
Q27473	P97350
O02056	P97351
Q18503	P97358
Q95QD9	P97360
P34325	P97363
Q9GPA1	P97367
O18230	P97368
Q09474	P97369
P34697	P97371
O02158	P97372
A0A5S9MMK5	P97376
O01803	P97377
Q19642	P97379
Q95QT8	P97384
Q2XN18	P97386
Q18224	P97390
F3Y5P7	P97393
P34254	P97401
Q93718	P97402
P05690	P97427
Q95XJ4	P97429
Q7YWU3	P97432
Q9XWC9	P97433
A0A7R9SV91	P97434
G5EDS8	P97436
Q22483	P97441
A0A486WVT5	P97443
O02108	P97445
O45379	P97447
Q21828	P97450
Q22285	P97452
Q23126	P97454
J7RNI7	P97457
P47991	P97461
Q4W5T0	P97464
Q18566	P97465
Q95XK4	P97467
Q94148	P97470
G5EEN4	P97471
Q21190	P97473
Q22225	P97477
P34183	P97478
Q20806	P97479
G5EBX5	P97480
O01488	P97481
Q9XU15	P97489
Q9U489	P97492
Q966L6	P97493
A0A0K3ASA6	P97494
Q9NEN6	P97496
P34443	P97499
Q93537	P97500
Q966E2	P97501
Q22323	P97504
Q9XX00	P97742
O61213	P97751
G5ED58	P97760
A5Z2W3	P97762
Q9NHZ6	P97765
G5ED98	P97767
P91437	P97770
G5EDW5	P97772
Q21307	P97784
Q22037	P97785
Q21853	P97789
P34655	P97792
Q10943	P97793
P41846	P97797
Q9XVA9	P97798
P34480	P97801
H2KZ21	P97807
P92018	P97813
Q20937	P97820
O76373	P97821
G5EDQ2	P97823
O16259	P97855
Q9TYL0	P97857
G5ECK3	P97861
Q9XVS8	P97864
Q9TZB8	P97865
E2JL04	P97868
Q9U3A1	P97872
Q19665	P97873
G5EGE4	P97875
O02141	P97927
O01839	P97929
Q93841	P97930
Q9NAK7	P97946
G5EDZ9	P98063
O45491	P98078
G5EFF7	P98083
Q09979	P98086
Q9XUT6	P98154
Q21999	P98156
O44538	P98195
Q17508	P98200
Q11179	P98203
A0A3B1E4Z6	P99024
Q21817	P99026
P34334	P99027
Q18787	P99028
Q21021	P99029
Q23062	Q00175
Q22431	Q00288
O16424	Q00322
Q966L2	Q00493
O01835	Q00519
Q9XUY6	Q00560
Q27464	Q00612
O61924	Q00623
Q19529	Q00724
G5EGS8	Q00731
Q18282	Q00896
Q8WQC9	Q00899
Q22257	Q00993
Q18680	Q00PI9
P91470	Q01063
P17139	Q01065
Q09442	Q01097
Q23604	Q01098
Q09581	Q01147
Q22640	Q01149
Q17941	Q01279
G5EBF5	Q01320
Q95ZQ5	Q01339
Q18967	Q01405
O16215	Q01705
Q22849	Q01727
O18286	Q01730
O62479	Q01768
G5ECR8	Q01815
Q9N3H3	Q01853
Q10457	Q02053
O17893	Q02067
Q9XWK0	Q02085
O44761	Q02105
Q19749	Q02248
Q21350	Q02257
Q19982	Q02384
P34540	Q02395
Q9U2Y4	Q02566
Q22552	Q02591
Q94177	Q02614
O45717	Q02788
Q9U1X3	Q02819
Q9XUT9	Q02853
Q18373	Q02858
Q18755	Q02956
O45469	Q03137
O17406	Q03141
A0A0K3AUJ4	Q03145
Q965S3	Q03146
Q09382	Q03157
Q18271	Q03160
G2HK03	Q03173
Q9XVF7	Q03265
Q9N3F2	Q03267
Q93351	Q03311
O76449	Q03347
Q7Z152	Q03350
O16720	Q03358
O77133	Q03391
O45657	Q03517
Q9XWE6	Q03717
Q9U395	Q03719
Q8I4E2	Q03958
A0A9J5I4G4	Q03963
P30625	Q04207
O44706	Q04211
Q9XVR7	Q04447
Q9U2J3	Q04519
O16929	Q04690
O45298	Q04692
Q8MQA7	Q04736
O45776	Q04742
P46577	Q04744
O45603	Q04750
O18182	Q04841
Q9XYD3	Q04857
O01159	Q04863
K8FDZ6	Q04886
Q22702	Q04887
Q09602	Q04899
Q9TZ23	Q04997
Q9GUM2	Q04998
P42168	Q05117
Q9N4F2	Q05144
P91309	Q05186
Q9U1S1	Q05421
Q7JMR0	Q05512
O18228	Q05685
O62389	Q05769
Q9N363	Q05793
P08898	Q05816
Q9GYJ3	Q05860
Q21901	Q05909
Q9TYJ0	Q05910
Q86GT7	Q05915
O01882	Q05920
G5EDT6	Q05921
Q17336	Q05922
Q95XJ1	Q05928
Q19691	Q059Y8
B2D6M2	Q05A80
Q11100	Q05AA6
L8E6W9	Q05BC3
Q18817	Q05CL8
Q95XA0	Q05D44
G5EEN6	Q06180
Q27527	Q06185
P34465	Q06219
Q22002	Q06335
G5EBP0	Q06348
A5A8P5	Q06507
P34266	Q06649
O62416	Q06890
O01300	Q07076
Q9Y1J3	Q07079
Q7JKC3	Q07113
O17706	Q07133
O44195	Q07139
Q23091	Q07230
O17861	Q07231
A6PVA1	Q07235
Q19153	Q07243
O01482	Q07279
Q95QD1	Q07409
P34498	Q07417
Q9XW67	Q07424
Q7KPQ9	Q07456
Q9U2D2	Q07797
Q9NA25	Q07802
E9P8A2	Q07813
A8XQE0	Q07832
O18210	Q07916
O44667	Q07968
O01780	Q08024
Q03570	Q08048
Q9XXN4	Q08093
P34376	Q08122
Q9U2M1	Q08189
Q17687	Q08274
Q9N2X7	Q08288
G5EF07	Q08297
Q09422	Q08331
Q09599	Q08369
Q18711	Q08376
P42573	Q08460
Q21180	Q08481
O16467	Q08501
Q93716	Q08509
O16366	Q08624
O01819	Q08639
Q95YF3	Q08775
Q23232	Q08857
P90847	Q08874
Q22080	Q08879
Q9BIA4	Q08943
Q52GY8	Q08AT1
O02336	Q08EC4
Q9TXK1	Q09014
Q23493	Q09163
Q21323	Q09PK2
O76512	Q09XV5
P34300	Q0GGX2
Q9XWF2	Q0GNC1
O44992	Q0HA38
G5EFR8	Q0KK55
Q93209	Q0KK59
Q20287	Q0KL01
P34619	Q0KL02
Q9XVS0	Q0MW30
D6RYE4	Q0P5V2
Q94312	Q0P5W1
O02592	Q0P5X1
Q19833	Q0P5X5
O02153	Q0P678
Q18314	Q0QWG9
Q20952	Q0VAV2
G5EF39	Q0VAW6
O16537	Q0VBD2
P90908	Q0VBK2
Q9N337	Q0VBL1
Q20977	Q0VBV7
O01299	Q0VDM9
Q09313	Q0VE82
Q17604	Q0VEJ0
Q9XUH6	Q0VF22
Q21915	Q0VGB7
P54688	Q0VGT2
Q9XWX6	Q0VGY8
O45430	Q11011
Q09476	Q11136
Q09348	Q148Q7
Q09424	Q148V8
Q20480	Q148W0
Q21703	Q149C3
Q18167	Q149D4
Q17491	Q149F1
Q20796	Q149F3
O61936	Q14AI6
Q19515	Q14AT2
Q9XVL8	Q14AT5
Q21568	Q14AX6
Q18429	Q14B46
O16971	Q14B70
Q9XXR5	Q14BI2
Q09268	Q14C51
A0A0K3AVB7	Q14C59
O17003	Q14CH1
P91340	Q14CH7
P46500	Q1AN92
Q21773	Q1EG27
P90860	Q1H9T6
Q20751	Q1HFZ0
G5EE18	Q1HKZ5
P41999	Q1JRP2
Q95ZV5	Q1PSW8
Q9N3Y4	Q1RLL3
O17932	Q1XH17
Q09931	Q2EG98
A0A131MCP7	Q2EMV9
Q95XR4	Q2KN98
P53489	Q2M2N2
Q20420	Q2M3X8
Q18937	Q2NL51
O61667	Q2PFD7
Q9GYR4	Q2QI47
Q9N3F1	Q2TBA3
Q17416	Q2TBE6
P91477	Q2TL60
Q9TXU7	Q2TPA8
G5EDC0	Q2VPA6
A0A168H5N7	Q2VPQ9
Q95011	Q2VPU4
Q09297	Q2VWQ2
Q9U3M7	Q2YDW2
P90831	Q31125
O76436	Q32KG4
Q20519	Q33DR2
Q8MXH7	Q38HM4
Q10131	Q3B7Z2
B5U8N0	Q3HNM7
W6RRX0	Q3KNM2
Q9NAM7	Q3L180
O44476	Q3LAC4
Q21336	Q3LHH8
Q09496	Q3SXD3
Q9XU11	Q3SYK4
Q95XR3	Q3T9Z9
Q22250	Q3TAA7
