P04039	A0A075BJP4
P09435	Q24475
P25655	Q24478
Q06389	Q24498
P34078	Q24509
Q06224	Q24522
P34237	Q24533
P40105	Q24535
P38818	Q24536
P41813	Q24537
Q06537	Q24546
Q06511	Q24547
P40302	Q24558
P40319	Q24560
Q02772	Q24562
Q01855	Q24564
Q03714	Q24570
Q06205	Q24572
P53953	Q24573
Q03619	Q24574
P28742	Q24583
P0CX90	Q24591
P28273	Q24593
Q12001	Q24595
P00331	Q26263
P04051	Q26365
P32363	Q26377
Q03433	Q26416
Q12094	Q26454
Q06706	Q27268
P38747	Q27272
Q04383	Q27279
Q06525	Q27297
Q04868	Q27324
Q07896	Q27331
P38351	Q27350
P34228	Q27368
Q06213	Q27403
Q06142	Q27415
P53242	Q27580
P40045	Q27594
P38235	Q27606
Q02939	Q27607
P05626	Q27889
Q03124	Q27896
P20447	Q27934
Q12180	Q29QL9
Q06479	Q29QN4
P49435	Q29QQ9
P32943	Q29QV5
Q04299	Q29QY7
P32911	Q29R02
P36000	Q29R10
P10961	Q29R20
P21182	Q2M1E6
Q12209	Q2MGL3
P36088	Q2MGN0
P38715	Q2PDP6
P53934	Q2PDQ9
P38701	Q2PDR0
Q08974	Q2PDT6
Q05789	Q2PE14
P47173	Q2PE16
Q06108	Q2PNN6
P26793	Q2QBM1
P43618	Q32KD2
Q12085	Q32KD4
P38276	Q32UV4
Q3E791	Q3HKQ4
P40345	Q3KN41
Q12363	Q3YMU0
P38068	Q3YNF2
P00937	Q400N1
P00830	Q45VV3
P31377	Q45WF5
P34164	Q494I2
P10363	Q494K2
P39955	Q4QPP9
P40532	Q4QPV3
Q03786	Q4QPW2
P53538	Q4QPW4
Q08416	Q4QQ01
P53178	Q4QQ69
Q06251	Q4QQ70
Q06150	Q4QQA7
Q06106	Q4QQB9
Q04121	Q4V3F0
Q12485	Q4V3F5
P47147	Q4V3L3
Q99385	Q4V3S6
Q12144	Q4V3S9
P32579	Q4V3Y0
Q07622	Q4V3Z6
Q99247	Q4V424
P08640	Q4V459
P27466	Q4V467
Q05874	Q4V473
P33308	Q4V480
Q07729	Q4V4B1
P40528	Q4V4F7
P50113	Q4V4P1
P32801	Q4V4P2
P42847	Q4V4T4
Q06596	Q4V4X4
Q12109	Q4V4Z9
Q12345	Q4V516
Q07748	Q4V5A3
Q07788	Q4V5A5
Q08904	Q4V5A7
P39724	Q4V5I0
Q03759	Q4V5I9
P15873	Q4V5L1
P40096	Q4V5U6
P50080	Q4V5V6
P53550	Q4V5W6
P53938	Q4V664
P09201	Q4V6C2
P40367	Q4V6H2
P40989	Q4V6I0
P40556	Q4V6L0
Q8TGJ2	Q4V6L8
Q8TGK6	Q4V6M7
P50111	Q4V6W7
Q86ZR7	Q4V6X9
P42840	Q4V6Y6
P53978	Q4V6Y7
P31373	Q4Z8K6
P38202	Q500Y7
Q03653	Q59DN5
Q06686	Q59DX6
Q05533	Q59DZ1
P32622	Q59DZ4
P13902	Q59DZ7
P40335	Q59E04
P33328	Q59E05
P40538	Q59E13
P14737	Q59E36
P38198	Q59E67
P38316	Q5BI03
Q03825	Q5BI31
P38827	Q5BI44
P39006	Q5BI50
P40453	Q5BI51
A0A0B7P3V8	Q5BI77
P34221	Q5BIC3
P32477	Q5LJU1
Q04893	Q5LJZ2
P40209	Q5PXF9
P40050	Q5U0V6
Q06821	Q5U0V7
P08425	Q5U0X8
Q07471	Q5U154
P33330	Q5U179
Q06336	Q5U8V5
P48237	Q6AWN0
Q07953	Q6AWN6
P38070	Q6IDD9
P32896	Q6IDE2
P81451	Q6IDH2
P47134	Q6IG37
P25631	Q6IG51
P47096	Q6IGD9
Q05676	Q6IGX9
P17649	Q6IGY0
P03875	Q6IHH7
P47033	Q6IHY4
Q08237	Q6IHY5
P32836	Q6IJ01
P25584	Q6IL75
P27514	Q6ILA6
P18851	Q6ILY6
Q12175	Q6J5K9
Q02890	Q6NL58
Q12362	Q6NMT8
P24583	Q6NN09
P53035	Q6NN40
P38149	Q6NN57
P22148	Q6NN85
P53073	Q6NNB4
P38317	Q6NNF2
P38085	Q6NNF8
P38753	Q6NP07
P31412	Q6NP71
P33892	Q6NP72
Q06671	Q6NPA0
Q3E756	Q6NQZ5
Q12196	Q6NQZ7
Q05931	Q6NR11
P32449	Q6NR30
Q12236	Q6NR36
Q12277	Q6NR46
P53058	Q6XK19
Q04500	Q76NQ0
Q96VH3	Q76NS2
Q12019	Q7JNL9
P47014	Q7JQI1
P53394	Q7JQL2
Q05166	Q7JQN4
P41057	Q7JQT8
P33323	Q7JQT9
Q05788	Q7JQY8
P53172	Q7JR08
P40492	Q7JR34
P38604	Q7JR49
P38851	Q7JR52
P40485	Q7JR58
P53622	Q7JR71
P47079	Q7JR80
P40550	Q7JR83
Q05031	Q7JR96
Q00873	Q7JRD4
Q99188	Q7JRE4
P0CX52	Q7JRH2
P38122	Q7JRH5
Q04048	Q7JRJ1
P41733	Q7JRJ9
P53333	Q7JRK6
Q06216	Q7JRN6
P43549	Q7JRQ4
P38355	Q7JUF8
Q08967	Q7JUM5
P53118	Q7JUN9
P32626	Q7JUP3
Q6B2U8	Q7JUR5
P32338	Q7JUR6
P40021	Q7JUR9
Q04408	Q7JUS9
P41696	Q7JUV6
Q8TGK0	Q7JUY8
P38087	Q7JUZ6
Q12102	Q7JUZ9
P47148	Q7JV23
P36142	Q7JVH0
Q12063	Q7JVH6
P38187	Q7JVI3
P35176	Q7JVK6
P38892	Q7JVK8
Q03648	Q7JVL3
Q03937	Q7JVP2
P48582	Q7JVP4
P32858	Q7JVQ2
P38230	Q7JVW5
Q06148	Q7JVY0
Q12009	Q7JVY2
Q12318	Q7JVZ8
P53853	Q7JW03
P38314	Q7JW12
Q02046	Q7JW27
P53966	Q7JW60
P32867	Q7JW78
Q07799	Q7JWD3
P25297	Q7JWD6
P20048	Q7JWH5
P47065	Q7JWH6
P53141	Q7JWN2
P53075	Q7JWQ7
Q04347	Q7JWR4
P38138	Q7JWU2
P09932	Q7JWU9
Q03935	Q7JWV5
P36057	Q7JWW6
P36523	Q7JX41
P39547	Q7JX82
Q12522	Q7JX87
P35179	Q7JXA8
Q06624	Q7JXB9
P39940	Q7JXC4
P33300	Q7JXE4
P09457	Q7JXF5
Q12099	Q7JXF7
P06844	Q7JXU4
Q04370	Q7JXV9
P52924	Q7JXZ2
Q01939	Q7JY00
Q08193	Q7JY26
P22515	Q7JYA0
P14908	Q7JYH3
Q06593	Q7JYP8
Q03652	Q7JYV2
P53604	Q7JYV7
Q04341	Q7JYW9
P38157	Q7JYX0
P38210	Q7JYX2
P20436	Q7JYX3
P02406	Q7JYX5
P47042	Q7JZ51
P40009	Q7JZ62
Q03406	Q7JZ94
P34162	Q7JZB4
P34217	Q7JZC5
P47912	Q7JZC9
P34223	Q7JZD5
P06367	Q7JZI2
P37296	Q7JZJ3
P47108	Q7JZM3
Q08995	Q7JZM8
O43137	Q7JZR0
P48362	Q7JZR4
P41939	Q7JZW7
Q08622	Q7JZY1
P30902	Q7JZZ3
P36119	Q7K003
Q03466	Q7K012
P53750	Q7K025
Q08268	Q7K037
P50090	Q7K049
Q07923	Q7K084
P40156	Q7K0B6
P38629	Q7K0D8
P22141	Q7K0E3
P16451	Q7K0E6
P50079	Q7K0F0
P40465	Q7K0F7
P36103	Q7K0L4
P53976	Q7K0L5
Q12469	Q7K0L7
P38334	Q7K0L8
P53830	Q7K0P0
P53630	Q7K0P4
P47011	Q7K0S5
P32833	Q7K0S9
P40484	Q7K0W0
Q08906	Q7K0W4
P34234	Q7K0X3
P53919	Q7K0X9
P53834	Q7K0Y1
P21304	Q7K110
Q08914	Q7K121
Q03981	Q7K126
P32893	Q7K127
P54003	Q7K130
Q04031	Q7K148
P46958	Q7K157
P33755	Q7K159
P50875	Q7K180
Q04226	Q7K187
Q03103	Q7K1C0
P33748	Q7K1D9
P42884	Q7K1H5
P53824	Q7K1H9
P00812	Q7K1R6
P08566	Q7K1U0
P38430	Q7K1V0
P32787	Q7K1V5
Q04301	Q7K1W5
P32435	Q7K1W8
Q12269	Q7K204
P42948	Q7K209
P32529	Q7K221
Q08980	Q7K237
Q07458	Q7K264
P19158	Q7K2D2
Q06991	Q7K2E1
P42846	Q7K2G1
P41912	Q7K2I4
Q12487	Q7K2K2
Q04003	Q7K2L1
Q04418	Q7K2L7
Q06708	Q7K2P1
Q12245	Q7K2P3
Q02197	Q7K2Q8
P32340	Q7K2V1
P53060	Q7K2V5
P33448	Q7K2V7
P32606	Q7K2W6
Q12335	Q7K2X1
P23833	Q7K2X8
P47122	Q7K2Y9
P33420	Q7K304
P08964	Q7K306
P39980	Q7K380
P47140	Q7K3D4
P32352	Q7K3D8
Q03823	Q7K3E2
P38768	Q7K3E9
P09032	Q7K3G5
P25635	Q7K3J0
Q12220	Q7K3K5
P25384	Q7K3L1
P08524	Q7K3M5
Q12408	Q7K3M6
Q04359	Q7K3M9
Q12055	Q7K3N4
Q08745	Q7K3Q3
Q12486	Q7K3V6
P20840	Q7K3W2
P53736	Q7K3W4
P33296	Q7K3Y9
P33759	Q7K3Z6
P19881	Q7K3Z8
P13188	Q7K480
Q04225	Q7K485
P53980	Q7K486
Q12472	Q7K490
Q04991	Q7K4A1
Q12143	Q7K4A8
P43682	Q7K4B2
P53285	Q7K4B3
P03874	Q7K4B4
P53170	Q7K4C2
P39926	Q7K4C7
Q06490	Q7K4D1
Q04399	Q7K4G8
Q06170	Q7K4H4
P46989	Q7K4J7
P40064	Q7K4K7
P39113	Q7K4L8
P23503	Q7K4M9
P35844	Q7K4N3
P53615	Q7K4P0
P50102	Q7K4Q9
Q06640	Q7K4R2
P02829	Q7K4V4
Q08422	Q7K4W1
P25270	Q7K4X4
Q12464	Q7K4Z4
Q05998	Q7K508
Q03612	Q7K527
P53903	Q7K550
Q7LHD1	Q7K556
P53937	Q7K569
P0CX58	Q7K5J8
P24279	Q7K5K3
P38121	Q7K5M2
P33310	Q7K5M6
P07253	Q7K7G0
Q08726	Q7K860
P38954	Q7K9H6
P47161	Q7KA43
P05747	Q7KBL8
P53958	Q7KF43
P38083	Q7KGH1
P12687	Q7KGU6
P32383	Q7KH24
P40102	Q7KHE2
P38744	Q7KHG2
Q02872	Q7KHI6
P40541	Q7KHK4
Q06152	Q7KHK9
P38217	Q7KJ69
Q08921	Q7KJA9
Q06151	Q7KK90
P53047	Q7KK96
P53734	Q7KKI0
P39535	Q7KLE5
P38961	Q7KLV9
Q03322	Q7KLW9
P38112	Q7KLX3
P00854	Q7KM13
P53886	Q7KM15
P16547	Q7KMG7
P43610	Q7KMH9
P38313	Q7KMJ6
Q12481	Q7KML1
P02557	Q7KML2
P47099	Q7KMM4
P0CX33	Q7KMP8
P06634	Q7KMQ0
P35727	Q7KMS3
P52871	Q7KN61
Q05022	Q7KN62
P39985	Q7KN75
Q12530	Q7KN85
P40457	Q7KN94
P38839	Q7KN99
P13259	Q7KNA0
P27637	Q7KND8
P53954	Q7KNF2
P25443	Q7KNM2
P36080	Q7KNQ9
P40963	Q7KNS3
Q99189	Q7KNS5
P47136	Q7KPA5
P47159	Q7KQC4
P35734	Q7KQM6
P42073	Q7KQN5
Q08245	Q7KR04
P53276	Q7KR10
P38694	Q7KRI2
P0CX60	Q7KRR5
P38304	Q7KRS6
Q12151	Q7KRT4
P32457	Q7KRU8
Q04922	Q7KRW1
Q08548	Q7KRW8
P32489	Q7KRY6
P38298	Q7KRY7
P32493	Q7KS11
P47155	Q7KS38
P00549	Q7KS72
Q03205	Q7KSA4
P89114	Q7KSB4
P53074	Q7KSD3
P38348	Q7KSD8
P32178	Q7KSE0
Q07987	Q7KSF2
Q12367	Q7KSM5
P53343	Q7KSP6
P47087	Q7KSP9
P39728	Q7KSQ0
P46972	Q7KSZ0
P38328	Q7KT36
Q04746	Q7KT70
P29539	Q7KT79
P07262	Q7KT85
Q03151	Q7KT86
P53212	Q7KTA1
P54857	Q7KTG0
Q12468	Q7KTH6
Q03835	Q7KTH8
P36006	Q7KTL5
P53584	Q7KTL6
P05316	Q7KTN9
P52489	Q7KTP7
P38242	Q7KTS4
P04173	Q7KTW5
Q12507	Q7KTX2
P32597	Q7KTX7
P13382	Q7KTX8
P53723	Q7KU82
P31376	Q7KU87
P40969	Q7KUA4
P53981	Q7KUA8
P50087	Q7KUB3
Q3E846	Q7KUD4
Q02983	Q7KUD8
P45976	Q7KUK4
Q03446	Q7KUK8
Q02796	Q7KUL3
P32528	Q7KUL4
Q07951	Q7KUW2
P25349	Q7KUW4
P35691	Q7KUW8
P40151	Q7KUX3
P32500	Q7KUZ5
Q12164	Q7KV27
P35182	Q7KV70
P28834	Q7KV90
P32450	Q7KV94
Q12432	Q7KVA1
P50263	Q7KVB1
P53304	Q7KVC2
Q12069	Q7KVF1
P04840	Q7KVF3
Q08471	Q7KVF6
P43621	Q7KVG9
P09937	Q7KVP4
P25376	Q7KVS9
P04710	Q7KVW9
P13663	Q7KVY7
P53262	Q7KW02
P06778	Q7KW14
P06783	Q7KW26
P15442	Q7KWG9
Q96VH5	Q7KY04
Q03703	Q7M3M8
Q03263	Q7PL81
Q12498	Q7PLE9
P38125	Q7PLI0
P53008	Q7PLI2
P40157	Q7PLL3
P47976	Q7PLL7
P32621	Q7PLP4
P38239	Q7YTY6
P0CF22	Q7YTZ0
Q12168	Q7YTZ4
P32844	Q7YU05
P53889	Q7YU08
Q03236	Q7YU24
Q3E7B2	Q7YU60
P32602	Q7YU80
Q03246	Q7YU81
P18562	Q7YXH9
P40025	Q7YXW0
P47048	Q7YZ91
Q12089	Q7YZ95
P40308	Q7YZ99
P39932	Q7YZA5
P53917	Q7Z2C4
P53935	Q7Z2C5
P53136	Q867V1
Q08931	Q868T3
P32386	Q868Z9
Q12525	Q86B47
P38315	Q86B50
P23250	Q86B54
P25616	Q86B55
P25390	Q86B59
P19262	Q86B79
Q03497	Q86B87
P38634	Q86B91
P05150	Q86B94
Q7LHG5	Q86BA1
A2P2R3	Q86BA5
P53292	Q86BB4
P48568	Q86BE9
P53847	Q86BG6
P38695	Q86BJ3
P53206	Q86BM2
Q02805	Q86BM3
P46784	Q86BN2
Q06568	Q86BP1
Q12167	Q86BP6
P25639	Q86BR6
P22135	Q86BS0
P53849	Q86BS2
P32368	Q86BS3
P43561	Q86BS6
P43625	Q86BY9
P26263	Q86CW5
P38236	Q86DS1
P40514	Q86LF0
P41808	Q86MQ9
Q12483	Q86NK8
P48569	Q86NP2
Q12379	Q86NU2
Q01684	Q86NW1
P53920	Q86P06
Q02733	Q86P18
Q03516	Q86P48
P32567	Q86PB4
P32566	Q86PC9
Q06104	Q86PD7
P0CE11	Q86PF4
P53280	Q86PF5
P38687	Q86S05
Q12344	Q8I044
P53117	Q8I0G5
P47160	Q8I0H4
Q08492	Q8I0J1
P53197	Q8I0K9
P46949	Q8I0Q7
P38891	Q8I6M5
Q04491	Q8I7C3
Q06628	Q8I8U7
Q03280	Q8I8V0
P40340	Q8I942
Q03441	Q8IFW4
P53196	Q8IFW6
P53939	Q8IG95
Q04080	Q8IGA7
P07248	Q8IGK3
Q12107	Q8IGL5
P38013	Q8IGN1
P40074	Q8IH00
Q03919	Q8IH13
P33122	Q8IH18
P36070	Q8IH24
P39969	Q8IH49
P53329	Q8IHA6
P47081	Q8IHC3
P53133	Q8IHE2
P40328	Q8IHH3
P04386	Q8IMF1
P06633	Q8IMG8
P38734	Q8IMI0
P35193	Q8IMI5
P25367	Q8IMJ2
P32770	Q8IML3
P53192	Q8IMM6
Q12079	Q8IMQ7
Q12031	Q8IMT7
P38966	Q8IMU0
P23254	Q8IMV7
Q2V2P6	Q8IMW5
P38295	Q8IMX7
P05374	Q8IMX8
P25293	Q8IMZ4
Q03956	Q8IN25
P46988	Q8IN63
P34222	Q8IN74
Q06817	Q8IN81
P39563	Q8IN91
P53632	Q8IN94
P31539	Q8INB9
P49704	Q8INH5
P38231	Q8INI2
P25567	Q8INI8
P39976	Q8INJ8
P26783	Q8INK2
P38910	Q8INM3
P53273	Q8INN3
P38903	Q8INP9
Q12359	Q8INQ7
P53095	Q8INS9
P39729	Q8INT5
P15496	Q8INT6
P36010	Q8INT9
P41921	Q8INX1
Q03758	Q8INY3
P50105	Q8IP15
P40566	Q8IP27
P22219	Q8IP45
P35842	Q8IP70
P33760	Q8IP75
P38238	Q8IP80
A5Z2X5	Q8IP97
P47050	Q8IPA1
P13185	Q8IPA5
Q08220	Q8IPD6
P29496	Q8IPG2
P08593	Q8IPH9
P41818	Q8IPI0
P16658	Q8IPI2
Q12424	Q8IPJ3
P40487	Q8IPL8
Q12416	Q8IPN7
P41930	Q8IPP2
Q3E818	Q8IPP8
P36168	Q8IPS1
P22516	Q8IPS6
P41920	Q8IPT5
P54860	Q8IPU9
P48570	Q8IPV3
P39683	Q8IPV7
Q04934	Q8IPW2
P32367	Q8IPW3
P05085	Q8IPX7
P36135	Q8IPZ2
P40573	Q8IPZ3
Q01802	Q8IPZ6
Q05541	Q8IPZ7
P40010	Q8IQ04
P38330	Q8IQ27
Q08960	Q8IQ56
P0C2J1	Q8IQ73
Q2V2P4	Q8IQC1
P38127	Q8IQC8
P47187	Q8IQD9
P53874	Q8IQF8
P80428	Q8IQG0
P33338	Q8IQG1
P40075	Q8IQG3
P46990	Q8IQH2
Q07655	Q8IQH9
P10592	Q8IQI1
Q12488	Q8IQJ5
Q04706	Q8IQJ7
P32479	Q8IQL2
P38079	Q8IQM1
P42934	Q8IQM5
Q12193	Q8IQQ4
P53867	Q8IQT4
Q08729	Q8IQV5
Q12753	Q8IQW2
P40480	Q8IQX5
Q03195	Q8IQZ8
P29311	Q8IR14
Q04336	Q8IR18
P32804	Q8IR23
P22146	Q8IR26
P40574	Q8IR46
P43614	Q8IR72
P53739	Q8IR79
Q05934	Q8IR83
P21826	Q8IR86
P38736	Q8IR99
P40516	Q8IRB6
Q04329	Q8IRC0
Q04511	Q8IRC7
P53110	Q8IRD0
P38301	Q8IRD1
P40318	Q8IRD5
P47150	Q8IRD6
P36138	Q8IRD7
Q06644	Q8IRE3
P28003	Q8IRG6
Q3E772	Q8IRH1
Q12306	Q8IRH5
P19659	Q8IRH6
P0CX29	Q8IRH7
Q06146	Q8IRI4
P53893	Q8IRJ8
P53334	Q8IRP5
P40987	Q8IRQ5
Q03957	Q8IRR5
P03873	Q8IRT0
P40570	Q8IRW6
P38814	Q8IRW8
P60010	Q8IRY7
P53043	Q8IRY8
Q08647	Q8MKJ6
P01119	Q8MKK8
Q02799	Q8MKL4
Q6Q5H1	Q8MLN2
Q9P305	Q8MLN5
P12611	Q8MLQ0
P35172	Q8MLQ2
P39727	Q8MLR5
P53943	Q8MLV1
Q12512	Q8MLV3
Q00402	Q8MLY8
Q12082	Q8MMC6
Q03435	Q8MMD0
P06243	Q8MME5
P43591	Q8MPN8
P40970	Q8MQJ5
P48524	Q8MQJ7
P14843	Q8MQJ8
Q02831	Q8MQJ9
P36037	Q8MQP2
P0CD98	Q8MQR5
Q12393	Q8MQS4
Q03290	Q8MQW8
P16622	Q8MR04
Q06211	Q8MR15
P53296	Q8MR31
Q05567	Q8MR44
P38227	Q8MRA3
Q08992	Q8MRC9
P33757	Q8MRE6
Q03761	Q8MRG6
P38787	Q8MRK4
Q02895	Q8MRL1
P36143	Q8MRL2
P25604	Q8MRM4
P0CX77	Q8MRN4
P09798	Q8MRQ1
P39954	Q8MRQ5
P53731	Q8MS59
P10863	Q8MS60
P21592	Q8MS69
P43638	Q8MSB1
Q12529	Q8MSB3
P53861	Q8MSD1
P17967	Q8MSF5
P07236	Q8MSH5
P05319	Q8MSI2
P13712	Q8MSL7
Q12523	Q8MSM9
P34251	Q8MSQ4
P38009	Q8MSS1
P80210	Q8MST5
Q12160	Q8MSU4
Q04608	Q8MSV2
P48525	Q8MSW0
P0CX34	Q8MSX1
P34247	Q8MSX2
Q12271	Q8MSY4
P27801	Q8MT02
P53295	Q8MT06
Q99325	Q8MT18
P10849	Q8MT33
P40037	Q8MT42
P08153	Q8MT58
P00724	Q8MTA8
Q08702	Q8MV48
P47166	Q8MYL1
P11433	Q8MYR8
Q08822	Q8MYT4
P14180	Q8MYU0
P53079	Q8MYU6
P0C2I3	Q8MYV9
P12754	Q8MYW2
P43639	Q8MZ02
P47125	Q8MZ13
P32486	Q8MZ67
Q04307	Q8MZA7
P53921	Q8MZG9
P53909	Q8MZI3
P34216	Q8ST83
P0CX84	Q8STA5
Q04373	Q8STG9
P41809	Q8STI6
P33332	Q8SWR8
P39997	Q8SWS3
P38241	Q8SWT8
P53140	Q8SWU4
P49956	Q8SWU6
P50101	Q8SWV5
P0CW40	Q8SWV6
P53039	Q8SWW4
P38251	Q8SWW7
Q04600	Q8SWX4
P36167	Q8SX21
P39107	Q8SX32
Q00916	Q8SX37
P18496	Q8SX40
P17261	Q8SX57
P38291	Q8SX76
P42843	Q8SX78
P47005	Q8SX83
P41817	Q8SX86
Q03771	Q8SX89
Q3E746	Q8SX98
P40463	Q8SXB0
P43607	Q8SXB3
P25354	Q8SXC0
P46956	Q8SXC1
P81450	Q8SXC2
P38623	Q8SXD5
Q06625	Q8SXG2
P47135	Q8SXG7
P53898	Q8SXG9
P43550	Q8SXH1
Q02201	Q8SXH7
P07261	Q8SXK0
P06843	Q8SXL5
P53294	Q8SXM8
Q8TGT4	Q8SXP1
Q02724	Q8SXP8
Q03558	Q8SXQ5
Q08645	Q8SXQ7
Q99231	Q8SXR4
P38331	Q8SXR5
P34220	Q8SXR7
Q08959	Q8SXS0
P15315	Q8SXS4
Q02721	Q8SXV1
Q06682	Q8SXV4
P41948	Q8SXX1
Q12508	Q8SXX8
Q12412	Q8SXY2
P47131	Q8SXY6
P24813	Q8SXZ6
P40554	Q8SY33
Q07508	Q8SY39
P09938	Q8SY52
Q06592	Q8SY53
Q03695	Q8SY58
Q05942	Q8SY61
P21954	Q8SY72
P05694	Q8SY76
P40339	Q8SY77
P53109	Q8SY94
P08678	Q8SYA4
P49095	Q8SYB8
P34250	Q8SYC0
P40497	Q8SYC1
Q08003	Q8SYC6
P53244	Q8SYD9
P47170	Q8SYG2
P0CG63	Q8SYH8
P35731	Q8SYK5
P52892	Q8SYL1
Q04835	Q8SYM5
P38176	Q8SYN0
P53093	Q8SYP8
Q06199	Q8SYR5
P35184	Q8SYU0
P38691	Q8SYU5
P53318	Q8SYW8
P38265	Q8SYY0
Q04013	Q8SYY6
Q08118	Q8SZ13
P47107	Q8SZ15
P40078	Q8SZ19
P0CF19	Q8SZ38
Q04052	Q8SZ46
P32634	Q8SZ63
P40019	Q8SZ87
Q07804	Q8SZD0
P53319	Q8SZK9
P53875	Q8SZM2
P32790	Q8SZP2
P14736	Q8SZS0
Q12355	Q8SZU1
P17122	Q8SZX1
Q03697	Q8SZY7
P40043	Q8SZY9
P53341	Q8SZZ8
Q05637	Q8T007
Q06204	Q8T008
Q99314	Q8T010
P32335	Q8T030
Q03769	Q8T053
P36087	Q8T062
P15801	Q8T079
P48743	Q8T092
Q12122	Q8T0D1
P32074	Q8T0E0
Q05902	Q8T0F5
Q02891	Q8T0F7
P38992	Q8T0G1
Q01080	Q8T0I9
P00815	Q8T0K1
Q04792	Q8T0L3
P51601	Q8T0L6
P32459	Q8T0N5
Q12315	Q8T0Q4
P0CE85	Q8T0Q8
P40445	Q8T0R7
P38182	Q8T0S6
P21147	Q8T0T9
Q04409	Q8T0U2
P53156	Q8T0V8
P38620	Q8T0X8
P53086	Q8T390
P19735	Q8T3H9
P25568	Q8T3K5
P25044	Q8T3L0
P33895	Q8T3P5
P40985	Q8T3R1
P05740	Q8T3U2
P53940	Q8T3W6
P23179	Q8T3W8
P32259	Q8T3X1
P25453	Q8T3X9
Q12158	Q8T3Y0
P01094	Q8T3Y1
P0CT04	Q8T3Z0
Q08925	Q8T403
Q07798	Q8T415
P53769	Q8T421
P38074	Q8T476
P52492	Q8T490
P36093	Q8T498
P03882	Q8T4A8
P38700	Q8T4C9
Q00416	Q8T4F7
P32559	Q8T4G5
P33749	Q8T4H6
P38844	Q8T4H8
Q12273	Q8T5S9
P33334	Q8T6B9
P25555	Q8T6I0
P40350	Q8T6L6
P07263	Q8T8R1
P39112	Q8T8R7
P00856	Q8T8S1
Q07551	Q8T8T9
P39875	Q8T8W2
Q12127	Q8T8X7
P20049	Q8T8Y3
P18963	Q8T913
P54791	Q8T957
P15180	Q8T965
P38970	Q8T979
P38887	Q8T9A4
P05738	Q8T9B6
Q08561	Q8T9K8
P0CX43	Q8T9L5
P48558	Q8WR08
Q8TGQ7	Q8WR19
P0CX44	Q8WS79
P52918	Q94511
Q08963	Q94513
P38175	Q94514
P06244	Q94516
P04801	Q94517
P34909	Q94518
P36004	Q94519
O14467	Q94521
Q08227	Q94522
P21734	Q94523
P29469	Q94524
P39526	Q94527
P39014	Q94545
P28000	Q94883
P25356	Q94887
P47102	Q94890
Q02776	Q94899
Q12100	Q94901
P10659	Q94920
P21190	Q94981
P35194	Q95028
P0CX51	Q95029
P0CX85	Q95083
P38349	Q95R29
P32342	Q95RA8
Q03254	Q95RA9
P09734	Q95RB1
P36032	Q95RC0
P39958	Q95RC3
P07264	Q95RE4
P25344	Q95RG8
P38812	Q95RH3
P02293	Q95RI5
P32339	Q95RI7
P42933	Q95RI8
P14127	Q95RJ9
P53930	Q95RL2
Q08634	Q95RM0
P53685	Q95RP1
Q04924	Q95RQ1
Q04689	Q95RQ4
P46945	Q95RQ6
Q12342	Q95RQ8
Q02202	Q95RR1
Q99207	Q95RR5
P53911	Q95RR6
P25694	Q95RR8
P53183	Q95RS0
P32318	Q95RU8
P53878	Q95RV2
Q04429	Q95RV3
P38165	Q95RX5
Q04598	Q95RY2
Q12215	Q95SH2
Q12340	Q95SH7
P21951	Q95SJ2
Q8TGK4	Q95SK3
Q03289	Q95SM8
Q06524	Q95SN8
Q12361	Q95SP2
P42838	Q95SR3
P17442	Q95ST0
Q12012	Q95ST2
P48561	Q95SU3
P47040	Q95T08
P32891	Q95T12
P07244	Q95T29
Q3E841	Q95T37
P15625	Q95T46
Q04170	Q95T64
P25333	Q95T98
Q06580	Q95TG2
P47154	Q95TJ6
P38011	Q95TJ9
P38130	Q95TK5
Q05080	Q95TL8
Q01896	Q95TN4
Q05899	Q95TN8
Q12139	Q95TP0
P47112	Q95TS2
Q03153	Q95TW4
Q12010	Q95TY2
P53298	Q95TZ0
Q12348	Q95U20
P38785	Q95U21
P15202	Q95U34
P38915	Q95U62
P43588	Q95V55
P39927	Q95WY3
P05749	Q960D3
P15454	Q960D5
Q12734	Q960E8
P40354	Q960J7
P23493	Q960J9
P38307	Q960N3
P38071	Q960N6
Q07349	Q960Q8
P53633	Q960Q9
P29704	Q960S0
Q06385	Q960T2
P0CX57	Q960T6
P39714	Q960W6
Q04670	Q960W9
Q00723	Q960X4
Q07478	Q960X8
P54730	Q960Z0
Q06543	Q961B8
Q08217	Q961B9
Q12690	Q961C3
P40581	Q961C5
P38163	Q961C9
P0CX39	Q961D1
P40076	Q961D9
Q06506	Q961F6
P32329	Q961G1
P38170	Q961H2
Q02804	Q961J0
Q04533	Q961J8
P0C5N3	Q961K4
P38884	Q961L8
Q03796	Q961N0
P25389	Q961R9
P29703	Q961T8
P39551	Q961W1
Q05635	Q961W9
P23561	Q961X4
Q07747	Q962I0
P39730	Q962S2
P30665	Q966V0
P39518	Q967S0
P28707	Q99323
P30771	Q9BIR7
P22217	Q9BIS2
P0CX59	Q9BJZ5
Q04549	Q9BLX1
P36107	Q9GNJ2
P39077	Q9GNK5
P53080	Q9GPI2
Q3E705	Q9GQF1
Q04658	Q9GQN5
Q12133	Q9GQQ0
P47095	Q9GSP1
Q03264	Q9GSR1
P04802	Q9GT70
P25371	Q9GU50
P38719	Q9GU68
