Q3E840	A0A087WPF7
P10664	P63276
P40319	P63280
P36006	P63318
Q04396	P63321
P0CX38	P63323
Q12754	P63325
P15180	P63328
P35817	P63330
P32796	P67778
P38115	P67871
P53235	P67984
P53081	P68033
Q04272	P68037
Q03532	P68040
P10964	P68134
Q03322	P68181
Q06142	P68254
P19524	P68368
P43603	P68369
P22137	P68372
P21560	P68373
Q12018	P68404
P38758	P68433
P19414	P68510
P0C5N3	P69744
P40896	P70122
P01098	P70124
P09436	P70168
Q12318	P70169
P40571	P70170
Q07657	P70175
P22135	P70182
P32339	P70193
P47019	P70195
P40014	P70196
P36224	P70206
P38729	P70207
P41833	P70208
Q04472	P70217
Q04902	P70218
P0CD91	P70227
P01149	P70232
P07248	P70236
P40092	P70257
P41546	P70265
P43590	P70268
P25559	P70271
P38636	P70274
Q06412	P70275
P39985	P70279
P40465	P70281
P52286	P70288
Q04210	P70295
Q07821	P70296
P53172	P70297
Q12063	P70302
P53256	P70303
Q02884	P70318
Q03619	P70321
P38893	P70324
P15442	P70333
P40364	P70335
P38708	P70336
P53036	P70340
Q03446	P70349
P53958	P70351
P33417	P70362
P53939	P70365
P25655	P70372
P10961	P70375
P13259	P70388
Q99394	P70396
P47154	P70398
Q08245	P70399
Q04689	P70403
P36528	P70404
Q03823	P70408
P53835	P70428
Q12452	P70429
P32831	P70434
Q02629	P70441
P32480	P70444
P50078	P70445
P32917	P70452
P53237	P70453
P47030	P70460
P43552	P70660
P38077	P70662
Q06211	P70665
P53973	P70670
Q05635	P70671
P46965	P70677
Q04093	P70689
Q08920	P70698
P25605	P70699
P03878	P70700
P40157	P70704
P16467	P79621
P33311	P80206
P42943	P80313
P40024	P80314
P32561	P80315
P28000	P80316
P39955	P80317
P18239	P80318
P40957	P80560
P46671	P81066
Q04005	P81068
P11914	P81117
P0C2J1	P82347
P43124	P82350
P42933	P83093
P31539	P83510
P33203	P83741
P47064	P83870
Q04177	P83882
P40086	P83887
P36081	P83917
Q12270	P83940
Q01649	P84078
P39003	P84084
P14905	P84086
P25343	P84091
P38087	P84096
Q12499	P84099
P04802	P84104
P06208	P84228
P00427	P84244
Q12257	P86048
Q12391	P97287
P20438	P97298
P32347	P97299
P27929	P97300
P38890	P97302
P53093	P97303
P40502	P97305
Q01852	P97310
P22213	P97311
Q08412	P97313
Q04623	P97315
P37296	P97318
P43637	P97333
P40185	P97350
P39935	P97351
P00572	P97358
Q12497	P97360
P38858	P97363
Q05931	P97367
P38262	P97369
P43586	P97371
Q06106	P97372
P38792	P97376
P40356	P97377
P38219	P97379
Q01976	P97384
Q08641	P97386
P38766	P97390
Q08003	P97401
P54114	P97427
P40206	P97429
P32900	P97432
P38123	P97433
P38346	P97434
Q04806	P97436
Q05930	P97443
P36132	P97445
P47024	P97447
P53251	P97450
Q12128	P97452
P32799	P97454
P22108	P97457
Q12000	P97461
Q08485	P97464
P50276	P97465
P25353	P97467
P36421	P97470
Q03441	P97471
Q12424	P97473
Q04199	P97477
P38769	P97478
Q3E7Z9	P97479
P53242	P97480
P40204	P97481
Q12274	P97489
P0C0W1	P97492
P38312	P97493
P39960	P97496
P26725	P97499
Q3E7A4	P97501
P26263	P97504
Q07349	P97742
P53296	P97751
O43137	P97760
P14180	P97765
P47027	P97767
Q06149	P97772
P54783	P97784
P23179	P97785
Q06162	P97793
Q12275	P97797
P53054	P97801
P32388	P97807
P38702	P97813
P36018	P97820
Q05905	P97823
P32387	P97855
Q04364	P97864
P53923	P97865
Q99314	P97868
P35999	P97872
P43600	P97873
P40511	P97875
P09959	P97929
P25515	P98063
P10869	P98078
P38111	P98083
P25591	P98086
P18412	P98156
P53954	P98203
P06105	P99024
P24000	P99026
P36160	P99027
P50095	P99028
P38934	P99029
P47032	Q00288
P47152	Q00322
P50113	Q00493
Q92316	Q00519
P32599	Q00612
P40582	Q00623
Q04049	Q00731
Q08960	Q00896
P25374	Q00899
P09457	Q00993
P30902	Q00PI9
P52488	Q01065
P06243	Q01097
P38085	Q01147
P38265	Q01149
P49723	Q01279
P40961	Q01320
P23394	Q01339
Q06217	Q01405
Q03579	Q01705
Q04978	Q01727
P38958	Q01730
P37012	Q01768
P26309	Q01815
Q12159	Q01853
P16140	Q02053
P38859	Q02067
Q02908	Q02085
P47166	Q02105
P35732	Q02248
P33338	Q02257
P52960	Q02384
P47135	Q02395
P40107	Q02788
P35996	Q02819
P34239	Q02858
P18852	Q02956
P13188	Q03141
P53946	Q03146
Q08271	Q03157
P00127	Q03173
P16474	Q03265
P33327	Q03267
Q12142	Q03347
P47034	Q03350
P53912	Q03358
P40573	Q03391
P21651	Q03717
P48561	Q03958
P38814	Q03963
P53045	Q04207
P53881	Q04447
P27705	Q04690
Q06815	Q04692
P46961	Q04742
P38852	Q04744
P53278	Q04750
Q08213	Q04841
Q06417	Q04857
Q03899	Q04886
P52867	Q04887
P25362	Q04998
Q03233	Q05117
P20050	Q05144
Q12192	Q05186
Q03981	Q05421
P24384	Q05512
P31374	Q05793
P36115	Q05816
P39692	Q05860
P38745	Q05909
P53289	Q05910
P40476	Q05920
Q08826	Q05921
P42840	Q059Y8
Q03652	Q05AA6
Q04632	Q05CL8
P34230	Q05D44
P38970	Q06180
P32527	Q06185
Q06485	Q06335
Q12138	Q06348
Q12405	Q06507
Q12060	Q06890
P38293	Q07076
Q04052	Q07079
P08466	Q07113
P32645	Q07139
P53189	Q07230
Q12487	Q07231
Q06160	Q07235
P53104	Q07279
P32570	Q07417
Q08777	Q07424
Q12246	Q07456
P35206	Q07797
Q99222	Q07802
Q07528	Q07813
P47818	Q07832
P53299	Q07916
Q08955	Q07968
Q08471	Q08024
P40500	Q08048
Q12385	Q08093
Q99287	Q08189
Q02201	Q08274
P38723	Q08297
P12887	Q08331
Q04431	Q08369
Q6Q547	Q08376
P07280	Q08460
P32318	Q08481
P17122	Q08501
P53115	Q08509
P38336	Q08624
Q12341	Q08639
P38074	Q08775
Q12338	Q08857
P38167	Q08874
Q05541	Q08879
P40039	Q08943
P14066	Q09163
P47168	Q09PK2
P11709	Q09XV5
Q08919	Q0GNC1
D6W196	Q0HA38
P16658	Q0KK59
Q12171	Q0KL01
P21373	Q0KL02
P42835	Q0MW30
P50080	Q0P5W1
P38195	Q0P5X1
P47183	Q0QWG9
Q12234	Q0VAW6
P52491	Q0VBV7
P53943	Q0VDM9
P36077	Q0VE82
D6VTK4	Q0VEJ0
P32526	Q0VGB7
Q07381	Q0VGT2
P25625	Q0VGY8
P17558	Q11011
P53201	Q11136
P53870	Q148Q7
Q03263	Q148V8
Q12513	Q149D4
Q6Q546	Q149F1
Q06152	Q149F3
P38126	Q14AT5
P50875	Q14AX6
P39933	Q14B46
P53008	Q14C51
Q05787	Q14CH1
P53046	Q14CH7
P38086	Q1H9T6
P0CX83	Q1HFZ0
Q05863	Q1HKZ5
P53204	Q1JRP2
P25302	Q1PSW8
Q03629	Q1RLL3
Q04301	Q1XH17
P25341	Q2EMV9
Q06385	Q2KN98
P14063	Q2M2N2
Q3E826	Q2M3X8
P39998	Q2NL51
Q12324	Q2TBA3
P02406	Q2TL60
P40217	Q2TPA8
P39726	Q2VPA6
P38810	Q2VPQ9
O60200	Q2VPU4
P53832	Q2VWQ2
Q04705	Q2YDW2
P39104	Q32KG4
P38334	Q33DR2
P32463	Q38HM4
Q03954	Q3B7Z2
P0CX18	Q3HNM7
Q12139	Q3L180
Q12211	Q3LAC4
P47009	Q3SXD3
Q3E7A0	Q3T9Z9
Q06597	Q3TAQ9
P43617	Q3TBT3
P53292	Q3TBW2
P40457	Q3TCH7
P32524	Q3TCJ1
Q03758	Q3TDN2
P38191	Q3TDX8
P21192	Q3TEA8
P31115	Q3TES0
P40955	Q3TFD2
P39001	Q3THE2
P35201	Q3THG9
Q06287	Q3THK3
Q12028	Q3THK7
P15703	Q3THS6
P38230	Q3TIR3
P20459	Q3TIU4
P40486	Q3TIV5
P34072	Q3TIX6
P38239	Q3TIX9
P32264	Q3TJZ6
P04650	Q3TKY6
P53264	Q3TL26
P38881	Q3TLD5
P28320	Q3TLH4
P39981	Q3TNA1
P53260	Q3TPE9
P04039	Q3TRM4
P40578	Q3TTA7
P0CX57	Q3TTE0
P41318	Q3TTY5
Q12015	Q3TUF7
P40549	Q3TVI8
Q3E828	Q3TVW5
P53749	Q3TW96
Q06201	Q3TWI9
P13130	Q3TWW8
P10080	Q3TXS7
P40003	Q3TXU5
P69852	Q3TXX4
Q06104	Q3TYG6
Q08693	Q3TZX8
P56508	Q3TZZ7
P38864	Q3U095
Q3E736	Q3U0D9
Q12509	Q3U0K8
P48016	Q3U0M1
P20457	Q3U0P1
P04051	Q3U0V1
Q06834	Q3U108
Q06177	Q3U133
P47090	Q3U182
P38759	Q3U186
P53202	Q3U1F9
P37303	Q3U1G5
P10592	Q3U1J4
P18963	Q3U1N2
Q99210	Q3U214
P36090	Q3U286
P53743	Q3U288
P53723	Q3U2P1
P53137	Q3U319
Q03785	Q3U4B1
Q12224	Q3U4H5
P28007	Q3U5C7
Q07825	Q3U7R1
P0CX34	Q3U7U3
P25383	Q3U821
P32644	Q3U8K7
P27515	Q3U962
P35182	Q3U9G9
Q12251	Q3UA06
P10356	Q3UBG2
Q08910	Q3UCV8
P33753	Q3UDE2
Q07895	Q3UDR8
Q99369	Q3UE37
Q06630	Q3UEB3
P19807	Q3UFB7
Q02803	Q3UFQ8
Q03034	Q3UFY7
Q05672	Q3UFY8
P27825	Q3UG20
P38878	Q3UGC7
P46151	Q3UGF1
P53167	Q3UGR5
P47125	Q3UGS4
P53344	Q3UH06
P54858	Q3UH60
P54113	Q3UH66
P53901	Q3UH68
P40219	Q3UH93
P47043	Q3UH99
P34234	Q3UHA3
P36001	Q3UHB1
P49573	Q3UHC2
P12695	Q3UHC7
P35995	Q3UHD1
P53865	Q3UHD6
P02309	Q3UHD9
Q2V2P6	Q3UHF7
Q12502	Q3UHH1
Q12267	Q3UHJ0
Q06688	Q3UHK6
P0CX63	Q3UHK8
P40347	Q3UHL1
Q04487	Q3UHU5
P08432	Q3UHX0
Q08817	Q3UHX8
P20484	Q3UHX9
P33308	Q3UI43
P39936	Q3UIU2
P38153	Q3UJB0
P38690	Q3UJB9
P16661	Q3UJD6
Q04922	Q3UJU9
Q12254	Q3UK78
O74700	Q3UKC1
P22353	Q3UKJ7
P25657	Q3UL36
P16522	Q3ULA2
P37370	Q3ULD5
Q3E837	Q3ULF4
P40527	Q3ULZ2
P38961	Q3UM18
P13090	Q3UM29
Q08921	Q3UM45
Q12284	Q3UMF0
P38271	Q3UMR5
P36125	Q3UMT1
P53228	Q3UMU9
P54857	Q3UN16
P32835	Q3UNW5
Q12362	Q3UPF5
P89113	Q3UPH1
P02992	Q3UPL0
P38780	Q3UPP8
Q08949	Q3UPY5
Q01919	Q3UQ17
P0CF22	Q3UQ28
P17106	Q3UQ41
P36114	Q3UQ44
Q03264	Q3UQ84
P42935	Q3UQN2
Q03036	Q3UQU0
Q03214	Q3UQV5
P13134	Q3UR70
Q06639	Q3URD3
P38283	Q3URK3
Q03799	Q3URR7
P80967	Q3US16
P0C2J4	Q3USB6
P07257	Q3UTJ2
Q03983	Q3UTQ8
P32377	Q3UU96
P34227	Q3UV17
P06844	Q3UVL4
P41813	Q3UVX5
Q05998	Q3UW53
P40558	Q3UWA6
P32630	Q3UX10
P53214	Q3UX62
Q04215	Q3UXW4
P38966	Q3UXZ9
Q03148	Q3UYK3
Q05946	Q3UYV9
Q12483	Q3UZ18
P39904	Q3UZ39
P46962	Q3UZA1
P32837	Q3UZZ6
P02829	Q3V0C5
P32432	Q3V0G7
P32626	Q3V132
P38700	Q3V172
Q06524	Q3V1D3
P40094	Q3V1L4
P38929	Q3V1N9
P22139	Q3V1V3
Q3E7B2	Q3V3R1
P38932	Q45VK7
P53844	Q497I4
Q12461	Q499E5
P05743	Q4ACU6
Q05648	Q4JFN6
Q08993	Q4JIM5
P36004	Q4JK59
Q04399	Q4PZA2
P32485	Q4U2R1
P40202	Q4U4S6
P10662	Q4VA29
Q12259	Q4VA53
Q12067	Q4VA61
Q06199	Q4VBD2
P53724	Q4VBD9
Q12044	Q4VBE8
P32489	Q4VC33
Q3E776	Q4VGL6
P14064	Q4ZGD8
P33299	Q501J6
P52911	Q505B8
Q03771	Q505F5
Q9ZZX1	Q50H33
P00163	Q52KE7
P47108	Q52KI8
Q12151	Q52KR3
P38783	Q569E7
Q04179	Q569L8
P07991	Q569Z6
P34251	Q571C7
P38196	Q571I4
Q12179	Q587J6
P53273	Q58A65
Q03323	Q5DTJ9
P40969	Q5DTM8
Q3E794	Q5DTT3
P38900	Q5DTV4
Q02209	Q5DTY9
P38211	Q5DTZ0
P53907	Q5DU02
Q12252	Q5DU05
P32904	Q5DU09
P53191	Q5DU25
Q08182	Q5DU37
P48361	Q5DW34
P53329	Q5EBJ4
Q06252	Q5EG47
P33300	Q5F293
P53327	Q5F2E7
P16664	Q5F2E8
Q12285	Q5FWK3
P53932	Q5GH68
P36078	Q5H8B9
Q03529	Q5H8C4
P50108	Q5HZJ0
P33336	Q5IRJ6
P32460	Q5NBY9
Q99234	Q5NC05
P0CX79	Q5NC83
P40008	Q5NCF2
Q3E764	Q5NCX5
Q12361	Q5NCY0
Q12287	Q5ND28
P38796	Q5ND34
P40317	Q5PR73
P40360	Q5PSV9
P40022	Q5RJG1
P40504	Q5RJH6
Q06494	Q5RJI5
P53043	Q5S003
P38804	Q5S006
P43682	Q5S248
P28273	Q5SF07
Q07500	Q5SNZ0
P53048	Q5SPW0
P32909	Q5SQX6
P36157	Q5SRX1
P19073	Q5SRY7
P40088	Q5SSE9
P17123	Q5SSI6
P40105	Q5SSM3
P40493	Q5SSW2
P22289	Q5SSZ5
P40965	Q5SSZ7
P48235	Q5SU73
Q02159	Q5SUA5
P47017	Q5SUC9
Q04006	Q5SUF2
P18411	Q5SUQ9
P54999	Q5SUR0
P26370	Q5SVL6
Q08225	Q5SVQ0
Q9P305	Q5SVR0
Q12510	Q5SW19
P38041	Q5SW45
P38818	Q5SWD9
P38635	Q5SWU9
Q12001	Q5SWW4
Q06107	Q5SX39
P43618	Q5SX40
P40962	Q5SXC4
P53274	Q5SXY1
P53903	Q5SYD0
P53687	Q5U3K5
P36143	Q5U4C9
P03881	Q5U4F6
Q12155	Q5U5Q9
P38139	Q5UAK0
P33448	Q5XG69
Q05043	Q5XG71
Q04516	Q5XG73
Q12161	Q5XJE5
P47145	Q5XJV6
P13382	Q5XJY5
Q06001	Q5XKE0
P45976	Q5XPI3
P40218	Q60519
Q03761	Q60520
O13577	Q60575
P36052	Q60590
P38156	Q60592
P54860	Q60596
P38626	Q60597
P25087	Q60598
P39924	Q60603
P12904	Q60605
P14284	Q60611
Q04406	Q60625
P21965	Q60631
P07250	Q60636
P38358	Q60644
Q05610	Q60649
P38843	Q60665
P40016	Q60668
P47161	Q60670
P41734	Q60674
P20084	Q60676
P26448	Q60680
Q02354	Q60692
P32494	Q60707
Q08622	Q60710
P27809	Q60715
P38198	Q60718
P47167	Q60722
P23202	Q60737
Q12277	Q60739
Q12495	Q60749
Q06593	Q60751
P0CX69	Q60759
P39953	Q60760
P27654	Q60766
P38166	Q60769
P25355	Q60770
Q05637	Q60771
Q08990	Q60772
P38709	Q60778
Q03530	Q60779
Q02794	Q60795
P53271	Q60803
P32583	Q60805
P53200	Q60809
P41812	Q60813
P53863	Q60821
P53604	Q60823
P39540	Q60825
P20134	Q60838
Q12157	Q60841
Q04949	Q60847
P38821	Q60848
Q12090	Q60854
P42937	Q60855
P43588	Q60857
Q12459	Q60862
P07246	Q60864
P38711	Q60865
Q06328	Q60867
Q12692	Q60875
Q12133	Q60876
P32563	Q60899
P40316	Q60900
Q05933	Q60902
P43598	Q60925
P21951	Q60930
P20095	Q60931
P39676	Q60932
Q04170	Q60934
P25596	Q60949
P13902	Q60952
P24814	Q60953
P39102	Q60954
P37366	Q60960
Q04629	Q60963
P00360	Q60972
P28241	Q60973
P33420	Q60974
P06182	Q60989
Q12498	Q60994
P42841	Q60996
P53755	Q60997
Q03373	Q61001
P34163	Q61011
P53628	Q61024
P19145	Q61026
P36166	Q61033
P38175	Q61035
P32499	Q61036
P08638	Q61037
P39971	Q61043
P53233	Q61066
P06100	Q61074
P34237	Q61081
Q03829	Q61085
P32383	Q61087
P25641	Q61089
P0C2I8	Q61090
P12685	Q61092
P07149	Q61093
P38953	Q61097
Q99315	Q61102
P54781	Q61103
P48569	Q61107
P47114	Q61112
P25348	Q61116
Q12523	Q61120
P48239	Q61127
Q08963	Q61136
P53094	Q61140
P38124	Q61142
P53074	Q61146
P53101	Q61147
P06781	Q61151
P40312	Q61161
P38064	Q61164
P40958	Q61165
O13297	Q61166
P46964	Q61169
P35191	Q61171
P25270	Q61176
P32345	Q61179
P36054	Q61180
P54837	Q61187
Q01590	Q61188
Q12247	Q61189
P15705	Q61191
P53855	Q61194
Q12027	Q61205
P53741	Q61207
P0CX75	Q61210
Q02336	Q61214
Q02831	Q61216
Q03533	Q61221
P38199	Q61233
P39531	Q61234
P47008	Q61235
Q03099	Q61239
P23642	Q61245
Q06697	Q61249
Q6Q5H1	Q61263
Q12107	Q61271
Q04178	Q61282
Q06440	Q61286
P38764	Q61288
P53906	Q61290
P14291	Q61292
P32047	Q61301
P15315	Q61312
Q07350	Q61315
P39520	Q61316
Q12406	Q61324
P53217	Q61329
P35181	Q61330
P36155	Q61337
P43557	Q61371
P33324	Q61390
P40080	Q61411
P25339	Q61414
Q12400	Q61423
P07560	Q61425
P47081	Q61456
P40994	Q61457
P00401	Q61464
P20606	Q61466
P13433	Q61473
Q03496	Q61481
P40015	Q61483
Q12489	Q61490
P40071	Q61493
P50277	Q61495
Q07549	Q61501
Q06247	Q61508
P40515	Q61526
Q06703	Q61527
P33335	Q61532
Q08745	Q61539
P47150	Q61543
P23291	Q61545
P38088	Q61548
P40480	Q61550
P04173	Q61553
P53860	Q61554
P38317	Q61555
P11792	Q61576
P47031	Q61578
P0CX36	Q61584
P36039	Q61592
Q6Q560	Q61595
Q12117	Q61598
Q07716	Q61599
P20053	Q61602
P53257	Q61625
Q06835	Q61644
Q06204	Q61645
P38590	Q61646
P36066	Q61655
P22147	Q61656
P38325	Q61666
P04840	Q61686
P50947	Q61687
Q00916	Q61696
P38144	Q61699
Q06632	Q61701
Q86ZR7	Q61702
P38710	Q61730
P14743	Q61733
Q06148	Q61735
P53286	Q61739
P40522	Q61749
Q3E740	Q61751
P32861	Q61753
Q04368	Q61765
P39931	Q61768
P53318	Q61771
P46970	Q61781
P51862	Q61789
Q06708	Q61792
P21182	Q61810
P22434	Q61818
Q07959	Q61820
P32612	Q61823
P40054	Q61824
Q12283	Q61827
P32801	Q61831
P32797	Q61839
Q3E791	Q61846
P53091	Q61879
P47093	Q61881
P40893	Q61885
P61829	Q61909
P40537	Q61937
P25036	Q61941
P47113	Q61982
P53207	Q61990
Q07830	Q62009
P25043	Q62018
P32945	Q62048
P37898	Q62073
Q12393	Q62074
P22141	Q62077
P16862	Q62093
P38127	Q62095
P61830	Q62108
P39010	Q62120
P53206	Q62130
P38147	Q62141
P25297	Q62158
P43599	Q62159
P38850	Q62165
P34167	Q62167
Q12339	Q62172
P40963	Q62176
P31688	Q62179
Q04299	Q62181
P40825	Q62188
P53731	Q62189
P53267	Q62190
P22224	Q62191
P26798	Q62193
P38627	Q62203
P36047	Q62205
P25631	Q62209
Q12310	Q62210
P38962	Q62217
Q05955	Q62227
P53215	Q62231
P00447	Q62234
P24871	Q62240
P53552	Q62241
P32610	Q62245
P40154	Q62255
Q12230	Q62261
P32381	Q62277
P43553	Q62282
Q03677	Q62296
P0CG63	Q62312
Q05779	Q62315
P38788	Q62318
P0CX46	Q62348
Q05050	Q62351
P40309	Q62356
P06738	Q62371
P40368	Q62376
P43547	Q62381
Q02457	Q62383
Q07949	Q62384
P51996	Q62388
Q04895	Q62393
P38803	Q62396
P32335	Q62407
P46983	Q62415
P36048	Q62417
Q03048	Q62418
Q06523	Q62419
Q02642	Q62420
P41818	Q62421
Q99188	Q62424
P17255	Q62425
P41909	Q62426
P32491	Q62432
Q01163	Q62433
P47103	Q62440
P38207	Q62441
P35845	Q62442
P32843	Q62446
P32580	Q62448
P21734	Q62465
P32597	Q62504
P53121	Q62520
Q08144	Q62523
P0CD99	Q63739
Q08218	Q63810
P53323	Q63836
P11075	Q63844
Q08646	Q63850
P43548	Q63912
Q07458	Q63932
Q08929	Q63934
P43569	Q63943
P38822	Q63961
Q06554	Q63ZW7
P47042	Q64010
P43123	Q64012
P34250	Q64028
Q01855	Q64092
P22023	Q640N1
P36131	Q640N3
Q99248	Q64105
P07390	Q64112
P39925	Q64127
P48365	Q64133
P53150	Q64151
P34078	Q64152
P10174	Q64163
P27697	Q64191
Q8TGK6	Q641K1
P53893	Q64213
P38891	Q64249
P53283	Q64261
P40187	Q64282
P39996	Q64287
P38355	Q64310
Q06451	Q64317
P22470	Q64318
Q12196	Q64321
Q04958	Q64324
P0C2J7	Q64327
P53173	Q64331
P43554	Q64332
Q03833	Q64337
P32639	Q64339
P08525	Q64345
Q06245	Q64364
P39106	Q64373
Q08873	Q64378
P39004	Q64433
Q8TGJ0	Q64436
P47170	Q64441
P0CF33	Q64442
P33421	Q64446
P40169	Q64449
P06838	Q64455
P31334	Q64458
Q12114	Q64462
P39945	Q64467
Q3E818	Q64475
P40021	Q64487
P04819	Q64511
P32867	Q64512
Q02196	Q64514
P53719	Q64518
Q12182	Q64520
P38620	Q64521
Q3E813	Q64522
P15496	Q64523
Q06623	Q64525
P38848	Q64527
P33296	Q64691
P38241	Q64700
P0CF17	Q64701
P32836	Q64702
P14065	Q64704
P33122	Q64727
P54072	Q64729
P18962	Q64737
Q02202	Q65CL1
Q04233	Q65Z40
P08468	Q65Z93
P40345	Q66K08
P20049	Q66L42
P43562	Q66LM6
Q08157	Q66PY1
Q03289	Q68ED2
Q03178	Q68ED7
P40586	Q68EF6
P06700	Q68EF8
P25293	Q68FD5
Q03337	Q68FD7
Q08754	Q68FD9
P38811	Q68FF6
Q12514	Q68FG2
Q12462	Q68FH0
Q12293	Q68FL4
P40106	Q68FL6
P39928	Q68G58
Q12468	Q68SA9
Q99258	Q69Z38
P28263	Q69Z66
Q12191	Q69Z98
P40102	Q69Z99
P34246	Q69ZA1
Q3E765	Q69ZF8
P11972	Q69ZH9
P46670	Q69ZI1
P40076	Q69ZK0
P50077	Q69ZK6
P38300	Q69ZK9
P32607	Q69ZN7
P46945	Q69ZR2
P53226	Q69ZS0
Q3E7B6	Q69ZS7
P53130	Q69ZW3
P36075	Q69ZX6
Q06169	Q69ZZ9
Q12165	Q6A026
P09950	Q6A028
Q3E760	Q6A037
Q12303	Q6A051
P08417	Q6A065
Q12080	Q6A068
P38987	Q6A078
P0CX14	Q6A0A2
P33202	Q6A0A9
Q12680	Q6A4J8
P39103	Q6AW69
P40085	Q6B8I0
P33332	Q6DFV1
P40055	Q6DFV3
Q12418	Q6DFV5
Q06408	Q6DFV7
P52910	Q6DFW4
P20048	Q6DI86
P38738	Q6DIB5
P28707	Q6DIC0
P40011	Q6EJB6
P13712	Q6GQS1
Q08280	Q6GQT1
Q08236	Q6GQT9
P49956	Q6GQU2
P40186	Q6GQW0
P54785	Q6GYP7
Q07084	Q6IFX2
Q12372	Q6IFX3
P25604	Q6IFZ6
Q03674	Q6IME9
Q12012	Q6IMF0
Q3E838	Q6IQX7
Q08923	Q6IQX8
P53068	Q6IQY5
Q05166	Q6IR22
P54790	Q6IRU2
P38070	Q6IRU5
P01094	Q6J1H4
Q12071	Q6JPI3
P00420	Q6KAR6
P38079	Q6KCD5
P0CX50	Q6NS46
P43570	Q6NS60
P48559	Q6NSW3
Q02888	Q6NV83
P53911	Q6NVF0
P40325	Q6NVF4
P47771	Q6NVF9
P32573	Q6NVG7
P32773	Q6NWV3
Q92328	Q6NXH3
P00044	Q6NXH9
Q04432	Q6NXK7
Q12439	Q6NXK8
Q03525	Q6NZB0
P47173	Q6NZF1
Q99216	Q6NZJ6
P34222	Q6NZL0
P05750	Q6NZM9
Q12529	Q6NZN0
P36156	Q6NZP2
P48360	Q6P069
Q12349	Q6P1B1
P32838	Q6P1C1
Q12200	Q6P1D7
Q00246	Q6P1E7
P35178	Q6P1F6
P36064	Q6P1G0
Q08109	Q6P1G2
P38212	Q6P2B1
P53953	Q6P2K6
P47002	Q6P3A1
P22855	Q6P3E7
P36101	Q6P4S6
P38248	Q6P4S8
Q04660	Q6P4T2
P47179	Q6P542
P09201	Q6P549
Q04779	Q6P5B0
P38149	Q6P5D3
Q08979	Q6P5D4
P39988	Q6P5D8
P14742	Q6P5E4
P36103	Q6P5F9
P23624	Q6P5G3
P06102	Q6P5G6
P51601	Q6P5H2
Q12021	Q6P5H6
Q03205	Q6P5U7
Q99393	Q6P6M7
Q12298	Q6P7F1
Q08930	Q6P7W0
Q06449	Q6P8J7
P46683	Q6P8M1
P06776	Q6P8X1
P32795	Q6P926
P40161	Q6P9K8
P40083	Q6P9L6
P28321	Q6P9P6
P11986	Q6P9Q6
P47127	Q6P9R2
P06839	Q6P9R4
Q03429	Q6P9S0
P39712	Q6P9Z1
P38131	Q6PA06
Q04781	Q6PAC3
P29467	Q6PAC4
P00890	Q6PAJ1
P28789	Q6PAL7
Q08234	Q6PAL8
Q12004	Q6PAV2
P39993	Q6PB44
Q06833	Q6PB66
P38319	Q6PB97
P53185	Q6PCM1
P38341	Q6PCM2
P08456	Q6PCN7
Q02969	Q6PCQ0
P53196	Q6PD03
P42223	Q6PD24
Q03433	Q6PD28
Q12100	Q6PD29
P35723	Q6PDG5
P47144	Q6PDH0
Q06537	Q6PDK0
Q12518	Q6PDK2
P33314	Q6PDL0
P38072	Q6PDM1
Q02486	Q6PDM2
P21576	Q6PDQ2
P47128	Q6PE01
Q12017	Q6PE15
P25577	Q6PEB6
P38956	Q6PER3
P43615	Q6PEV3
P30657	Q6PF93
P53184	Q6PFD5
Q12467	Q6PFD9
P31379	Q6PFE3
P39975	Q6PFR5
P53750	Q6PFX9
P53334	Q6PGB8
P0CX27	Q6PGC1
P53141	Q6PGF3
Q06672	Q6PGF7
P05066	Q6PGL7
Q07555	Q6PGN3
P07267	Q6PH08
Q04489	Q6PHN9
P40534	Q6PHQ8
Q04767	Q6PHU5
P28584	Q6PHZ5
P35729	Q6PIC6
P38348	Q6PIE5
P46678	Q6PIP5
P32317	Q6PKN7
Q12185	Q6PNC0
P40328	Q6PR54
P53306	Q6PZE0
P10614	Q6Q477
Q12382	Q6Q6R3
P25578	Q6Q899
P40361	Q6QIY3
P53297	Q6R0H6
Q04921	Q6R3M4
P42884	Q6R5P0
P11484	Q6R891
P31244	Q6RHR9
P38285	Q6RHW0
P53135	Q6RKD8
P32939	Q6RT24
Q02825	Q6T264
P35718	Q6TDP3
Q07791	Q6TEK5
P41814	Q6TXD4
P41735	Q6TYB5
P24784	Q6URW6
Q06490	Q6V4S5
P30620	Q6VGS5
P40151	Q6VH22
Q12288	Q6VN19
P40577	Q6VNB8
Q03361	Q6VVW9
Q06551	Q6VY05
P42837	Q6WKZ7
Q03338	Q6WVG3
P0CE00	Q6XUX1
Q12250	Q6XVG2
Q03096	Q6XZL8
Q02521	Q6Y5D8
P52553	Q6Y7W8
P18496	Q6ZPE2
Q92331	Q6ZPF3
P41821	Q6ZPF4
P35727	Q6ZPI0
P39927	Q6ZPJ3
P03873	Q6ZPR6
Q3E833	Q6ZPS2
Q04372	Q6ZPT1
P38967	Q6ZPV2
Q12334	Q6ZPY2
Q3E835	Q6ZQ06
P40531	Q6ZQ08
Q04120	Q6ZQ12
P47035	Q6ZQ38
P36519	Q6ZQ58
P47041	Q6ZQ73
P36049	Q6ZQ82
