Q8BR07	A0A087WUL8
Q9D2A5	P02489
P98063	P02511
P46638	P02533
Q9JLM8	P02538
Q01853	P02545
Q8K1J6	P02549
Q99LU0	P02585
P28843	P02647
P09813	P02649
Q9ERD6	P02652
P0C1Q2	P02654
D3YYM4	P02655
Q9DCB8	P02656
Q9CQW9	P02671
Q9R0L6	P02675
Q9D753	P02679
P13439	P02686
Q8BYZ7	P02708
Q64345	P02724
Q8CGS6	P02741
Q9WVB0	P02745
Q9D478	P02746
P23198	P02751
Q6X1Y6	P02763
Q5RJG1	P02765
Q91WM1	P02766
Q8K310	P02768
Q91VT1	P02775
Q9ESF1	P02776
P15089	P02778
Q61191	P02786
P02535	P02787
Q69Z66	P02788
Q922Q9	P02790
P60670	P02792
P61027	P02794
Q8BHL5	P02795
O35486	P02808
P54254	P03372
Q9CQR4	P03886
Q8K3A9	P03905
A2AIV8	P03915
P23738	P03928
E9Q2S7	P03973
Q8BZ21	P03979
P28359	P04004
Q9CPV4	P04035
Q8VIG1	P04040
Q64092	P04049
P70365	P04062
P51660	P04075
P57716	P04080
P25206	P04083
Q921D4	P04114
Q00PI9	P04150
Q9JM71	P04179
Q80VP1	P04181
Q9QYR6	P04183
O08734	P04196
P61979	P04198
Q0HA38	P04201
O35659	P04216
Q923D2	P04217
Q8CHW4	P04233
P30730	P04234
Q9D1R9	P04259
Q6P5F9	P04264
Q9EQ20	P04271
Q64362	P04278
Q6WKZ7	P04279
P43275	P04350
O35864	P04406
P42225	P04439
O54956	P04440
Q8R2Q6	P04554
Q80YA9	P04626
Q60857	P04629
P17679	P04632
Q6NZM9	P04637
Q8CI51	P04792
Q3TDD9	P04798
Q9DBL9	P04808
Q91X97	P04818
Q8R081	P04843
P70698	P04844
P56399	P04899
P11416	P04908
Q6PFX9	P04920
Q62470	P05014
Q9DB20	P05023
Q8BKG3	P05026
Q810D6	P05060
P29452	P05062
P42859	P05067
Q8C1B1	P05089
Q61666	P05090
Q5SWU9	P05091
Q8CFJ9	P05106
Q6AXF6	P05107
Q91YE6	P05109
P56695	P05114
Q9DC29	P05120
D3YZV8	P05121
O88196	P05129
P47754	P05141
Q5U4H9	P05155
P62196	P05161
Q8K1H7	P05164
Q3U0M1	P05165
Q05186	P05166
A2RSQ0	P05187
Q8R3N6	P05198
Q9CQ89	P05204
Q99JW1	P05230
P97470	P05362
P32067	P05386
Q9CQF0	P05387
P62900	P05388
O88712	P05412
B1AQ75	P05423
Q9D3D9	P05455
Q8BMA3	P05549
Q8BKZ9	P05556
Q99LB6	P05771
Q60805	P05783
Q9DB05	P05787
P70338	P05976
Q9Z1K7	P05981
Q99KF0	P06028
Q3U095	P06126
P28700	P06213
O88508	P06239
P62806	P06241
Q9ERL0	P06276
Q6EDY6	P06280
Q80YQ2	P06396
P56546	P06400
P97814	P06401
Q9D1P0	P06454
Q8CGC7	P06493
Q3TXS7	P06576
P70333	P06702
Q9Z319	P06703
Q8BHC9	P06730
Q05895	P06732
P62827	P06733
Q9ES97	P06737
Q9JII5	P06744
E9Q0S6	P06746
P29341	P06748
Q62093	P06753
Q08624	P06756
Q07968	P06865
P97819	P06870
P23492	P06899
O08575	P07093
Q9QUK6	P07099
F6YVP7	P07108
Q9R1V6	P07195
Q99P88	P07196
P19001	P07197
Q61481	P07199
P62696	P07203
P11930	P07204
P47867	P07205
Q6PEM6	P07225
Q6R0H6	P07237
Q6NZK5	P07288
Q91XV3	P07305
Q8JZQ5	P07306
Q6DIB5	P07307
P40240	P07332
Q8K0D2	P07339
Q61425	P07355
Q6IQX8	P07384
Q91VD9	P07437
O88621	P07476
Q8BGZ3	P07477
Q9WVH9	P07478
Q8BHN3	P07498
Q8R2U0	P07550
Q9JLZ6	P07686
Q6P9Q6	P07711
P21107	P07737
Q9R0N0	P07741
Q6NT99	P07766
Q9JHU4	P07814
Q80XI4	P07858
Q61704	P07864
P62137	P07900
Q8BTI8	P07910
Q99N92	P07919
P16381	P07942
Q09XV5	P07947
Q9QVP9	P07948
O88967	P07949
Q8BPM0	P07951
Q8K0G5	P07954
P97366	P07992
P22723	P07996
Q8CIR4	P08034
P04370	P08069
Q8BXA1	P08118
Q6XPS7	P08123
Q9QUR6	P08133
Q61686	P08134
Q8CCJ4	P08138
Q8VE28	P08151
Q62227	P08173
P39749	P08174
P50637	P08183
P12382	P08195
Q71M36	P08218
Q9D8Y1	P08236
Q64028	P08237
P14869	P08238
Q5DU25	P08240
Q9DC71	P08243
Q80VN0	P08247
Q91VU0	P08253
Q5NC05	P08311
O88746	P08473
Q04750	P08559
Q7TQC5	P08571
Q14AT2	P08572
Q61602	P08574
Q9D706	P08579
Q6PAV2	P08581
Q91VE0	P08582
P08103	P08603
Q7TMD7	P08620
Q8VDK3	P08621
P00405	P08631
P27664	P08637
O08789	P08648
P98086	P08651
P63260	P08670
O09159	P08708
Q7TPD0	P08727
E9Q7E2	P08729
Q5XJY5	P08754
P06745	P08758
P62915	P08779
Q921R4	P08842
Q9DB60	P08912
Q91WJ7	P08922
Q5SSZ7	P08962
A2ALS5	P09001
Q9D051	P09012
P35710	P09038
P97742	P09067
P97952	P09093
Q9Z140	P09104
Q3UNH4	P09110
Q05D44	P09132
Q9Z2K1	P09211
Q99PI8	P09228
P05532	P09234
Q8BGS3	P09326
P99029	P09382
Q78WZ7	P09417
P49615	P09429
Q99PJ1	P09466
Q8C5N3	P09467
Q01727	P09471
Q99MX0	P09486
P29974	P09493
P45952	P09496
Q3TTE0	P09497
Q8BP40	P09525
O35405	P09543
P54116	P09601
Q9EPN1	P09619
P23116	P09622
P14131	P09651
Q9CZX5	P09661
O88942	P09668
O70494	P09669
Q3U6K5	P09681
Q91WQ5	P09758
P51885	P09769
Q9WV60	P09874
Q9CXS4	P09884
Q9D8B7	P09912
Q3V3I2	P09913
Q9JKX3	P09914
A2AAY5	P09917
P48545	P09923
Q60769	P09936
Q2VWQ2	P09958
Q3TQF0	P09960
Q9D6K9	P09972
Q400C8	P0C0L4
Q8BU03	P0C0S5
Q9CZU6	P0C0S8
Q8VBX6	P0C1Z6
Q91YX7	P0C2W1
Q8C5Q4	P0C5Z0
Q8K2H2	P0C6T2
Q3TVW5	P0C7H8
Q9D6U8	P0C7P0
Q9D7J7	P0C7P4
Q9D1C8	P0C7T5
P55096	P0C7X2
Q62070	P0C862
P55264	P0CB38
Q8R313	P0CB47
Q3TVI8	P0CG20
Q6PAL8	P0CG37
Q9Z0W1	P0CG38
Q9QXJ4	P0CG39
P08775	P0CG47
P20263	P0CG48
Q3UUY6	P0CJ78
Q8BY71	P0DI81
Q8BXJ8	P0DI82
A3KMN5	P0DI83
Q9D479	P0DJI8
B2RY04	P0DMU8
P63101	P0DMV8
Q9Z1M8	P0DMV9
Q4KMM3	P0DMW2
O35114	P0DOY2
P62878	P0DP23
P01029	P0DP24
Q61696	P0DP25
Q80Y84	P0DPA2
Q3LAC4	P0DPB6
Q3UHC2	P0DPH7
Q8R1G2	P0DPI2
Q6VY05	P0DTE8
Q3V036	P0DTL6
P10077	P0DW28
Q8K2Z8	P0DX52
Q922G0	P10071
Q9D6G9	P10073
Q8CBY8	P10074
Q9D9R0	P10075
Q3UA37	P10114
P27467	P10147
P39688	P10155
Q71EK3	P10242
Q80XR2	P10244
Q9CR14	P10253
Q6A068	P10275
P10922	P10276
P40201	P10301
Q9QXS1	P10321
O70318	P10398
Q9D6J6	P10412
Q9R269	P10415
Q640N1	P10451
Q9D8Y0	P10515
P06151	P10586
Q9CR80	P10588
Q8R3P6	P10589
P48453	P10599
Q8K411	P10606
P70403	P10619
E5FYH1	P10620
P56959	P10636
O35716	P10644
Q80WM4	P10696
Q9QZN1	P10720
P04919	P10721
E9Q6P5	P10768
Q4U2R1	P10809
Q8R080	P10827
Q3TDQ1	P10828
Q7TQI3	P10909
P59240	P11021
Q3V3R1	P11047
Q148W0	P11055
Q9Z2G0	P11117
Q99LI2	P11137
Q80ZK9	P11142
Q69ZH9	P11166
P14576	P11171
Q8BTW9	P11172
Q9CR62	P11177
Q60867	P11182
Q6PGG2	P11215
Q9QXX4	P11216
D3Z2R5	P11217
F7BWT7	P11230
Q80T41	P11233
Q9JL35	P11234
Q6A065	P11274
Q9JIS8	P11277
P70236	P11279
Q8CE96	P11308
P15306	P11309
P24288	P11310
P34152	P11362
Q99LC3	P11387
Q2TL60	P11388
Q8K2Z4	P11413
O35459	P11441
Q8CGT6	P11464
Q8BFV2	P11473
Q8CIE4	P11474
O08537	P11487
Q9EQP2	P11498
Q8K5B9	P11511
Q8BIL5	P11532
Q9CWH5	P11586
P97445	P11686
P28033	P11717
Q8BMZ5	P11766
Q8BW22	P11801
Q925I1	P11802
Q80YQ8	P11831
Q8BZ03	P11836
Q80ZJ6	P11908
Q06890	P11912
P46471	P11940
Q9WUM5	P12004
Q6A0A2	P12035
Q91X56	P12036
Q2TV84	P12074
Q91XD2	P12081
Q61493	P12109
Q3U821	P12110
P15532	P12235
P68372	P12236
Q8BYI9	P12268
Q9R0E1	P12270
P08228	P12273
P70699	P12277
Q04997	P12314
Q8CG71	P12318
Q9CVI2	P12319
Q9WTL2	P12429
Q5SV77	P12524
P59823	P12532
Q91ZP9	P12644
Q9QXA6	P12694
Q9CQD4	P12755
Q9WUU9	P12757
Q80X50	P12814
P54754	P12830
Q0VBD2	P12882
Q8K1R7	P12883
P22366	P12931
Q9D084	P12955
Q9Z1X4	P12956
P62192	P13010
Q01887	P13051
Q6Y7W8	P13073
Q80TR8	P13164
Q5GH68	P13196
O09105	P13224
Q4G0F8	P13236
Q3UHF7	P13284
Q91WD7	P13349
Q6PDM4	P13385
Q6DFV7	P13473
Q9DBM2	P13489
Q63934	P13497
E9Q0B6	P13498
P70459	P13500
Q6ZPS2	P13501
P09602	P13533
Q5DTI8	P13535
Q9JLI7	P13569
Q9EQU3	P13591
Q3U0J8	P13598
Q91ZZ5	P13611
Q9DCX2	P13612
Q9CZ82	P13631
P28738	P13637
Q9CPR4	P13639
Q68FL6	P13645
Q9EQM6	P13646
P53994	P13647
P31938	P13667
Q8C0Q9	P13674
Q8VEL2	P13682
Q9DBY8	P13693
Q80TG1	P13716
Q3UN16	P13747
Q9CQ19	P13796
Q9Z1S0	P13797
P30275	P13798
Q9CPW4	P13804
Q60994	P13805
Q6Q6R3	P13807
P21619	P13861
Q9D0K1	P13928
Q9CQA9	P13929
Q61263	P13984
Q8BGS7	P13987
Q8CCN5	P13994
Q3URQ0	P13995
Q569Z6	P14136
Q8K1S3	P14138
Q8CIP4	P14174
P55065	P14210
P97930	P14222
P83741	P14314
Q3UJU9	P14316
Q9EPM5	P14317
Q6P5D8	P14324
Q9WTX6	P14373
Q7TMY4	P14384
Q5PSV9	P14406
D3Z4R1	P14416
P04342	P14543
O54839	P14550
P21836	P14598
P11157	P14616
P14873	P14618
Q99K48	P14625
Q91VN6	P14635
P35276	P14649
Q91ZD6	P14653
O55229	P14672
Q61081	P14678
Q9JHL1	P14735
Q9CWE6	P14770
Q9CQD8	P14780
Q8CDD8	P14854
Q6QIY3	P14859
Q9Z1D1	P14866
Q8CFI5	P14867
Q1H9T6	P14868
E9Q6J5	P14921
P46660	P14923
Q61097	P14927
Q8CEF8	P15036
Q91VS8	P15056
Q9JIW5	P15104
Q8R5A6	P15121
P35454	P15144
Q61781	P15151
D3Z3K2	P15153
P28063	P15170
Q8K449	P15172
P42230	P15173
Q9Z0H7	P15259
Q8VCW8	P15260
Q91WV7	P15289
F2Z426	P15291
P05784	P15309
Q8CAQ8	P15311
Q3UU96	P15313
Q921Y2	P15328
Q8BFY9	P15336
Q8R1X6	P15374
Q6NS69	P15407
Q9CQN7	P15408
P41216	P15498
Q7TPD6	P15516
Q9CQF3	P15531
Q9CZP5	P15559
Q7TSG2	P15586
Q9Z210	P15622
Q91YR5	P15692
Q9CZG9	P15735
Q3UUI3	P15812
P49817	P15822
Q8VBV8	P15848
P62751	P15880
P97333	P15884
A2AN08	P15924
Q99PV0	P15927
Q6PHU5	P15941
Q8WTY4	P15954
Q9QZR0	P15976
Q9QZ06	P16070
Q91VR5	P16104
Q8BH97	P16144
Q9Z1Q5	P16152
Q8BU04	P16157
Q9R053	P16220
Q8BX09	P16234
A2RT67	P16260
Q03391	P16278
Q61168	P16298
P47811	P16333
P58468	P16383
Q8BLU0	P16389
O55029	P16401
P59470	P16402
P62897	P16403
Q8VHG0	P16410
O55022	P16435
Q3TYA6	P16444
P56213	P16455
Q3UHD1	P16473
P06795	P16562
A2ATK9	P16591
Q9DC69	P16615
Q3U827	P16619
Q920H1	P16860
P46684	P16870
Q07133	P16885
Q9Z1S5	P16949
Q99LH1	P16989
Q9WUC3	P17021
P52623	P17026
A2AJK6	P17028
P58544	P17029
Q3V124	P17040
P97334	P17050
Q99MN1	P17066
Q91XL2	P17081
Q62418	P17096
O88379	P17152
P55200	P17174
Q61469	P17181
Q9JJV2	P17252
Q61765	P17275
Q80T69	P17301
O89051	P17302
Q80VD1	P17480
Q80UU9	P17482
Q9D8V0	P17509
Q3U3R4	P17535
P34960	P17540
Q61039	P17542
P59242	P17544
P07759	P17568
P50516	P17612
Q01705	P17655
Q9Z2A0	P17661
P97492	P17676
Q810J1	P17677
Q9CWF6	P17693
Q91YW3	P17706
Q5RKZ7	P17707
O70293	P17787
P28740	P17812
Q91XC0	P17813
Q9JKV1	P17844
Q9R0P5	P17858
Q69ZB0	P17900
Q9CQD1	P17931
P0C871	P17936
O08715	P17947
Q8CDU6	P17948
Q9ERA6	P17980
P16858	P17987
Q8R326	P18031
Q8BGQ4	P18074
P97363	P18075
Q91WK2	P18077
Q62073	P18084
Q9QXE7	P18085
P53026	P18124
Q9ES83	P18146
Q8CHH9	P18206
P23359	P18433
Q8BU90	P18510
Q5FWK3	P18583
O35495	P18615
O55142	P18621
P62996	P18669
P70318	P18754
Q91WA4	P18827
Q91YU3	P18846
Q78IK4	P18847
Q80XJ3	P18848
Q80TF6	P18850
Q1HKZ5	P18858
Q61771	P18859
P55066	P18887
Q80TY0	P19012
Q8C5L7	P19013
Q8C6A8	P19021
Q62381	P19022
Q9JI39	P19075
Q6IQX7	P19086
Q9D832	P19105
Q9DB34	P19174
Q8R0L9	P19237
Q6DIC0	P19320
P84099	P19338
Q8CIH5	P19367
Q91XU3	P19387
Q6DFW4	P19388
Q9ESL4	P19397
E9Q7D5	P19404
Q8K021	P19419
O35613	P19438
Q9CQ92	P19447
Q01279	P19474
Q9D773	P19525
P97411	P19526
P35283	P19544
Q3USB7	P19623
Q9ES74	P19634
P48678	P19784
Q8C0P0	P19793
Q60855	P19823
Q05793	P19838
Q8K0T4	P19875
A2A559	P19971
P20065	P20020
Q08501	P20036
P59481	P20042
Q61176	P20073
P0CG15	P20151
Q3V1L4	P20226
Q80XC2	P20248
P23881	P20309
Q02067	P20333
Q8VCG3	P20336
Q91X79	P20337
Q6KAU4	P20338
P70362	P20339
Q9JM93	P20340
Q9CR59	P20585
Q64096	P20591
Q99104	P20618
Q8K386	P20645
A2A863	P20648
O88509	P20671
Q8C522	P20674
P80314	P20700
Q3UPH1	P20718
Q9DCM0	P20719
A0A140T8Q4	P20749
Q8K382	P20807
Q501J7	P20810
Q6X6Z7	P20823
Q8BM54	P20827
P23204	P20839
Q0VGB7	P20848
Q6PFR5	P20929
A0A075B5T3	P20933
Q6ZPT1	P20936
Q8K4L4	P20962
E9PWI3	P21108
Q924D0	P21127
Q9WV04	P21246
Q9JIX8	P21266
P97454	P21281
Q8BGB2	P21283
Q9CWT6	P21291
Q60875	P21333
Q8CCI5	P21359
O35239	P21399
O35719	P21453
Q9D7M8	P21462
Q9D593	P21549
Q8R3C6	P21579
Q9EQK5	P21580
Q9QWT9	P21589
Q9R1V7	P21675
Q8C9X6	P21709
Q8CIM8	P21730
Q61137	P21731
Q99KP6	P21796
Q8CDC7	P21802
P29037	P21860
A2AKQ8	P21912
Q9D3P8	P21926
Q7TNC6	P21953
Q8R361	P21964
Q80VP0	P21980
P70387	P22033
P55258	P22059
Q8C854	P22061
Q8BH95	P22087
P15331	P22090
Q9JHS9	P22102
O70591	P22234
O35082	P22304
P61963	P22314
Q9CX34	P22392
Q91YT8	P22413
Q8BFW7	P22415
P58854	P22455
Q9CWU6	P22459
A2AEY4	P22460
Q9CWL8	P22492
P56203	P22528
P51954	P22570
A2AQ07	P22607
Q6DFV5	P22612
A2A432	P22626
Q8BTY1	P22670
Q8R0S2	P22681
Q03963	P22694
Q61171	P22695
Q76KJ5	P22732
P68037	P22735
Q8K389	P22736
D3YYY8	P22749
Q8CBY3	P22830
Q6S5C2	P22891
P70324	P23025
O88472	P23141
Q6VGS5	P23142
O08917	P23193
O55023	P23219
P61022	P23229
Q9CXZ1	P23246
Q8CBW3	P23258
Q8C2E4	P23280
O35129	P23284
P97825	P23297
Q9JMH6	P23352
Q7TPM6	P23368
Q99ME2	P23378
P41133	P23381
P62267	P23396
P35428	P23434
Q8BT60	P23443
Q811S7	P23458
Q8VDS7	P23468
Q3TYD4	P23469
Q9CQS2	P23470
Q9Z0H4	P23490
Q9D1E6	P23497
Q8BH75	P23508
Q91WD0	P23511
B1AZI6	P23526
Q62421	P23527
Q60930	P23528
Q64674	P23560
Q8CG48	P23588
Q8K3G9	P23634
A0A1B0GRG8	P23760
Q923S9	P23763
Q920Q4	P23769
O55091	P23771
Q8C5H8	P23786
Q99JP4	P23919
Q8C2E7	P23921
Q9Z2D7	P23945
P56400	P23946
Q6PDN3	P23975
Q09163	P24158
Q32M07	P24278
Q8K3H0	P24385
Q9JKN1	P24386
P53568	P24390
P97469	P24394
Q6GQT9	P24468
Q9CQE9	P24522
P26443	P24534
P97793	P24539
Q9Z2V4	P24588
P26049	P24592
Q6KCD5	P24593
Q6ZWY9	P24666
Q91XC8	P24844
Q02395	P24863
Q61102	P24864
Q8VBV7	P24928
P62960	P24941
E9PV24	P25054
Q3UJ81	P25067
Q61532	P25090
Q99MK9	P25098
Q8BHP7	P25101
Q60590	P25103
Q9ESD1	P25105
Q8CGY8	P25205
Q8BIG4	P25208
Q8CGF1	P25311
Q8BLK3	P25325
Q8CAC8	P25391
Q6NS46	P25398
E9PYI1	P25440
P10639	P25490
Q3UHD6	P25685
P39087	P25686
Q80Y24	P25705
O55057	P25774
Q9D0E1	P25786
Q9CQY1	P25787
Q8BH57	P25788
Q925E7	P25789
Q01320	P25791
Q9QX47	P25800
Q91WA6	P25815
P23798	P25942
P61079	P25963
Q99MW1	P26006
Q9QZN0	P26012
P50544	P26038
Q9CRA9	P26045
P68134	P26196
Q62168	P26232
O54724	P26358
Q9CY27	P26367
Q9CQA3	P26368
Q9CZX8	P26373
Q7TSF9	P26374
Q69ZU6	P26440
Q6P1C1	P26447
Q9CQX8	P26583
Q3UQN2	P26599
P16254	P26639
Q8BWU5	P26640
P17751	P26641
E9Q5Z5	P26678
P25911	P26715
O09009	P26717
P59764	P26842
P48542	P26885
Q9D7F2	P26951
Q61129	P26998
O89026	P27037
P17918	P27105
O70343	P27144
Q8R3P2	P27338
Q8VEK3	P27348
Q01405	P27361
Q8CBD1	P27448
Q61169	P27449
P09632	P27482
Q8BG36	P27487
Q920E5	P27540
P62918	P27635
Q8K3X4	P27658
Q9D554	P27694
P52825	P27695
Q9Z0Z3	P27707
P97427	P27797
Q91YM2	P27816
Q7TPH6	P27824
Q3U492	P27918
Q6GQX2	P27930
Q922U2	P27986
Q65Z93	P28062
O54826	P28065
Q9JLK3	P28066
Q5SYH2	P28068
O54788	P28070
Q62189	P28072
Q69ZZ9	P28074
Q8CJF8	P28222
Q3TTY5	P28288
Q5NCY0	P28289
Q9R0X4	P28290
A0A140T8M3	P28300
A0A1W2P872	P28324
Q5SS80	P28325
Q6NVF9	P28331
O09118	P28335
P19246	P28340
Q6PFH3	P28347
Q9R1T4	P28370
Q8VEE4	P28482
Q8C5N5	P28562
Q9D020	P28676
A2A8U2	P28702
Q99K46	P28715
Q9D0K0	P28749
E9QAM5	P28799
P35831	P28827
Q9JJK2	P28838
Q9WTZ9	P29016
P52955	P29033
O55203	P29034
P13707	P29074
Q8C9W3	P29083
Q80Z38	P29084
B2RXX5	P29122
Q6PGB8	P29144
Q9CY00	P29275
P10107	P29317
Q8CGI1	P29320
Q8BUL6	P29322
Q6ZWS8	P29323
O09114	P29350
Q00612	P29353
Q8BRC6	P29371
Q61735	P29372
P62932	P29373
Q8C9B9	P29374
Q91XX1	P29375
Q9D291	P29376
P70121	P29400
Q3U466	P29466
Q8CH72	P29508
Q8K2A8	P29558
Q9EPU0	P29590
Q61234	P29597
Q9D023	P29692
Q9D7G0	P29966
Q99MU3	P29972
Q64729	P29992
Q8K1N2	P30038
O88384	P30040
Q91V41	P30041
Q5U4C1	P30043
Q03267	P30044
P21550	P30048
Q920P5	P30049
Q8CI11	P30050
P09021	P30084
Q8K4P0	P30085
Q8BGC0	P30086
P11881	P30101
Q9WTX5	P30153
Q8BIW1	P30154
P63166	P30203
Q64249	P30260
Q2VPU4	P30273
Q08274	P30279
Q8JZS6	P30281
Q8BG30	P30291
Q9R164	P30304
Q9JI19	P30305
P70351	P30307
P97464	P30405
Q9CQW1	P30414
P97447	P30419
Q921L5	P30511
Q80WC3	P30518
P63087	P30519
Q571I4	P30520
P49135	P30530
Q8BJD1	P30532
Q9ESN6	P30533
P58681	P30550
Q8N7N6	P30556
Q00896	P30566
Q8BS40	P30613
Q8K212	P30622
Q6PB93	P30626
P30415	P30740
Q8BL06	P30793
Q80TQ2	P30825
Q9WTX8	P30837
Q5EBJ4	P30838
Q80TS5	P30876
P70232	P30926
Q9ESJ1	P30989
Q925Q3	P31025
P63005	P31040
Q9WV18	P31146
Q921F4	P31150
Q9R1X4	P31151
Q8R1S4	P31152
Q8VD65	P31153
Q8CH18	P31273
P59055	P31274
Q66JY2	P31314
Q64691	P31321
Q9D2H5	P31323
Q8R2Q4	P31327
Q8K0S9	P31350
P62509	P31431
Q8K248	P31483
Q9Z2I9	P31689
O09106	P31749
O70480	P31751
Q08639	P31930
O35083	P31937
Q6P4S6	P31939
Q9D2N9	P31942
Q9R1P4	P31943
Q9CR26	P31944
Q99J83	P31946
Q5SW45	P31947
Q3UNW5	P31948
Q8R4Z4	P31949
Q7TN31	P31997
Q8BSA9	P32004
P62962	P32119
Q8CIG8	P32121
Q04841	P32189
Q01147	P32241
Q9ERC8	P32242
Q9WVJ5	P32243
P17426	P32246
P41245	P32249
Q9JM14	P32297
F8VPP8	P32320
Q9D358	P32322
Q8C7U1	P32455
A2AG50	P32456
Q9WV70	P32780
Q62468	P32856
Q9CQ13	P32929
P53569	P32969
Q61165	P32970
Q811T9	P32971
Q05BC3	P33121
Q9Z138	P33151
Q9DAW9	P33176
Q99MI1	P33240
Q9CQF6	P33316
P70268	P33527
P18406	P33552
Q9D142	P33681
P70278	P33764
P56382	P33778
Q64429	P33897
Q8C6S9	P33908
Q9Z160	P33947
Q9JHJ0	P33981
Q9R1C7	P33991
Q64339	P33992
P59325	P33993
Q8BP27	P34059
Q9R0P4	P34741
Q9CY16	P34810
Q9QWW1	P34896
O08807	P34897
Q91YP3	P34910
Q60953	P34925
Q60864	P34931
O09000	P34932
A2AQ19	P34947
J3QMC7	P34949
Q8K4J2	P34972
Q8R464	P35030
Q6P1B1	P35052
O89112	P35080
Q9D1T0	P35219
P60122	P35221
Q9JLV1	P35222
P62717	P35226
H3BL64	P35227
P48432	P35232
Q9DCT6	P35236
Q7TNF8	P35237
Q9CZX0	P35240
Q9ES00	P35241
P63073	P35244
P43024	P35249
Q8BVE8	P35250
Q62255	P35251
Q9ERK4	P35268
P16460	P35269
P39429	P35270
Q9WTN3	P35372
Q06138	P35408
Q6P8J7	P35414
Q9CZT4	P35453
Q8R4U0	P35475
Q60603	P35499
Q8BFP9	P35520
Q3TIX6	P35527
O08674	P35548
E9Q585	P35556
P16014	P35558
Q9MD82	P35568
Q8BUE4	P35573
O35737	P35579
P17742	P35580
Q61316	P35606
Q8K296	P35609
Q61526	P35610
Q8JZM7	P35611
Q6Y685	P35612
Q9CQQ7	P35613
Q6AW69	P35625
P27659	P35637
Q8CGU1	P35638
Q64332	P35658
Q3U0K8	P35659
Q99PP7	P35680
Q8CI71	P35711
A0A0A6YXJ8	P35712
Q60989	P35749
Q60987	P35754
Q9JIM1	P35813
O70439	P35869
O70378	P35900
Q5DW34	P35908
Q921M7	P35914
D3Z4R4	P35916
Q9WUP4	P35968
P61222	P35998
D3Z6Q9	P36021
Q9D1H6	P36382
Q9EPK2	P36404
Q99K95	P36405
Q68EF8	P36406
Q61036	P36507
P97785	P36508
Q8CIE6	P36542
P97358	P36543
P51450	P36551
Q9CR57	P36578
Q8K4G2	P36639
Q2TPA8	P36776
Q99N57	P36871
P99024	P36873
Q8K019	P36894
Q9CPV1	P36896
Q8BJZ4	P36897
O35488	P36915
P24383	P36941
P16332	P36952
Q9WTX2	P36954
O70337	P36955
Q6VVW5	P36956
Q8C9H6	P36957
Q8C6B2	P36969
Q8BFY7	P37088
Q6ZWX6	P37108
Q8CC27	P37173
Q8R0T2	P37198
Q9JM13	P37231
Q99ML0	P37235
O08528	P37268
Q9JLI8	P37275
Q69ZN6	P37287
Q64441	P37802
Q80T85	P37837
Q80WE4	P37840
O55126	P38117
Q6ZQ38	P38159
P60710	P38398
Q9QYC0	P38432
Q61211	P38435
Q9JL25	P38484
Q9QY15	P38571
Q9CQV6	P38606
P47962	P38646
Q9EQB9	P38919
O08547	P38936
P62082	P39019
P63028	P39023
P51655	P39060
Q7TMW6	P39086
Q3UV70	P39210
Q62245	P39656
P46467	P39687
P31001	P39748
Q9WTK3	P40121
Q60736	P40123
Q91YM4	P40189
Q9DAZ9	P40197
Q9CPW2	P40199
A2AQ25	P40222
P60766	P40227
P97863	P40238
Q60680	P40259
Q8R2N0	P40306
P42567	P40337
Q9QXK7	P40424
P42232	P40425
Q5EG47	P40426
P56391	P40429
Q8R071	P40616
P35235	P40692
Q9WVB3	P40763
Q8BY02	P40818
P60898	P40855
Q61033	P40925
Q9Z1E4	P40926
Q61598	P40937
O35295	P40938
P56135	P40939
Q9Z1A9	P40967
Q3UHD9	P41002
Q8BGV5	P41091
Q80XC6	P41134
Q61456	P41146
Q91YJ5	P41162
Q69ZF8	P41181
B2RXS4	P41182
P28301	P41208
P09023	P41212
Q6DIC6	P41214
P28076	P41218
P34056	P41219
P15626	P41220
P70295	P41221
A6H5Z3	P41222
Q9JLV6	P41223
Q61464	P41227
Q00519	P41229
P43345	P41231
P14404	P41235
Q91ZR1	P41236
Q8R1B8	P41240
Q924T2	P41250
A2AWL7	P41252
Q9QYE5	P41273
P70207	P41587
Q6DYE8	P41597
P50571	P41732
Q3TCJ1	P41743
Q8BGJ9	P42025
Q80W00	P42126
Q9CPQ8	P42166
P47738	P42224
Q9QYK7	P42226
O89113	P42229
Q9Z1L3	P42262
Q9Z2Q5	P42285
Q80YY7	P42330
Q80YD1	P42331
Q9Z218	P42336
Q5U458	P42338
Q60749	P42345
Q6PAJ1	P42356
P25118	P42357
G3X9J0	P42566
Q8BSK8	P42568
Q66L42	P42574
Q9D8Z6	P42575
Q9CQH3	P42677
Q9CWY4	P42681
Q9DB42	P42684
Q6P9S1	P42685
Q9DBH0	P42694
P43247	P42695
A2APF3	P42696
P15314	P42701
O35286	P42704
Q6RHR9	P42765
P62843	P42766
Q9D504	P42768
Q8R2M2	P42772
Q08024	P42773
O55026	P42785
P97822	P42830
Q5SGK3	P42857
Q9CQN1	P42858
P97360	P42892
Q91XE9	P42898
Q3UR85	P43003
O88947	P43005
Q99LC2	P43034
Q9DBG7	P43115
Q9EQC5	P43119
Q8BNW9	P43121
Q99P25	P43146
Q9CS72	P43155
Q04692	P43220
Q1HFZ0	P43243
Q9Z266	P43246
Q6NVF4	P43250
