P32368	A0A061ACG4
Q06567	O17838
Q06170	O17839
P40314	O17850
Q07897	O17861
P47175	O17862
P25572	O17891
P32494	O17892
P32266	O17893
Q08237	O17894
P17260	O17897
P48581	O17899
P53038	O17901
P0CD91	O17907
P49704	O17909
P29295	O17915
P36112	O17917
Q04491	O17919
Q12321	O17921
Q05164	O17930
P47009	O17932
Q12163	O17933
Q06696	O17934
P07245	O17939
Q07362	O17953
P15891	O17966
Q99278	O17972
P32477	O17974
Q03792	O17977
P35736	O17981
P25043	O17982
Q12292	O17983
Q05123	O18000
P40343	O18015
P41909	O18017
P37020	O18036
P35190	O18041
Q06338	O18051
P53184	O18054
P42834	O18064
P41948	O18068
P34240	O18089
P52870	O18118
P53929	O18125
P0CH64	O18141
P38958	O18152
Q05468	O18154
P38204	O18156
P35844	O18158
P32839	O18167
Q12512	O18170
Q3E7C1	O18175
Q12102	O18178
Q04175	O18180
P23201	O18181
Q08054	O18182
P80428	O18183
P21734	O18191
Q99186	O18195
Q02648	O18199
P43122	O18201
P18409	O18209
P0CX13	O18210
P35177	O18214
P34219	O18215
P47031	O18216
P40087	O18221
P36054	O18224
P39518	O18235
Q03018	O18236
P40462	O18240
P17505	O18246
Q03178	O18259
P17649	O18267
P53081	O18269
P25370	O18276
P38699	O18282
P38969	O18286
P16474	O18301
Q04711	O18307
P38333	O18650
P40556	O18687
P33309	O18688
Q3E746	O18689
P32583	O18694
P38755	O18697
Q12059	O44131
Q12044	O44133
P46946	O44135
Q04216	O44139
P31384	O44144
P53244	O44145
P0CX83	O44156
Q02804	O44158
P32264	O44159
Q99296	O44167
P43617	O44168
P53829	O44175
P25656	O44183
P43571	O44195
P20133	O44199
O94742	O44326
P16140	O44400
Q04675	O44406
P32561	O44408
Q06408	O44411
P36036	O44441
P33330	O44444
P53011	O44445
Q04018	O44447
P53838	O44448
P33399	O44451
P38336	O44475
P36123	O44476
P40310	O44477
P38692	O44490
P50944	O44501
P32623	O44502
P38922	O44505
Q12466	O44509
O13535	O44510
P10964	O44512
Q03824	O44513
Q07804	O44514
P12689	O44516
Q03079	O44517
P40028	O44518
P38871	O44532
Q12118	O44548
Q06224	O44549
P25591	O44552
P47147	O44556
Q12489	O44566
P32580	O44572
P36162	O44579
Q02887	O44590
Q00772	O44606
Q03554	O44608
Q06676	O44625
Q06058	O44650
P32463	O44652
Q12173	O44656
Q99303	O44657
Q03723	O44666
Q08955	O44667
P36088	O44714
Q02555	O44719
P36120	O44727
P38624	O44729
P40009	O44732
P46683	O44737
P40486	O44738
P32524	O44739
P32849	O44740
P40107	O44743
P40545	O44749
Q06103	O44750
P0C268	O44754
P37267	O44757
Q05881	O44760
Q06675	O44761
P08468	O44768
Q12676	O44770
P38742	O44781
P41697	O44782
P61829	O44797
P40533	O44804
Q02774	O44820
P23561	O44821
P40502	O44827
P53139	O44856
P27825	O44857
P39994	O44867
P53130	O44871
Q06252	O44897
O13585	O44906
Q07648	O44949
P50104	O44951
P07149	O44952
Q03780	O44954
P07703	O44955
Q12496	O44956
P40422	O44985
Q06608	O44989
P38959	O44991
P33336	O44992
P34218	O45003
P40889	O45006
P43558	O45011
P39945	O45060
Q03799	O45068
P0CX12	O45069
Q03048	O45074
P38626	O45075
P53903	O45083
Q05584	O45097
Q08193	O45106
P53313	O45134
P38347	O45146
Q12263	O45148
Q04359	O45166
P0CF33	O45168
P39548	O45177
P08566	O45181
P51979	O45189
P53846	O45218
P40074	O45221
P53128	O45231
Q12476	O45233
Q04214	O45241
P36068	O45244
P32578	O45246
P24280	O45285
P36033	O45291
P53196	O45293
P38756	O45298
P35202	O45303
P40438	O45313
P53974	O45315
P32504	O45316
P35206	O45319
P53882	O45320
Q12029	O45323
P13365	O45335
Q06436	O45346
P47002	O45373
P22289	O45379
Q05979	O45387
P39533	O45388
P0CX65	O45391
P21190	O45405
P53099	O45406
P22007	O45408
Q05549	O45418
Q08921	O45430
Q04951	O45432
P50106	O45436
Q07830	O45442
P53188	O45443
P15424	O45444
Q04411	O45451
Q06032	O45463
P41903	O45491
P32435	O45493
Q06630	O45494
Q12449	O45495
P07143	O45496
P32527	O45499
P34232	O45502
Q05031	O45503
P43623	O45513
Q01855	O45521
P09880	O45522
Q02792	O45525
P38862	O45526
P53754	O45532
P46996	O45537
P60010	O45539
Q04781	O45550
Q12349	O45551
P40563	O45574
P40013	O45577
P13188	O45599
P36087	O45600
P53278	O45603
P20053	O45628
Q06479	O45637
Q3E760	O45659
P50091	O45664
P47069	O45666
P30657	O45672
P50094	O45679
Q03323	O45686
P48235	O45687
P13090	O45691
P33329	O45698
Q3E7A4	O45705
P0C5R9	O45707
P41913	O45712
P20447	O45713
P47170	O45717
P32626	O45722
P47912	O45734
P40538	O45749
Q12123	O45764
Q05949	O45766
P46961	O45776
Q07979	O45781
P32628	O45784
P53159	O45797
P40217	O45799
P38687	O45812
Q00955	O45815
P48743	O45819
P36167	O45830
P49775	O45831
Q6Q547	O45864
P54837	O45865
P32464	O45868
P39925	O45870
P27344	O45915
Q06449	O45923
P40357	O45924
P47053	O45926
P21372	O45933
P38697	O45934
P38310	O45935
P35200	O45936
Q7LHG5	O45943
P25654	O45944
Q06512	O45946
P35728	O45948
Q12033	O45950
P10869	O45952
P40099	O45962
P50084	O45984
P40581	O45995
Q12157	O46009
Q08969	O46016
P38809	O46023
P34162	O61198
P36119	O61199
P0C2J4	O61201
P25343	O61208
P53296	O61213
P53755	O61215
P43592	O61216
P53318	O61219
P53079	O61220
Q12369	O61235
P25454	O61460
Q06489	O61466
P0CE69	O61518
Q12085	O61521
P49723	O61528
P38301	O61660
Q08932	O61707
P33338	O61708
Q12452	O61709
P37370	O61710
Q06624	O61711
P54857	O61737
Q96VH5	O61741
Q12306	O61742
P53315	O61749
P25369	O61761
P39996	O61770
Q12416	O61771
P38836	O61775
Q12219	O61787
P40453	O61790
Q03862	O61792
Q03104	O61793
Q06597	O61801
Q06697	O61815
Q04835	O61818
P18480	O61820
P53394	O61821
Q08683	O61826
P43542	O61834
P33749	O61845
P32901	O61847
P22215	O61853
P47043	O61856
P41901	O61861
Q12454	O61876
P39708	O61880
Q12027	O61882
P33327	O61887
Q04978	O61890
P34730	O61900
P38880	O61910
P40582	O61924
P08678	O61931
P26364	O61942
P15938	O61944
P32380	O61955
P0C272	O61965
P40020	O61967
P31385	O61980
Q3E763	O62017
P53895	O62040
P38986	O62055
Q07980	O62071
Q12674	O62079
Q02206	O62090
P53551	O62102
P29340	O62104
P05755	O62106
P18852	O62122
P0CE96	O62124
Q04006	O62126
P36059	O62136
Q12275	O62137
Q12753	O62140
P40078	O62146
P38249	O62159
P36029	O62160
P01097	O62183
P38833	O62185
Q06688	O62189
P32472	O62193
Q04472	O62198
P15992	O62203
P16862	O62213
P38634	O62214
P0CX53	O62216
Q07541	O62218
Q08646	O62219
Q08550	O62220
P53857	O62236
Q08144	O62238
P32354	O62246
P53913	O62250
P25390	O62252
Q02803	O62254
P53047	O62255
P48836	O62259
Q8TGM6	O62264
Q02749	O62271
P39106	O62275
P40037	O62277
P40540	O62289
O13527	O62301
P19659	O62305
P17423	O62325
P0CD99	O62327
P33892	O62333
P47030	O62337
Q12235	O62347
P22224	O62348
Q04418	O62349
Q06146	O62372
P0CX49	O62388
P0CX21	O62414
P40969	O62415
Q12154	O62416
P53239	O62422
P54000	O62431
P42826	O62436
P46993	O62460
P40348	O62477
P36124	O62479
P43545	O62496
P32606	O62504
Q04748	O62505
Q04458	O62512
P32914	O62515
P47051	O62517
P32855	O62518
Q12494	O62519
P52918	O76258
P15315	O76337
P47089	O76367
P41940	O76371
P53961	O76383
P54072	O76387
P32383	O76388
Q04225	O76398
P38251	O76406
Q12206	O76407
P06783	O76413
P69850	O76436
P36048	O76447
P05986	O76449
P53905	O76463
Q01454	O76512
P38758	O76554
P31115	O76561
P00931	O76566
P43577	O76577
P40506	O76590
P21657	O76615
P38903	O76616
P25380	O76618
P38703	O76630
P47090	O76632
Q12367	O76640
Q03798	O76642
Q99297	O76670
P53847	O76672
P40547	O76689
P52492	O76717
P53819	O76725
P53070	O76743
P40965	O76828
P32332	O76840
P43560	O77133
Q02884	O77469
P53109	P02513
P39078	P02566
P53292	P02567
P33311	P03949
P04076	P04255
P16370	P04630
Q07878	P04970
P07213	P05690
P32447	P06125
Q05648	P08124
P38430	P08898
P25586	P09088
P0CX47	P09446
Q05040	P09588
P41800	P0CG71
P07244	P0DM41
Q04329	P0DM42
Q05854	P10038
P38882	P10299
P12709	P10567
P40507	P10771
P39940	P10984
P10662	P10986
P16387	P11141
P39712	P12114
Q05515	P12456
P40961	P12844
P40316	P12845
Q02642	P13508
P06242	P14585
Q06667	P15796
P22204	P16356
P32614	P17139
P32772	P17140
P0C2J3	P17221
Q12509	P17329
P53877	P17330
P33308	P17331
Q12675	P17343
P47011	P17487
P38247	P17511
P47065	P17512
P41810	P18334
P34239	P18835
P22354	P18947
P11745	P18948
P08417	P19625
P32386	P19626
Q12030	P19826
P43573	P19974
P0CX29	P20154
Q07418	P20163
P38883	P20271
Q12309	P21137
P21672	P21541
Q03049	P22980
P38842	P22981
P39986	P23678
P13298	P24348
P13483	P24349
P80667	P24612
P36146	P25807
P25808	P27420
Q08920	P27604
P00958	P27639
P06777	P27715
P54115	P27798
P32795	P28191
P19657	P28515
P19414	P28548
P00358	P29355
P53969	P29691
P35176	P30429
P40061	P30625
P42846	P30627
Q04336	P30628
P29461	P30629
Q02207	P30630
P00854	P30632
Q99216	P30635
P39974	P30641
Q12250	P30642
Q3E842	P30651
P38431	P31161
P38827	P32085
P53976	P32740
P47120	P32744
Q06005	P34183
P47159	P34254
Q04779	P34255
Q02336	P34258
Q12218	P34260
P25584	P34264
P33315	P34269
Q12308	P34277
P28000	P34278
Q12407	P34280
P36152	P34281
Q07914	P34283
P50110	P34284
P36005	P34286
P40496	P34287
P36534	P34288
P23748	P34296
P28708	P34299
P52910	P34303
P0CX77	P34304
Q06010	P34305
P38867	P34307
Q07451	P34308
Q12112	P34313
Q07084	P34314
P53911	P34324
Q02873	P34325
O13547	P34327
P32048	P34328
P38620	P34329
P28795	P34331
Q3E764	P34333
P0C0T4	P34334
P38754	P34339
P24868	P34340
P32074	P34341
P51601	P34342
P36010	P34343
Q12160	P34344
P53738	P34346
P32584	P34349
P38775	P34352
Q00453	P34367
P53691	P34369
P11433	P34371
Q03856	P34378
P43556	P34379
P33751	P34382
P23638	P34383
Q3E841	P34384
P40985	P34388
P39531	P34392
P43562	P34394
P30902	P34397
P38864	P34399
P07264	P34400
Q06217	P34402
P53540	P34413
Q04228	P34415
P25297	P34416
Q03361	P34418
P0CX57	P34419
P24279	P34420
P47185	P34422
P40456	P34425
P39743	P34427
Q04215	P34428
Q12038	P34429
Q03305	P34431
P49954	P34434
P14291	P34437
Q86ZR7	P34438
P13574	P34441
Q07560	P34442
P32363	P34443
P41733	P34445
Q03880	P34446
P40509	P34447
P23542	P34450
P53183	P34453
P47187	P34454
P00950	P34455
P36105	P34460
P38915	P34462
P25373	P34466
P21268	P34467
Q04031	P34470
P35995	P34471
P10363	P34474
P37296	P34475
P39969	P34476
P40308	P34477
P41921	P34478
Q12224	P34482
P25567	P34489
P38821	P34496
Q05930	P34497
Q12517	P34498
P47138	P34500
Q00362	P34504
Q3E830	P34507
Q04338	P34509
P38925	P34512
Q06211	P34514
Q00245	P34517
P25693	P34519
P40487	P34524
Q7LHD1	P34525
P42933	P34526
P46962	P34528
P25443	P34529
P31382	P34537
Q06333	P34539
P39004	P34540
Q12298	P34541
P53155	P34542
P38169	P34544
P23254	P34545
P25491	P34552
P20050	P34555
Q04651	P34556
P38720	P34559
Q01649	P34560
Q12211	P34561
P11412	P34562
P32912	P34563
P35172	P34568
P36775	P34574
P32787	P34575
Q05905	P34576
Q04773	P34580
P36116	P34586
Q03496	P34599
P41910	P34600
P18634	P34601
P53040	P34604
P40395	P34605
P40550	P34607
P39540	P34609
P25651	P34611
P0C2I6	P34618
P40041	P34619
P53343	P34621
Q12036	P34627
P40362	P34629
P39104	P34638
P48360	P34642
P10614	P34643
Q07651	P34647
P25378	P34648
P34250	P34650
P19541	P34652
P39103	P34653
Q02521	P34656
P53012	P34657
P53076	P34659
Q07530	P34660
Q08581	P34661
P32324	P34662
P0CX34	P34663
Q04471	P34664
P13712	P34666
P07273	P34669
Q06469	P34672
Q02888	P34673
P53963	P34675
Q03373	P34678
Q08963	P34684
P09624	P34685
P35691	P34686
P40150	P34689
P38077	P34690
P47190	P34691
P07834	P34692
Q08919	P34696
P05739	P34697
P36118	P34703
P40070	P34704
Q12060	P34707
P28241	P34708
Q06149	P34709
Q12358	P34710
Q12177	P34711
Q03533	P34714
P16522	P34722
Q08907	P34748
P23291	P34766
P32521	P34808
P32364	P34815
Q12328	P34885
P47129	P34886
P25344	P35129
P38837	P35602
Q05775	P35603
Q08745	P36573
P38839	P36609
P22138	P37165
P07991	P37806
P15303	P39055
P06367	P39745
P20967	P40614
Q08911	P41779
P20484	P41828
P46672	P41829
P39076	P41830
P43321	P41842
P54730	P41843
P38810	P41846
P53274	P41847
P10081	P41848
P35210	P41855
P48559	P41877
P0CX59	P41879
Q12303	P41882
Q04949	P41883
P35197	P41886
P39723	P41932
Q03612	P41933
Q12481	P41934
P53893	P41936
P17891	P41937
P47001	P41938
P40106	P41941
P40214	P41956
Q08980	P41958
P07262	P41988
Q06328	P41992
P38086	P41994
P38741	P41996
P25649	P41999
P38255	P42000
P34222	P42168
P06100	P42170
P53148	P42171
P04456	P42573
P47156	P43508
P32904	P43509
Q12032	P43510
P54999	P45896
P32361	P45897
P32325	P45962
Q03455	P45966
Q07978	P45969
P09620	P45970
P38879	P45971
Q06144	P45972
P37262	P46012
P0C2H6	P46502
P33418	P46505
Q12429	P46548
P53731	P46549
Q03976	P46550
P38257	P46554
P53214	P46559
P53741	P46561
P38911	P46562
P02557	P46563
P14908	P46577
O13577	P46578
P25555	P46580
Q02516	P46581
P38137	P46582
P02294	P46769
P22543	P46822
P38147	P46873
P47160	P46941
P53899	P46975
P39727	P47207
Q12344	P47208
P36006	P47209
P36160	P47991
P13045	P48053
Q12000	P48150
P04147	P48152
Q03532	P48154
P05749	P48156
Q12080	P48158
P53235	P48162
P40454	P48166
P25596	P48180
P10591	P48181
P30656	P48322
P28274	P48727
P39081	P48996
Q12415	P49029
Q00402	P49041
P04397	P49048
P31412	P49049
P53254	P49180
Q01560	P49181
P40537	P49196
Q06339	P49197
P04039	P49391
P36076	P49404
P34167	P49405
P36003	P49594
P36135	P49595
P07253	P49596
P05737	P49632
P21182	P49808
P0CX70	P49809
P39105	P49958
P33441	P50093
P00560	P50140
P47057	P50305
P40517	P50306
P38961	P50432
P22209	P50464
Q12152	P50488
P25342	P50880
P22147	P51403
P15790	P51404
Q12083	P51875
Q06078	P52009
P17255	P52011
P34220	P52012
Q9URQ5	P52013
P11632	P52014
P05738	P52015
P41696	P52017
P35127	P52018
P48563	P52057
Q3E765	P52274
P40339	P52275
Q03760	P52478
Q04437	P52554
P38820	P52652
Q04749	P52709
P26784	P52713
P23293	P52715
Q08951	P52716
Q02950	P52717
P47047	P52814
P0CX54	P52819
P40991	P52821
P18962	P52872
Q06538	P52874
Q04545	P52906
Q04279	P53014
P53860	P53016
P32784	P53017
Q12400	P53439
P14063	P53489
P22023	P53547
P32895	P53585
P40215	P53588
Q06390	P53589
Q12386	P53596
P40208	P53703
P39108	P53795
P25371	P53806
Q03214	P54073
P32448	P54137
P20434	P54216
P38341	P54244
P38784	P54245
P53066	P54406
P14540	P54412
Q99257	P54688
P19524	P54811
P19454	P54812
Q12276	P54813
P40081	P54815
Q06263	P54816
P38175	P54871
P46970	P54889
P0CG63	P54936
P28320	P55155
Q01389	P55163
P39931	P55216
Q06632	P55326
P10592	P55853
P38263	P55954
P20449	P55955
Q03690	P55956
P11978	P56407
P40157	P58798
P27692	P61866
P32565	P62784
Q03687	P81299
P47045	P83351
P40325	P84199
P32458	P90731
P53185	P90740
Q06096	P90745
P36151	P90747
P38197	P90757
P50088	P90770
P38744	P90780
P50109	P90781
P19158	P90783
P11484	P90786
P47127	P90788
Q12754	P90789
P38221	P90794
P32449	P90795
P47041	P90815
Q12392	P90824
P06102	P90829
Q12515	P90841
P26343	P90847
P43534	P90859
Q04600	P90860
Q06703	P90866
P25359	P90868
Q08981	P90879
Q04080	P90884
Q04007	P90897
Q03900	P90898
P41807	P90900
Q00416	P90901
Q06137	P90904
P08465	P90915
P15108	P90916
P36158	P90917
P0CX43	P90921
P0CF17	P90925
Q12019	P90947
P48445	P90949
P25612	P90953
Q08172	P90960
P34761	P90961
O74302	P90971
P40485	P90978
P38340	P90980
P32505	P90983
Q12171	P90992
P38711	P90994
P53252	P91001
P47086	P91002
P38900	P91017
P32836	P91019
P47037	P91020
Q12447	P91027
P18410	P91033
P39952	P91050
Q04371	P91051
P22438	P91056
P39962	P91066
P35688	P91079
P39724	P91093
P53156	P91115
P53311	P91124
P53745	P91127
P39517	P91128
P14127	P91130
Q08960	P91133
P53330	P91134
Q03956	P91136
P47169	P91148
Q12465	P91151
Q12181	P91153
P53930	P91154
Q03772	P91175
P40045	P91182
P06115	P91185
P0CX10	P91203
Q99393	P91223
Q08650	P91230
P36125	P91233
P53978	P91240
Q12251	P91245
P32799	P91246
P38814	P91249
P03878	P91250
Q12178	P91251
Q06543	P91252
Q08965	P91253
P53102	P91268
Q12056	P91272
P32602	P91276
P04821	P91277
P53266	P91280
P36224	P91281
Q12265	P91283
Q12003	P91302
P38165	P91303
P36017	P91306
P0C2J7	P91307
P39538	P91309
P20134	P91318
P03962	P91340
Q02608	P91341
P41808	P91343
P39968	P91349
P20095	P91350
Q12119	P91351
P38284	P91353
Q06537	P91360
P53135	P91368
Q04500	P91374
Q12074	P91375
Q07458	P91390
Q12404	P91398
P38297	P91399
P19263	P91400
Q07963	P91401
Q8J0M4	P91404
P32641	P91405
P33298	P91419
P38858	P91423
Q12186	P91427
P53303	P91430
P53129	P91443
Q12445	P91453
Q12463	P91454
P0CX33	P91455
P35189	P91457
P02406	P91477
P52924	P91479
Q03466	P91482
P36026	P91485
Q12443	P91494
P48362	P91495
Q12099	P91502
P47093	P91505
P40483	P91515
P38748	P91529
P38798	P91563
Q12346	P91567
P25383	P91573
P54074	P91575
Q02821	P91820
Q03406	P91829
Q12133	P91835
P53631	P91853
Q03441	P91856
Q08268	P91866
P53759	P91867
P40098	P91868
P25376	P91870
P27929	P91871
P53935	P91910
P0C0W9	P91913
P53131	P91914
P38817	P91917
P17629	P91918
P53179	P91988
P36134	P91997
Q05473	P91998
P38140	P92005
Q08157	P92020
Q02554	P92022
P38715	P92186
Q08912	P92199
P25348	P98080
Q08245	Q01608
P53942	Q01630
P40303	Q02328
P11986	Q02330
P13382	Q02332
Q12748	Q02335
P32802	Q03206
Q06598	Q03412
P40093	Q03560
P41832	Q03563
Q12374	Q03565
P33300	Q03569
P38780	Q03570
Q12525	Q03571
P48524	Q03575
P32499	Q03577
Q02256	Q03598
P39953	Q03600
P32381	Q03601
P38041	Q03604
Q12354	Q03606
P38338	Q03607
P32347	Q03609
Q08202	Q03613
Q12427	Q04833
P40069	Q04908
P12954	Q05036
P07257	Q05062
Q06708	Q06561
P47136	Q067X2
O13539	Q07085
P06780	Q07292
P06169	Q07750
Q08003	Q09201
P36034	Q09205
Q08206	Q09214
Q3E774	Q09217
Q3E828	Q09220
Q3E794	Q09225
Q04924	Q09228
P16603	Q09230
P00424	Q09236
P53154	Q09237
P36002	Q09245
P32790	Q09248
P39923	Q09250
Q07379	Q09251
P11972	Q09252
P38891	Q09253
P27809	Q09260
Q12414	Q09261
Q08409	Q09262
Q04792	Q09268
P40896	Q09270
P47977	Q09275
P21339	Q09278
Q02773	Q09284
P37838	Q09289
Q03151	Q09294
Q08227	Q09296
Q12380	Q09297
P53255	Q09305
P22516	Q09309
Q05027	Q09312
P40576	Q09313
P30620	Q09314
P40464	Q09316
Q12516	Q09318
Q12233	Q09321
P22515	Q09345
Q02783	Q09346
P20048	Q09347
P38127	Q09348
P36016	Q09349
P36169	Q09350
Q12245	Q09353
P39713	Q09354
P38960	Q09357
P25608	Q09364
Q12242	Q09365
Q12390	Q09366
P32786	Q09373
P38081	Q09377
P38786	Q09378
Q12241	Q09382
Q08282	Q09385
P08593	Q09387
P25334	Q09389
Q12511	Q09390
Q9ZZW7	Q09397
P19073	Q09406
P31381	Q09409
P47176	Q09410
P32317	Q09413
P25560	Q09415
P38695	Q09417
P47152	Q09422
P38128	Q09424
P25655	Q09436
P46992	Q09438
P47110	Q09439
P25353	Q09440
P45978	Q09442
P34758	Q09444
P38709	Q09449
P12945	Q09450
P36148	Q09451
P53290	Q09454
Q06251	Q09456
P47168	Q09457
P53174	Q09466
P38262	Q09474
P15625	Q09475
Q03782	Q09476
P38968	Q09477
Q05948	Q09481
P04911	Q09485
Q12285	Q09486
P40060	Q09487
P50942	Q09488
P32897	Q09490
P53078	Q09491
P0CX64	Q09495
P53093	Q09497
P31755	Q09501
P42944	Q09506
P32263	Q09508
P39926	Q09509
P54861	Q09510
P32259	Q09511
P53720	Q09512
Q12222	Q09514
P0CX46	Q09517
P53108	Q09525
Q07349	Q09528
P47085	Q09529
P38132	Q09530
P50079	Q09531
P40693	Q09533
P47112	Q09535
P15703	Q09541
P06776	Q09543
P25635	Q09544
P23301	Q09545
I2HB52	Q09551
P53248	Q09555
Q3E7A3	Q09556
P54113	Q09560
P47976	Q09564
P53207	Q09565
P38179	Q09566
Q12341	Q09567
P06633	Q09568
P00927	Q09580
P12684	Q09581
P50264	Q09582
P06634	Q09583
P38840	Q09584
P22082	Q09587
P40105	Q09589
P40471	Q09590
Q03390	Q09591
P38182	Q09596
P38070	Q09599
P38774	Q09600
Q12142	Q09601
P35725	Q09603
P53923	Q09607
P06773	Q09614
P16658	Q09615
P49687	Q09620
P43620	Q09622
Q12226	Q09624
Q03981	Q09630
P53046	Q09635
P38125	Q09637
Q07843	Q09639
P46950	Q09646
P35196	Q09647
Q07845	Q09651
Q07688	Q09652
I2HB70	Q09654
P07281	Q09657
P41546	Q09663
P38085	Q09665
Q04493	Q09936
Q03631	Q09946
P12904	Q09958
Q2V2P9	Q09967
Q07834	Q09969
Q2V2P8	Q09974
P16649	Q09975
P38196	Q09979
P09064	Q09983
Q03661	Q09989
Q04377	Q09990
P54114	Q09996
P47154	Q0G819
Q03778	Q0G821
Q03508	Q0G828
P41814	Q0G833
Q92393	Q0G838
P0CF20	Q0KHC0
P24869	Q0PDJ7
P08431	Q10006
P32581	Q10013
P39943	Q10014
P32907	Q10017
P53891	Q10023
P53053	Q10032
Q03494	Q10038
P40510	Q10039
Q12234	Q10040
P35203	Q10042
P32496	Q10050
P03876	Q10120
P25335	Q10122
P38281	Q10123
P53110	Q10124
Q3E835	Q10128
P40363	Q10130
Q03954	Q10131
P0CY08	Q10453
P24783	Q10454
P07251	Q10457
P53822	Q10459
P23503	Q10574
P48415	Q10576
P07560	Q10578
Q02889	Q10580
P53943	Q10651
Q04533	Q10653
P40897	Q10654
P40968	Q10655
P38850	Q10656
P0C2H9	Q10657
P40043	Q10658
P43618	Q10661
P22203	Q10663
Q03656	Q10664
Q92325	Q10665
P04840	Q10666
P38349	Q10667
P43568	Q10669
P46678	Q10901
P01123	Q10902
P25332	Q10910
P38737	Q10924
Q06813	Q10926
Q99382	Q10929
P25379	Q10943
P40562	Q10953
Q04461	Q11067
P28495	Q11068
Q3E785	Q11069
Q02202	Q11073
P36064	Q11080
P41833	Q11093
P42949	Q11094
Q08693	Q11100
P38993	Q11103
P53187	Q11106
P40433	Q11107
P43607	Q11117
P11746	Q11174
P32611	Q11176
P40498	Q11178
P41812	Q11179
P37299	Q11181
P06779	Q11182
P39524	Q11184
P25619	Q11189
P27351	Q11190
P53168	Q11191
Q04952	Q11193
P25573	Q11194
P36083	Q17328
P00924	Q17334
P0CX30	Q17335
Q03940	Q17339
P38328	Q17345
P38129	Q17348
P38886	Q17353
P05745	Q17361
P39522	Q17370
Q12149	Q17381
Q12020	Q17388
P32502	Q17389
Q12161	Q17390
P32481	Q17391
Q06102	Q17392
P46674	Q17399
Q12343	Q17400
P40570	Q17403
Q12051	Q17410
P38109	Q17411
P40056	Q17413
P41813	Q17415
P38066	Q17417
P43608	Q17424
Q12296	Q17426
Q03921	Q17427
P38805	Q17430
O75012	Q17431
Q12271	Q17432
Q3E834	Q17433
Q05911	Q17435
P25574	Q17436
Q06208	Q17438
P32600	Q17446
Q12348	Q17457
P15202	Q17460
P47128	Q17461
Q03102	Q17466
Q03823	Q17473
Q03714	Q17476
P38872	Q17483
P53243	Q17491
P19955	Q17492
Q05937	Q17493
P04386	Q17499
P36161	Q17512
P53250	Q17514
P32864	Q17522
Q08989	Q17525
P39002	Q17532
P53722	Q17539
P53890	Q17543
Q08967	Q17551
Q12202	Q17557
P16622	Q17558
P47142	Q17559
P32804	Q17560
Q08236	Q17561
P47025	Q17569
P53824	Q17572
P46943	Q17573
Q07786	Q17574
P53065	Q17585
P40479	Q17589
P53133	Q17595
P47139	Q17598
P40516	Q17600
Q2V2P7	Q17602
P06785	Q17603
P47095	Q17604
P53221	Q17606
Q07990	Q17607
Q08887	Q17621
P32467	Q17625
P0CX11	Q17631
P39535	Q17632
P38772	Q17633
P43639	Q17635
P09937	Q17654
P53195	Q17656
Q08322	Q17662
Q04120	Q17670
P38843	Q17676
Q02486	Q17684
Q12109	Q17687
Q3E776	Q17688
P38145	Q17692
Q06648	Q17693
P43606	Q17694
P32568	Q17695
P53883	Q17698
Q05919	Q17720
Q12068	Q17728
P32796	Q17732
P42073	Q17740
Q02260	Q17744
Q12450	Q17746
Q12200	Q17750
P40577	Q17754
P40007	Q17761
Q12522	Q17763
Q04233	Q17765
P36139	Q17770
Q12412	Q17771
Q03029	Q17784
Q01802	Q17792
Q03195	Q17795
P25087	Q17796
P28272	Q17800
P14743	Q17802
P35182	Q17820
Q04406	Q17821
P37302	Q17827
Q01329	Q17832
Q06150	Q17835
P12753	Q17848
Q02732	Q17850
P04037	Q17865
Q07350	Q17868
Q12084	Q17872
P34241	Q17880
P34246	Q17883
P47103	Q17884
P54790	Q17886
P39977	Q17888
P80210	Q17895
P38242	Q17899
P38812	Q17902
P32642	Q17905
P53262	Q17930
P50085	Q17941
P21306	Q17948
Q12016	Q17949
P13902	Q17958
Q12127	Q17961
P54007	Q17962
P35191	Q17963
P38139	Q17964
P43585	Q17967
P40522	Q17974
Q06107	Q17979
Q06162	Q17993
P36041	Q17994
Q92317	Q18012
P25377	Q18020
P25719	Q18025
Q07950	Q18026
P40353	Q18032
P36027	Q18033
P40312	Q18034
P12685	Q18035
P46990	Q18036
P53959	Q18037
P16451	Q18038
P38289	Q18040
P38902	Q18043
P36022	Q18053
P45976	Q18054
P32337	Q18056
Q08601	Q18066
Q08218	Q18070
P28817	Q18075
P32341	Q18081
P23250	Q18086
P40360	Q18089
Q05779	Q18090
P36527	Q18095
P00359	Q18115
P39961	Q18124
Q99260	Q18134
P38770	Q18143
P38065	Q18157
P0CX63	Q18159
P38166	Q18164
P05066	Q18167
P26783	Q18171
P08458	Q18179
Q99314	Q18184
P43599	Q18189
P32657	Q18192
P20606	Q18194
P32793	Q18195
P43613	Q18200
O13329	Q18204
Q08562	Q18206
P32465	Q18211
P15180	Q18212
Q3E7B0	Q18217
P22149	Q18218
P53748	Q18221
P38927	Q18223
P38330	Q18224
P06782	Q18225
P29453	Q18231
P43567	Q18232
O14467	Q18234
P53951	Q18235
P26370	Q18237
P31244	Q18238
P38873	Q18239
P32913	Q18240
P39107	Q18244
Q08904	Q18245
P53218	Q18246
P34225	Q18248
P87284	Q18255
P40002	Q18257
P31334	Q18258
P53871	Q18262
