Q9XVJ5	A0A075BJJ9
Q9XVJ2	P23487
Q7K7J0	P23572
Q23597	P23573
Q7KX00	P23645
O61955	P23647
Q8ITY8	P23654
O44955	P23696
G5ED29	P23757
Q23463	P23758
W6RTE4	P23779
Q10666	P23792
Q9N358	P23803
Q95QG1	P23938
Q9N2W9	P24014
G5EFK4	P24156
P91056	P24350
O61861	P24785
Q95XR0	P25007
G5EBJ7	P25008
Q20402	P25153
U4PCF3	P25157
O61742	P25158
Q23644	P25159
Q17676	P25160
G5ED84	P25161
Q93635	P25167
Q9TYJ0	P25171
Q9U757	P25172
A0A1D3PD01	P25228
P91477	P25439
Q19127	P25723
Q7YTI4	P25822
Q9GSX9	P25823
Q17880	P25843
Q20771	P25867
P46562	P25932
O01914	P25991
Q17473	P25992
Q20375	P26016
H2L0D9	P26017
P91240	P26019
Q965T6	P26023
V6CLN5	P26270
E9P861	P26675
Q17694	P26686
P91177	P26802
Q22482	P27091
Q21215	P27398
Q21920	P27619
Q9GYP8	P27716
Q9XXM6	P27779
Q9U1W1	P28159
Q9N4I0	P28166
Q17621	P28167
Q9XVA2	P28466
P90815	P28518
Q19264	P28668
Q09541	P28750
Q17415	P29052
A0A3B1E4Z6	P29310
Q9BKU6	P29327
Q9N576	P29349
Q09583	P29413
P90980	P29503
G5EEF6	P29555
Q23338	P29613
Q9N312	P29617
Q22759	P29673
P91128	P29742
Q10658	P29746
P34305	P29747
G5EET8	P29774
H1UBJ1	P29775
O01702	P29776
O02298	P29829
A0A1T5HUK0	P29843
P18334	P29844
Q19503	P29845
O61518	P30052
G5EGC9	P30189
O16929	P30432
O62416	P31007
P49196	P31009
E2JL00	P31264
P34476	P31368
Q9N2W5	P31369
Q93198	P31396
Q22111	P31409
G5ECR7	P32027
Q9NA28	P32028
Q9BPN6	P32029
G5EDP0	P32030
Q22013	P32031
Q19869	P32100
Q20971	P32234
G5EEN4	P32392
Q9N2T6	P32748
Q18806	P32866
Q9XTR0	P32870
O18000	P33244
Q21154	P33438
Q23500	P33450
P34489	P34021
A0A0K3AXH1	P34082
Q23121	P34739
P54217	P35005
Q9XX57	P35122
Q19963	P35128
O17268	P35220
Q18359	P35381
G5EBV4	P35415
Q9U3P2	P35421
Q20487	P35554
Q9XVN4	P35600
O61710	P35820
Q22733	P35832
O45418	P35875
Q9TXQ9	P35992
H2L008	P36179
Q23089	P36188
Q9XWF2	P36192
O18240	P36241
O01489	P36872
O62431	P36975
Q9NAJ2	P37236
O76689	P37276
P91270	P38040
Q9U332	P38979
Q19724	P39018
O17721	P39205
O01497	P39413
Q9UAY9	P39572
Q9GZH4	P39736
O18246	P39768
Q17695	P39769
P91027	P39770
Q20351	P40139
Q21742	P40301
O01630	P40304
Q09476	P40320
Q9XUP4	P40417
Q17732	P40423
Q18171	P40427
Q18317	P40656
W6SBJ9	P40657
Q9TZP5	P40688
Q965V9	P40791
G5EE37	P40792
G5EFI9	P40793
P49391	P40796
Q93168	P40797
P20163	P40798
Q95ZL3	P40808
O17861	P40945
P90757	P40946
Q19324	P41042
Q19633	P41046
Q18612	P41073
Q9XWG2	P41092
P48158	P41093
P49180	P41094
P52819	P41126
Q9NL29	P41375
P25807	P41572
P42171	P41894
P91405	P41900
O16677	P41964
P54812	P42003
G5EFV3	P42124
Q95Y80	P42207
O01811	P42271
O17395	P42280
O44606	P42282
Q9GRZ9	P42283
G5EBG1	P42286
O44739	P42287
O17917	P42325
Q8I4M6	P42519
Q22179	P42570
O17582	P42787
O01996	P43125
G5EG54	P43248
O44326	P43332
O45679	P45437
Q9XUV0	P45447
P91501	P45843
O16266	P45888
O45995	P45889
Q19682	P45890
G5EBF5	P45975
Q17606	P46222
Q8WQA8	P46223
G5ECX0	P46415
O18191	P46461
Q9N5R9	P46824
Q9N4F2	P46863
Q9U3A1	P46867
Q19782	P47825
Q69Z08	P47938
Q18299	P47947
Q9XXM0	P47948
Q17662	P47949
G5EES8	P47980
Q09635	P48148
P90983	P48149
Q9XVF7	P48159
O02089	P48375
G5EEA8	P48423
O18089	P48451
Q19581	P48456
Q9U3I0	P48461
G5EGJ9	P48462
Q27433	P48554
A0T4F9	P48555
O45499	P48588
Q93726	P48591
Q09599	P48592
Q18070	P48593
Q18476	P48596
Q86S29	P48598
O01805	P48601
O16291	P48602
P34643	P48603
Q19131	P48604
Q17438	P48607
Q9U380	P48608
Q9U2A9	P48609
Q9N5S3	P48610
O45315	P48611
Q95Y96	P48612
Q22366	P48809
Q9N4C2	P48810
G5EE65	P48987
Q86S44	P49021
O02300	P49028
Q19843	P49071
O45776	P49258
Q9U1X9	P49630
Q18930	P49657
Q9UAY5	P49735
Q95017	P49762
Q93619	P49846
G5EDU6	P49847
Q18483	P49858
Q9N5D3	P49866
Q20758	P49869
G5EEQ3	P49905
Q9NA84	P49906
Q9XWU3	P50245
Q09587	P50445
Q21369	P50534
O16582	P50535
Q9N5V3	P50536
O01692	P50882
Q9XVP0	P50887
O46023	P51023
Q86NB7	P51123
Q17994	P51140
Q09994	P51406
O16785	P51521
Q95X94	P51592
Q0G821	P52029
O17956	P52034
O16315	P52168
Q3Y407	P52172
P02566	P52295
Q19253	P52304
Q19555	P52485
P34467	P52486
O44145	P52487
P90900	P52654
Q9XVM0	P52656
Q9N5S5	P53034
Q23670	P53501
O62137	P53777
Q8I4G3	P53997
Q93534	P54185
H2FLL8	P54192
B3GWA5	P54269
P34314	P54350
O44509	P54351
Q19319	P54352
O45495	P54353
Q09261	P54356
Q9U2R6	P54357
U4PC09	P54358
G5EBG0	P54359
Q965T2	P54360
O02115	P54361
P41879	P54362
Q9BI74	P54366
O62505	P54367
Q967F4	P54385
Q09490	P54397
O17839	P54398
Q93576	P54399
Q9U1X3	P54611
O62140	P54622
Q9N5D6	P54623
Q5H9N3	P54733
Q93899	P55035
G5ECG2	P55162
Q9NA78	P55824
Q93572	P55828
O18650	P55841
Q23312	P55935
O45657	P55965
Q95QR6	P56079
Q20652	P56175
Q09287	P56538
P91052	P56544
O01527	P56672
P34704	P56721
Q9XWJ8	P61209
Q21752	P61851
Q93249	P61855
Q95X44	P61857
Q20660	P62152
Q19877	P80455
G5ED00	P81641
P34580	P81900
P17511	P81909
Q93537	P81910
U4PBN3	P81914
O62480	P81917
O62183	P82147
Q09475	P82295
P42168	P82701
P90970	P82705
Q93620	P82706
Q09655	P82711
Q95R19	P82804
E3W743	P82910
P91495	P83094
Q21133	P83099
Q11184	P83100
O45643	P83262
Q9XUK2	P83501
P46580	P83967
O62012	P83972
Q09580	P84029
G5EFF1	P84040
G5EEB3	P84051
Q9XU98	P91621
A0A168HB31	P91622
Q95YB2	P91641
O44568	P91645
Q9BHL9	P91657
Q9N373	P91664
Q09969	P91679
Q22616	P91682
Q19820	P91875
Q8I7L5	P91926
A0A4V0INN2	P91927
Q22945	P91928
Q95XK1	P91931
Q9XUR4	P91940
Q21153	P91941
Q19973	P91942
Q18983	P91943
P10567	P92177
Q86NE4	P92189
O01796	P92204
Q19774	P92208
Q21876	P98081
G5EC44	P98149
Q22623	P98163
O44743	Q00168
Q23571	Q00174
Q21571	Q00449
O17932	Q00637
Q9NAG4	Q00748
B1V8A0	Q00805
G5EE62	Q00963
Q18265	Q01068
Q23223	Q01070
Q10655	Q01071
Q9XTW2	Q01083
P91453	Q01295
D3YT51	Q01583
Q18533	Q01604
G5EG28	Q01617
A0A1N7SYW5	Q01637
Q9GZH3	Q01642
Q20084	Q01643
Q10943	Q01644
P46505	Q01645
Q19527	Q01819
O18259	Q01820
B1Q236	Q01842
H2B4N0	Q01989
P49029	Q02308
Q19584	Q02360
Q9XWI6	Q02361
S6EZT1	Q02427
Q09309	Q02637
P34324	Q02645
P27798	Q02748
Q10906	Q02870
Q19325	Q02910
Q9XVG8	Q02926
Q18223	Q02936
Q21831	Q03017
H2KZR6	Q03019
Q966L9	Q03043
Q20647	Q03334
A0A3P6N6A0	Q03372
Q09967	Q03427
A0A0K3AWR8	Q03720
Q8IG73	Q03751
O16720	Q04047
P46557	Q04164
G5ECR8	Q04499
G5EE96	Q04652
P91343	Q04688
Q21025	Q04691
O62477	Q04787
Q20772	Q05192
Q9GYL3	Q05201
Q09560	Q05344
Q22178	Q05547
Q9NA77	Q05652
Q09597	Q05733
O16932	Q05783
O45603	Q05856
Q9TZH6	Q058W1
P34552	Q058Z8
Q11117	Q05913
Q7YWX7	Q059C4
H2L2B6	Q06453
P52010	Q06521
Q22174	Q06559
O17301	Q06849
Q09232	Q06943
Q09366	Q07152
O62214	Q07171
Q20002	Q07327
G5ED63	Q07407
O45293	Q07436
Q9GYQ6	Q07553
Q20644	Q07892
P45897	Q08012
Q18947	Q08180
Q09345	Q08473
Q20010	Q08605
Q09276	Q08694
O45574	Q09024
Q9XW68	Q09101
O76836	Q09147
P34438	Q0E5P5
H2L2K3	Q0E8C8
Q9TXW1	Q0E8D0
Q86FN6	Q0E8E7
Q9N4I4	Q0E8E8
Q18965	Q0E8F8
P91487	Q0E8H8
Q22494	Q0E8J0
O02328	Q0E8K5
G5EGD2	Q0E8K8
A0A5K1IAD3	Q0E8N3
Q23120	Q0E8P1
O18267	Q0E8P6
Q21901	Q0E8T4
O62123	Q0E8T6
Q17830	Q0E8U8
A0A2C9C3B6	Q0E8V7
O16536	Q0E8W6
U4PBS1	Q0E8X7
O16682	Q0E8X8
Q18167	Q0E8X9
Q9XW75	Q0E901
Q9TYJ7	Q0E908
Q18639	Q0E917
O01524	Q0E924
P90861	Q0E931
A0A486WY26	Q0E938
P55155	Q0E940
G5EDC6	Q0E949
O45319	Q0E961
Q09295	Q0E976
H2KYN7	Q0E980
P45971	Q0E985
P34317	Q0E993
Q21486	Q0E996
P34691	Q0E9A0
P91867	Q0E9A5
Q20296	Q0E9B5
Q9TXP0	Q0E9B6
Q9GYI4	Q0E9B7
Q95XX6	Q0E9C2
Q23546	Q0E9C5
O17013	Q0E9E0
Q03598	Q0E9E2
O18067	Q0E9F9
Q18859	Q0E9G3
Q9NAM7	Q0E9G4
Q95QT4	Q0E9H9
Q9XWZ5	Q0E9N4
Q09410	Q0IGP7
Q8MLZ5	Q0IGQ2
Q21555	Q0IGR3
G5EC86	Q0IGS7
Q9XU67	Q0IGT4
O17087	Q0IGU4
Q9N456	Q0IGU7
A0A8S4QDC4	Q0IGX3
G5ECW0	Q0IGY0
G5ECF6	Q0IGY5
O44768	Q0IGY6
P41999	Q0KHQ5
Q22560	Q0KHQ6
O44584	Q0KHR5
O16515	Q0KHS0
Q21452	Q0KHV6
A0A131MBB2	Q0KHX7
I7J4C6	Q0KHY3
H2KYE0	Q0KHZ6
Q45EL5	Q0KI00
O45503	Q0KI05
Q20130	Q0KI06
Q1HB02	Q0KI14
P41956	Q0KI27
Q21441	Q0KI39
O16294	Q0KI58
Q9NA40	Q0KI81
O61942	Q0KI85
Q95XA8	Q0KI97
Q20107	Q0KI98
Q9BL40	Q0KIA2
Q9U374	Q0KIA5
Q9N4U4	Q0KIB1
G5EFY7	Q0KIB3
H2KYB6	Q0KIC0
G5EF07	Q0KIC3
P30646	Q0KIE7
O17606	Q0KIF1
Q09440	Q0KIF4
Q9U2B9	Q107I8
Q9U3J8	Q1EC84
Q95XU1	Q1ECA0
Q8MXI4	Q1ECC3
Q9BL94	Q1KN24
P45965	Q1LZ08
O17909	Q1LZ24
Q23296	Q1LZ38
Q9XW01	Q1RKV9
Q95X32	Q1RKX1
Q94234	Q1RKY3
Q22707	Q1RL19
G5EGF2	Q1W9Q0
Q93841	Q1WWB7
Q7JMR0	Q1WWC9
Q18421	Q1WWH6
Q20317	Q23971
P91515	Q23972
O01322	Q23973
Q19294	Q23976
G5EF99	Q23977
Q18262	Q23978
O01836	Q23979
Q9XXD2	Q23982
Q20992	Q23983
Q18529	Q23985
Q18579	Q23989
O01580	Q23997
Q22752	Q24007
B7WNB0	Q24008
E9P8A2	Q24009
Q9N5L4	Q24020
Q21811	Q24025
Q22170	Q24034
O45933	Q24039
O44738	Q24040
Q17451	Q24041
Q18674	Q24044
O18048	Q24046
Q22573	Q24048
Q9XUD8	Q24050
P34815	Q24062
H2KYS1	Q24087
O17915	Q24090
Q9GRV4	Q24093
Q94241	Q24106
G5EDM9	Q24113
O16796	Q24114
Q9BIF4	Q24117
O45926	Q24119
G5ECM4	Q24120
O45865	Q24133
Q9GN62	Q24134
Q9XW03	Q24139
Q19626	Q24141
P34689	Q24142
H2KYK9	Q24143
Q9BL64	Q24151
Q9U310	Q24152
Q20751	Q24154
A5JYW9	Q24167
P91375	Q24168
Q17728	Q24169
Q22705	Q24171
Q20223	Q24174
Q9NAB0	Q24175
O45550	Q24179
Q22019	Q24180
P41958	Q24185
B7WN95	Q24186
Q8MQ42	Q24188
Q21925	Q24207
Q19720	Q24208
O45797	Q24210
O17611	Q24214
Q22814	Q24216
Q20936	Q24239
Q18245	Q24246
Q21884	Q24247
Q9XXD0	Q24248
Q17967	Q24251
O45496	Q24253
Q95XQ1	Q24255
Q95XN6	Q24256
Q86B36	Q24266
G5EE67	Q24276
Q9NEZ5	Q24292
Q9TXI3	Q24297
O01601	Q24298
P90783	Q24306
O17670	Q24307
A0A168H9W7	Q24311
Q9TZ58	Q24312
O62519	Q24314
H2KYI8	Q24318
P34455	Q24319
Q8MQG6	Q24320
Q95YD9	Q24322
G4RYA5	Q24323
Q19698	Q24324
Q9N2V9	Q24325
Q17558	Q24337
Q94216	Q24338
Q20666	Q24371
Q23665	Q24372
Q18095	Q24388
P34563	Q24400
G5EFF4	Q24404
P91856	Q24423
P90879	Q24432
O44901	Q24434
P91871	Q24439
I2HA85	Q24454
O44477	Q24459
G5EFK9	Q24468
Q22288	Q24472
Q22092	Q24474
P91066	Q24475
Q86S66	Q24478
G5ECX9	Q24491
Q27355	Q24498
Q94055	Q24509
Q22993	Q24522
P46563	Q24533
Q9N477	Q24535
Q20736	Q24536
Q18320	Q24537
Q21736	Q24546
Q8T3B9	Q24547
Q19766	Q24558
P34574	Q24560
J7RNI7	Q24562
O45521	Q24564
O16216	Q24567
Q9XWP1	Q24568
Q18238	Q24570
Q9XW16	Q24572
A0A1I6CM90	Q24573
Q18755	Q24574
Q8T874	Q24583
O61965	Q24591
G5EGD7	Q24592
H2L0A8	Q24593
Q17964	Q24595
G5EBF4	Q26263
P19626	Q26365
C8JQN9	Q26377
G5EF25	Q26416
Q22968	Q26454
O17214	Q27268
G5EEL3	Q27272
Q95V25	Q27279
P27604	Q27297
O01700	Q27324
Q21361	Q27331
Q23485	Q27333
Q95XX5	Q27350
P30640	Q27367
A0A8S4QD18	Q27368
Q19437	Q27403
A0A0K3AU69	Q27411
Q07750	Q27415
Q17417	Q27580
P34497	Q27594
Q9XXR3	Q27597
Q18406	Q27606
B3CKG1	Q27607
Q2V4T5	Q27884
P90901	Q27889
Q20774	Q27896
Q22794	Q27934
Q18235	Q29QL9
O17807	Q29QN4
Q23090	Q29QQ9
G5EBW5	Q29QV5
O61853	Q29QY7
Q10131	Q29R02
Q21703	Q29R09
Q9N362	Q29R10
Q21435	Q29R16
Q20691	Q29R20
E0AHB4	Q2M1E6
A0A164D3L1	Q2MGL3
P34260	Q2MGN0
P34619	Q2PDP6
P91988	Q2PDQ9
A0A0K3AS36	Q2PDR0
G5EFN9	Q2PDT6
Q10956	Q2PDW5
C0VXV6	Q2PDZ1
Q18758	Q2PE14
Q20629	Q2PE16
Q17941	Q2PNN6
Q9NHZ6	Q2QBM1
Q93408	Q32KC6
Q9XVC5	Q32KD2
P55163	Q32KD4
H2KYA0	Q32UV4
Q95Y82	Q3HKQ0
Q95Y35	Q3HKQ4
V6CLH9	Q3KN41
U4PR07	Q3LHL9
Q2HQK2	Q3YMS8
G5EDT9	Q3YMU0
P34524	Q3YNF2
Q21776	Q400N1
Q9U1W2	Q45VV3
Q9N302	Q45WF5
Q09538	Q494G1
Q9GYR0	Q494G8
Q23647	Q494I2
O76367	Q494K2
S6F527	Q4QPP9
Q9U1P7	Q4QPR8
Q8T3A5	Q4QPU3
Q22574	Q4QPV3
Q23155	Q4QPW2
O18697	Q4QPW4
Q9GYJ2	Q4QPX2
Q09524	Q4QPY0
Q9U1Q1	Q4QPY7
B3KYC0	Q4QQ01
Q9XUT9	Q4QQ12
Q23145	Q4QQ69
O62422	Q4QQ70
F5GUH0	Q4QQ81
Q9NEW7	Q4QQA7
Q95XD4	Q4QQB9
G4S460	Q4V3F0
Q965K3	Q4V3F5
O17253	Q4V3L3
G5ECH0	Q4V3S6
Q8IG65	Q4V3S9
Q20234	Q4V3X2
Q9U2G6	Q4V3Y0
O44444	Q4V3Z6
Q22225	Q4V424
Q86C56	Q4V459
Q09485	Q4V467
P49048	Q4V473
Q18895	Q4V475
Q21193	Q4V480
Q9GZF9	Q4V4B1
Q95XR9	Q4V4C6
Q8WTJ8	Q4V4F7
O45469	Q4V4H7
Q23661	Q4V4M5
Q966L2	Q4V4P1
P54871	Q4V4P2
Q9U5C1	Q4V4Q7
Q10009	Q4V4S6
Q94148	Q4V4T4
Q95X42	Q4V4V2
O62185	Q4V4X4
Q20573	Q4V4X6
G5ED46	Q4V4Z9
Q9N4C1	Q4V516
Q17425	Q4V579
O17402	Q4V584
H2L019	Q4V5A3
Q400M2	Q4V5A5
P34379	Q4V5A7
A0A0K3AUT5	Q4V5E4
Q19117	Q4V5H0
C3JXE6	Q4V5I0
Q21360	Q4V5I9
O17761	Q4V5L1
P91131	Q4V5L4
Q9NAK7	Q4V5M2
Q23261	Q4V5R2
Q21697	Q4V5U6
O17067	Q4V5V6
Q86S68	Q4V5W6
G4XR33	Q4V5Z0
Q23534	Q4V645
Q9U3T5	Q4V657
Q9XXE5	Q4V664
Q4R120	Q4V6A8
P90863	Q4V6B0
O17528	Q4V6C1
G5EFX6	Q4V6C2
P92020	Q4V6H2
Q21338	Q4V6I0
Q21840	Q4V6J1
Q18369	Q4V6J9
G5EBT6	Q4V6L0
O16666	Q4V6L4
Q09491	Q4V6L8
P52274	Q4V6M7
Q23490	Q4V6W7
A0A2K5ATP7	Q4V6X9
Q20420	Q4V6Y6
Q95QQ5	Q4V6Y7
Q22100	Q4Z8K6
A0A9R9	Q500X4
P90860	Q500Y7
Q22099	Q59DN5
Q09384	Q59DT1
Q19742	Q59DX6
Q965X4	Q59DX8
P41882	Q59DZ1
Q7Z1R1	Q59DZ2
Q20182	Q59DZ4
Q09415	Q59DZ7
G4RT11	Q59E04
Q9N4A9	Q59E05
Q9XX38	Q59E13
Q9N5K3	Q59E36
Q19306	Q59E43
O44572	Q59E67
Q23096	Q5BI03
O18286	Q5BI31
Q03577	Q5BI44
Q965M2	Q5BI50
Q9U3L5	Q5BI51
Q8I0P7	Q5BI77
Q22562	Q5BIC3
Q22000	Q5EAK6
E3W751	Q5LJP6
P90867	Q5LJQ3
P34542	Q5LJU1
P34621	Q5LJZ2
Q25AR9	Q5PXF9
Q95XS2	Q5U0V6
Q22923	Q5U0V7
A0A078BPI8	Q5U0X8
O61906	Q5U117
Q19685	Q5U126
Q18497	Q5U140
Q960A0	Q5U142
Q9N423	Q5U154
O16525	Q5U179
O44471	Q5U1B0
G5EDT8	Q5U8V5
O17806	Q6AWG9
Q19302	Q6AWN0
Q19680	Q6AWN6
Q19119	Q6GKZ1
G5EC21	Q6GV06
Q17884	Q6IDD9
G5EFQ5	Q6IDE2
G5EF60	Q6IDH2
P91019	Q6IG37
O17838	Q6IG51
O17169	Q6IGD9
Q22513	Q6IGN6
U4PBR7	Q6IGX9
Q4TT88	Q6IGY0
Q8IAA9	Q6IHC9
O45522	Q6IHH7
G5EG87	Q6IHY4
Q22768	Q6IHY5
P90771	Q6II68
Q9TZ93	Q6IJ01
Q09225	Q6IJL2
Q8WQ99	Q6IK18
Q7YTL0	Q6IKC0
P34670	Q6IKG0
O01822	Q6IL75
Q20389	Q6ILA6
P91829	Q6ILY6
O44732	Q6J5K9
Q9XVH9	Q6JE78
G5ECG7	Q6NL58
O44803	Q6NL75
Q18887	Q6NLJ9
Q9TZN1	Q6NLM8
O02209	Q6NMT8
Q20655	Q6NN09
H8ESG0	Q6NN18
G5EDR9	Q6NN22
Q8MQ17	Q6NN40
O16214	Q6NN57
O16310	Q6NN85
Q9XW63	Q6NNB4
A2V8C3	Q6NNF2
Q09665	Q6NNF8
B2FDA8	Q6NP07
K7ZUN4	Q6NP60
Q9XXF9	Q6NP71
Q20058	Q6NP72
P45896	Q6NPA0
Q93932	Q6NPB2
Q9U3I7	Q6NQZ5
Q22227	Q6NQZ7
Q22143	Q6NR09
Q9GPA1	Q6NR11
P34296	Q6NR30
Q8WQA4	Q6NR36
Q21750	Q6NR46
Q21655	Q6NR49
Q19861	Q6QU65
A0A8S5I3Z9	Q6TY79
Q9XWW3	Q6WV20
H2L0C9	Q6XK19
Q19200	Q6XPX3
G5EBY8	Q70PP2
O17218	Q76NQ0
Q09218	Q76NQ1
O01516	Q76NS2
Q2AAB7	Q7JMZ0
P34659	Q7JNL9
Q86NG3	Q7JQ02
P90787	Q7JQ32
H2L073	Q7JQF6
G5ECE3	Q7JQG5
O17817	Q7JQI1
P34683	Q7JQK6
O61821	Q7JQL2
Q18014	Q7JQL5
Q20264	Q7JQN4
O02267	Q7JQT8
E1B6Q7	Q7JQT9
X5MBH3	Q7JQW6
P54815	Q7JQY8
Q21053	Q7JR08
Q9NA42	Q7JR24
P52709	Q7JR34
O61826	Q7JR49
Q09600	Q7JR52
P52275	Q7JR58
G5ECF9	Q7JR71
O02640	Q7JR80
H2KYG4	Q7JR83
D3YT99	Q7JR96
P91983	Q7JRA5
Q93718	Q7JRA7
P41938	Q7JRD4
Q966J7	Q7JRE4
Q23680	Q7JRH2
F5GU62	Q7JRH5
P91277	Q7JRJ1
Q93346	Q7JRJ9
Q7YTM2	Q7JRK6
O18172	Q7JRM5
O01658	Q7JRN6
Q21624	Q7JRQ4
A0A1X7RBI1	Q7JS69
Q9BKP1	Q7JUF2
Q18921	Q7JUF8
Q17551	Q7JUM5
H2KYP0	Q7JUN9
D5MCR9	Q7JUP3
A0A061ACS6	Q7JUR5
Q09556	Q7JUR6
Q8T3G2	Q7JUR9
O62349	Q7JUS9
Q9N4Q7	Q7JUV6
Q17721	Q7JUX2
O44555	Q7JUX9
O45370	Q7JUY7
Q9U231	Q7JUY8
P34655	Q7JUZ0
Q20027	Q7JUZ6
O18178	Q7JUZ9
Q10651	Q7JV23
Q22264	Q7JV69
Q9XV40	Q7JV70
Q19958	Q7JVA5
Q95QF9	Q7JVE7
Q22524	Q7JVF1
O76412	Q7JVG6
Q9BPN8	Q7JVH0
O16783	Q7JVH6
Q9N384	Q7JVI3
Q20180	Q7JVK1
Q20636	Q7JVK6
O45146	Q7JVK8
O45408	Q7JVL3
Q9N563	Q7JVP2
P12845	Q7JVP4
H2KZ80	Q7JVQ2
A0A0K3AQP8	Q7JVR7
W6RY92	Q7JVW5
P45962	Q7JVY0
H2KYQ5	Q7JVY2
G5EEM9	Q7JVZ8
Q23290	Q7JW00
Q93254	Q7JW01
Q26261	Q7JW03
Q23522	Q7JW07
O01902	Q7JW12
O45323	Q7JW27
Q7YZG5	Q7JW48
O17200	Q7JW60
Q9NAJ7	Q7JW61
Q10002	Q7JW66
O18023	Q7JW73
G5EC35	Q7JW78
P91573	Q7JWD3
Q20057	Q7JWD6
O02254	Q7JWE2
Q9N4V4	Q7JWG9
P08124	Q7JWH5
P54406	Q7JWH6
O17386	Q7JWI7
Q18409	Q7JWN2
Q9XVM6	Q7JWP5
Q94986	Q7JWP6
Q9N4F4	Q7JWQ7
A0A7I9BCB0	Q7JWR4
Q20829	Q7JWR9
G5ECL6	Q7JWS8
G5ECN9	Q7JWT7
Q9N4N4	Q7JWU2
O44510	Q7JWU9
Q965S3	Q7JWV5
O17346	Q7JWW5
O61741	Q7JWW6
Q95ZS0	Q7JWX3
G5EDD4	Q7JX41
Q7YWW5	Q7JX82
O61792	Q7JX87
O44501	Q7JXA8
O02268	Q7JXB9
O02482	Q7JXC4
Q19981	Q7JXE4
P34371	Q7JXF5
Q9U1Q3	Q7JXF7
H2L2J0	Q7JXG9
Q20334	Q7JXU4
Q19731	Q7JXV9
Q20974	Q7JXZ2
Q23652	Q7JY00
O62218	Q7JY26
G5EF79	Q7JY31
Q19035	Q7JY80
Q23122	Q7JY89
Q9TZ49	Q7JY99
P34308	Q7JYA0
O44650	Q7JYH3
Q7YWN4	Q7JYK5
A0A486WU00	Q7JYM7
Q9XWN3	Q7JYP8
U4PR86	Q7JYV2
Q9U1U1	Q7JYV3
Q9XVE7	Q7JYV7
A0A0K3ARX5	Q7JYW9
Q8WQD4	Q7JYX0
O02621	Q7JYX2
P90925	Q7JYX3
O45444	Q7JYX5
Q22028	Q7JYY8
Q21773	Q7JYZ0
P91522	Q7JZ25
P91564	Q7JZ37
Q18556	Q7JZ51
G5EDJ7	Q7JZ53
Q8I7I5	Q7JZ56
A0A0S4XRJ2	Q7JZ62
Q22101	Q7JZ94
Q21541	Q7JZB4
P34281	Q7JZC5
Q20168	Q7JZC9
P19826	Q7JZD5
P04630	Q7JZI2
P34447	Q7JZJ3
Q7YX17	Q7JZK6
Q19706	Q7JZM3
Q11073	Q7JZM8
Q19610	Q7JZN0
G5ED58	Q7JZR0
P34631	Q7JZR2
Q20060	Q7JZR4
Q10000	Q7JZV0
Q23622	Q7JZW0
Q23389	Q7JZW7
Q21499	Q7JZY1
P34397	Q7JZZ3
P90740	Q7K003
Q20748	Q7K012
Q9U539	Q7K025
Q9XXL8	Q7K036
A0A3P6P940	Q7K037
P27715	Q7K049
Q22977	Q7K076
Q18551	Q7K078
Q18373	Q7K084
O17754	Q7K0B6
U4PEM4	Q7K0D3
P90731	Q7K0D8
P30625	Q7K0E3
Q27420	Q7K0E6
Q11067	Q7K0F0
O16649	Q7K0F7
Q27482	Q7K0I7
G5ECQ2	Q7K0L4
Q19436	Q7K0L5
O61460	Q7K0L7
O44625	Q7K0L8
Q23381	Q7K0P0
O16254	Q7K0P4
H2KYU3	Q7K0Q0
Q17940	Q7K0S1
G5ECD1	Q7K0S5
Q22684	Q7K0S6
Q20956	Q7K0S9
Q95XJ1	Q7K0V7
P34540	Q7K0W0
Q95QH1	Q7K0W1
Q9U3M7	Q7K0W4
O02495	Q7K0X3
Q18624	Q7K0X9
W6RRQ8	Q7K0Y1
Q9N2W7	Q7K110
Q4TTC2	Q7K119
O44657	Q7K121
O17829	Q7K126
Q18809	Q7K127
A0A168H2Z9	Q7K130
O18131	Q7K137
Q9BL34	Q7K148
Q9NAP9	Q7K157
Q19541	Q7K159
Q20480	Q7K161
P34640	Q7K175
P41994	Q7K180
O76672	Q7K187
Q22058	Q7K188
Q65XX2	Q7K1C0
O44628	Q7K1C2
Q9N431	Q7K1D9
O18201	Q7K1H5
G5ED30	Q7K1H9
P91393	Q7K1R0
Q9GYR2	Q7K1R6
Q965S8	Q7K1U0
Q9TXI7	Q7K1V0
Q23368	Q7K1V5
Q10046	Q7K1W4
O01258	Q7K1W5
Q22168	Q7K1W8
Q9N3M9	Q7K1Y4
P90971	Q7K204
Q9TZE1	Q7K209
P34328	Q7K221
G5EEP3	Q7K237
A0A0K3AV08	Q7K264
G5EFR7	Q7K274
O16354	Q7K2B1
Q9N3T2	Q7K2D2
A0A8S4Q990	Q7K2E1
G5EBL9	Q7K2G1
O44168	Q7K2I4
Q9BLC4	Q7K2K2
Q9XUS7	Q7K2L1
A7LPJ5	Q7K2L7
Q86PJ5	Q7K2N1
Q20676	Q7K2P1
Q19374	Q7K2P3
O17859	Q7K2Q5
O76828	Q7K2Q8
H2KZY3	Q7K2U6
A0A486WX07	Q7K2V1
Q9GYK4	Q7K2V5
Q23663	Q7K2V7
A0A0K3AVT4	Q7K2V9
