Q09390	A0A087WUL8
U4PBU8	P11464
G5EFQ0	P11473
G5ECF6	P11474
Q7YWN4	P11487
Q9U2M1	P11498
Q18539	P11532
Q94055	P11586
G5EFQ8	P11686
Q9NA26	P11717
P52484	P11801
Q9BKS1	P11802
Q19618	P11831
Q7YZG7	P11836
Q21372	P11908
O62416	P11912
Q27487	P11940
O45815	P12004
Q11117	P12035
Q9XVS0	P12081
P91033	P12109
O02096	P12110
A0A8S4QD99	P12235
Q23670	P12236
Q9XVR7	P12268
O01530	P12270
Q20798	P12273
O44144	P12277
Q9N2W3	P12314
Q18572	P12318
A0A2I2LG32	P12532
O61235	P12644
Q22747	P12694
O44556	P12755
Q09313	P12757
P52275	P12814
Q18490	P12830
Q23294	P12882
Q17417	P12883
P41932	P12931
O45080	P12955
O17218	P12956
Q18477	P13010
Q9XTU3	P13073
Q17958	P13164
P91853	P13196
Q20063	P13224
O62264	P13284
Q9U325	P13385
Q17603	P13473
P34692	P13489
O16291	P13497
Q23537	P13498
O62040	P13501
Q9NLD3	P13533
O17670	P13569
Q10009	P13591
Q9U1P7	P13598
P91429	P13611
O62106	P13612
Q17770	P13637
Q95008	P13639
Q10039	P13645
Q21298	P13646
G5EGS5	P13647
Q965V4	P13667
Q9XXU9	P13674
G5EFF7	P13693
A2V8C3	P13747
Q9N4D6	P13796
Q09620	P13797
H2KZH7	P13798
Q9BL39	P13804
Q9TXQ9	P13805
Q95Y41	P13807
O45491	P13861
O16796	P13928
P91017	P13929
H2KZH5	P13984
Q9U2G6	P13987
G5EG11	P13994
G5EFS2	P13995
Q19341	P14136
A0A4V6M500	P14138
Q21926	P14174
Q9U1Q1	P14222
Q95XP9	P14314
Q20496	P14316
Q21322	P14317
Q18486	P14324
Q9BIF4	P14373
Q19345	P14406
Q19510	P14416
Q20183	P14550
O17528	P14598
O45283	P14616
Q94261	P14618
Q18056	P14625
Q22562	P14635
Q9U2G8	P14649
Q9XXG5	P14672
Q19724	P14678
Q7JLC8	P14735
Q8IA74	P14770
Q9U2E9	P14854
Q9N584	P14859
P48727	P14866
Q7YWY4	P14867
P41994	P14868
O45865	P14923
G5EG78	P14927
Q93315	P15056
G5EET3	P15104
Q09374	P15121
Q22036	P15144
Q9NF14	P15151
O02482	P15153
G5EF32	P15170
P91104	P15172
O01616	P15173
O17525	P15259
Q18862	P15260
Q9U267	P15289
Q95XU1	P15291
Q18268	P15309
Q965X6	P15311
Q94129	P15313
P41934	P15328
P34329	P15336
Q9TVY6	P15374
P91149	P15407
D3YT31	P15408
A0A4V0INQ1	P15498
A0A5E4LWV7	P15531
G5EBT9	P15559
Q9U2C3	P15586
P91868	P15622
G5EDS5	P15735
O18267	P15822
Q9U1X9	P15880
O45074	P15884
Q21021	P15924
C0Z1Y9	P15927
Q21219	P15941
P91223	P15954
V6CIV8	P15976
O62415	P16070
P54412	P16104
Q9XVI9	P16144
V6CLQ3	P16152
Q19328	P16220
A6ZJ46	P16234
G5EG54	P16260
Q22310	P16278
Q7Z152	P16298
Q23624	P16333
P49391	P16389
Q27464	P16401
A0A5S9MMK5	P16402
Q8MQ11	P16403
O44650	P16410
Q93235	P16435
Q9NET4	P16444
O45789	P16455
U4PFF3	P16473
G5ED89	P16615
Q2MDF2	P16870
B2D6M2	P16885
Q17561	P16949
Q9BKZ8	P16989
Q20563	P17026
G5EGB1	P17028
G4XR33	P17029
Q18530	P17040
P91216	P17050
Q19294	P17066
P91457	P17081
Q9N3S4	P17096
Q9TZK9	P17152
Q93716	P17174
Q93566	P17181
P34560	P17252
Q9XX16	P17275
Q20892	P17301
Q7K6X4	P17302
Q23571	P17480
Q7YX52	P17482
Q9BPN9	P17509
Q23485	P17535
Q21392	P17540
Q8MXI4	P17542
Q9XXH7	P17544
Q8WSZ5	P17568
G5EE37	P17612
Q21444	P17655
Q09228	P17661
Q22174	P17676
Q93906	P17693
O17403	P17706
O16360	P17707
Q18357	P17787
P32744	P17812
A0A7R9SUL6	P17813
Q21633	P17844
P90961	P17858
Q9N589	P17900
Q9GYJ9	P17931
P02566	P17980
O62216	P17987
Q9XUW5	P18031
Q93696	P18074
Q09385	P18075
Q9TYK1	P18077
Q93510	P18084
H2KYQ5	P18085
O01527	P18124
Q22717	P18206
G5EFX3	P18433
Q21732	P18583
U4PR75	P18615
O45525	P18621
Q966L5	P18669
D3YT80	P18754
Q9TZG2	P18827
G5ECW7	P18846
G5EFU3	P18847
Q19120	P18848
Q19991	P18850
Q93538	P18858
Q17514	P18859
P42168	P18887
X5LX81	P19012
Q18161	P19013
Q22508	P19021
H2L0Q6	P19022
A0A2C9C2Z6	P19075
O61801	P19086
Q21484	P19105
P53016	P19174
Q9XVA9	P19237
O02640	P19320
Q23312	P19338
Q9UB28	P19367
Q965K5	P19387
Q6BEV5	P19388
Q19124	P19397
P91988	P19404
Q9U310	P19419
Q067X2	P19438
O44956	P19447
G5EEB3	P19474
Q9BL27	P19525
Q20611	P19544
Q93254	P19623
O45493	P19634
Q09583	P19784
Q9GRV2	P19793
Q18406	P19823
P52014	P19838
Q21811	P19971
P30629	P20020
P91405	P20036
Q9XW37	P20042
H2KYW1	P20073
Q10661	P20226
Q9XW70	P20248
O18211	P20309
O17003	P20333
P90960	P20336
Q9NA40	P20337
Q95Y96	P20338
Q9N5V3	P20339
O01664	P20340
Q17659	P20585
O45731	P20591
A0A1C3NSL9	P20618
O17386	P20645
Q9XX25	P20648
Q20631	P20671
Q09560	P20674
Q23500	P20700
B3WFX6	P20718
Q17902	P20719
Q9U1Q2	P20810
Q21736	P20827
Q17670	P20839
Q95XQ1	P20848
Q17602	P20929
Q7K714	P20936
A0A1I6CMA8	P20962
Q9U354	P21127
B1Q236	P21246
Q19209	P21266
Q965S3	P21281
Q93761	P21283
Q9GYG1	P21333
Q9U2N7	P21359
Q22559	P21453
Q23092	P21462
Q5FC79	P21549
O62017	P21579
Q93561	P21580
Q93568	P21589
Q21441	P21675
O01763	P21709
G5EG39	P21730
P50437	P21731
Q9NDC9	P21796
G5EDZ9	P21802
O17761	P21860
Q9GSX9	P21912
Q9XVX4	P21926
Q9BHL9	P21953
O01811	P21964
Q95XN6	P21980
W6RRZ0	P22059
O44821	P22061
Q09545	P22087
Q93759	P22090
Q22835	P22102
Q9N358	P22234
Q23614	P22304
G5EFM0	P22314
Q9XX15	P22392
G5EFR7	P22415
Q11103	P22455
Q10002	P22459
G5EFH0	P22492
O45756	P22570
P34478	P22607
K8FDZ6	P22612
Q18066	P22626
Q9U393	P22670
Q05062	P22681
Q20121	P22694
Q9XVS2	P22695
G5EDP9	P22735
Q20002	P22736
Q20136	P22830
P30641	P23025
Q09314	P23142
Q9XU56	P23193
Q9XVZ8	P23219
Q8IG64	P23229
P34489	P23246
Q09436	P23258
O61757	P23280
P91453	P23284
Q19374	P23352
Q8MYM6	P23378
Q20308	P23381
O18240	P23396
Q2A956	P23434
O02208	P23443
O61931	P23458
Q9XUU1	P23468
U4PBZ1	P23470
Q95QI7	P23497
P90757	P23508
O16949	P23511
Q10943	P23526
Q8WQB3	P23527
Q20476	P23528
Q9XXA2	P23588
A8WI16	P23634
Q9U7D3	P23769
Q2HQL8	P23771
Q18329	P23786
Q9XWD1	P23921
P34512	P24158
Q18662	P24385
O16684	P24386
Q19076	P24390
O61847	P24468
A5A8N8	P24522
Q6EZG4	P24534
Q18090	P24539
K8ESB8	P24592
G5EBM6	P24593
Q17607	P24666
A0A5S9MNU9	P24844
A0A131MBP2	P24863
Q9N4B7	P24864
O17919	P24928
Q21215	P24941
P91277	P25054
Q9TYP8	P25067
Q9NA87	P25090
Q22058	P25098
O01959	P25101
Q19572	P25103
Q93553	P25105
O17607	P25205
O45106	P25311
Q22570	P25325
G5EDR9	P25391
Q20950	P25398
Q18192	P25440
A0A8S4SQL6	P25490
Q21735	P25685
O62271	P25686
G5ECL3	P25705
Q09357	P25774
G5ECN8	P25786
Q9XXH8	P25787
G5EFA2	P25788
P34575	P25789
Q0G819	P25791
P90745	P25800
P34707	P25815
Q93167	P25942
O61887	P25963
Q23368	P26038
Q7YWS9	P26045
P30642	P26196
O45610	P26232
H2KZN0	P26358
G5EFF2	P26367
Q9GZH5	P26368
Q1XFY9	P26373
Q19420	P26440
Q9GYK2	P26447
G5ED84	P26583
Q86S66	P26599
O18051	P26639
P49049	P26640
P34690	P26641
Q9N3Y9	P26678
G5EBV3	P26715
Q9U2D3	P26717
Q19391	P26842
O62138	P26885
O02045	P26951
Q17459	P26998
P34394	P27037
Q22847	P27105
Q9N3Q8	P27144
Q22866	P27348
P91020	P27361
P34714	P27448
Q09525	P27449
Q95XN0	P27482
G5EBL1	P27487
O45935	P27540
P91914	P27635
G5EE62	P27658
Q9BKU6	P27694
Q17993	P27695
Q95XH0	P27707
P05690	P27797
O45781	P27816
Q22387	P27824
Q20122	P27930
P34308	P27986
Q21301	P28062
O62460	P28065
P06125	P28066
Q23254	P28068
Q27274	P28070
G5EFK4	P28072
H2KYV3	P28074
Q9NAJ2	P28222
Q22135	P28288
Q19764	P28289
G5EFQ4	P28290
P30634	P28324
Q965S0	P28331
Q22639	P28335
Q09567	P28340
P43508	P28370
Q17635	P28482
G5EFD2	P28562
Q93622	P28702
O61975	P28749
P50880	P28799
O01815	P28838
Q9XVL1	P29016
Q17888	P29033
Q20498	P29034
P49622	P29074
Q19816	P29083
Q17432	P29084
Q22318	P29122
Q20775	P29144
Q20937	P29317
H2L0F9	P29320
B1V8J4	P29322
A0A5K1ICF1	P29323
Q21319	P29350
A0A2C9C2L0	P29353
Q27GV2	P29371
G5ED71	P29372
G5EDA0	P29374
O62387	P29376
Q9TXR7	P29400
Q22756	P29508
Q9XWC2	P29558
P45897	P29590
O17901	P29597
Q9N5M2	P29692
Q9N4V0	P29966
P34415	P29972
G5ED81	P29992
Q19338	P30038
Q21313	P30040
P0DM41	P30041
O45086	P30043
Q9N3F2	P30044
P55155	P30048
O45320	P30049
O01960	P30050
Q9N3Q9	P30084
O02076	P30085
Q20057	P30086
A0A3B1DQX2	P30101
P27604	P30153
G5EF96	P30154
Q19424	P30203
Q93758	P30260
G5EDB8	P30273
Q9TXY8	P30279
P46576	P30281
Q27485	P30291
O16928	P30304
Q9GYT4	P30305
G5EGH3	P30307
Q1ZXU6	P30405
Q400N3	P30414
Q20287	P30419
O02074	P30511
Q9BL60	P30518
H2L0E0	P30519
A0A2K5ATP7	P30520
Q19974	P30530
Q9NAP7	P30532
G5ECV7	P30533
H2L086	P30550
Q95QK5	P30556
Q27474	P30566
P91997	P30622
H9G2U2	P30626
O16462	P30740
O01738	P30793
A0A1X7RC60	P30825
Q22099	P30837
Q9N4T2	P30838
Q9U238	P30876
Q9GUM2	P30926
Q95XR9	P30989
G5EGK3	P31025
Q18967	P31040
Q9U2M7	P31146
Q22059	P31150
Q9GYS1	P31151
Q21401	P31152
P53014	P31153
Q23272	P31273
Q9N483	P31274
P34426	P31314
Q20678	P31321
C6KRN1	P31323
Q23194	P31327
L8E6W9	P31350
O18023	P31431
Q9XVM0	P31483
P55956	P31689
Q17389	P31749
Q10023	P31751
G5EFM8	P31930
Q18020	P31937
G5ECM8	P31939
Q9GYR5	P31942
Q22253	P31943
G5EF98	P31944
Q09490	P31946
Q23509	P31947
G5EEQ7	P31948
O62263	P31949
O45298	P31997
Q19286	P32119
P41829	P32121
Q8WQD4	P32189
Q09581	P32241
Q19360	P32242
V6CLE7	P32243
O17695	P32246
O18134	P32320
Q93791	P32322
Q20271	P32456
Q95XR3	P32780
Q19119	P32856
Q23331	P32929
P91130	P32969
O18017	P32970
Q9BIB4	P32971
P91428	P33121
Q20521	P33151
Q95XD0	P33176
O18195	P33240
O18235	P33316
A0A1D3PD01	P33527
Q9U281	P33681
Q22146	P33764
H2FLJ1	P33778
Q21512	P33897
B3WFZ4	P33908
Q09409	P33947
A0A061ADT4	P33981
P50093	P33991
Q21217	P33992
Q21831	P33993
A0A078BPI8	P34059
O01734	P34741
Q69YZ0	P34896
O17939	P34897
A8DYR7	P34925
O01501	P34931
Q9NAN2	P34932
P48996	P34947
Q7JL61	P34972
Q23170	P35030
B6GUP8	P35052
Q21229	P35080
O17643	P35221
Q93831	P35222
Q95Y04	P35226
Q965Q6	P35227
Q18885	P35232
Q22071	P35236
Q95XN2	P35240
Q21351	P35241
P91419	P35244
Q93244	P35249
Q95X32	P35250
Q9XWQ6	P35251
O45495	P35268
Q9NHC3	P35269
Q10653	P35270
G5ECA7	P35372
Q9NH52	P35414
Q86FM3	P35453
G5EE11	P35475
P91203	P35499
P91443	P35520
O16619	P35527
Q03206	P35548
O76354	P35556
Q18235	P35558
Q95XK4	P35568
B5BM33	P35573
Q19877	P35579
Q94126	P35580
O76512	P35606
Q7YWU6	P35609
Q95ZQ4	P35610
Q86NC2	P35611
A0A8S4SS69	P35612
Q93725	P35613
O44131	P35625
Q20228	P35637
Q95Y69	P35638
O16720	P35658
Q9TYX9	P35659
K7ZUN4	P35680
Q9XTB2	P35711
O01512	P35712
Q9N4F0	P35749
O44133	P35813
G5EF29	P35869
Q9XVZ1	P35900
P53588	P35908
P91057	P35914
Q95XK1	P35916
U4PRB3	P35968
G5EDF6	P35998
Q19966	P36021
Q7YX17	P36404
Q9NEU3	P36405
Q07292	P36406
Q03577	P36507
Q9XTY3	P36508
O45784	P36542
F3NWW3	P36543
Q21801	P36551
Q19162	P36578
G5EFN9	P36639
P90978	P36776
G5EGQ3	P36871
Q18239	P36873
Q21338	P36894
Q86C56	P36896
Q21463	P36897
Q9N366	P36915
A3RMT9	P36941
G5EE80	P36952
Q18167	P36954
Q8IFZ8	P36956
Q6A573	P36957
Q17416	P36969
O16408	P37088
Q21154	P37108
A5A8Q6	P37173
Q95XR0	P37198
P50305	P37231
O01658	P37235
Q9GYH7	P37268
Q18999	P37275
O17750	P37287
O45812	P37802
G5EC05	P37837
Q20435	P37840
Q9XXJ1	P38117
G5ECU7	P38159
P91001	P38398
Q11181	P38432
Q9BI39	P38435
A0A8D8EIT5	P38484
O62246	P38606
O17759	P38646
Q21929	P38919
Q9GS00	P38936
P91374	P39019
Q19869	P39023
Q21190	P39060
P41880	P39210
Q22494	P39656
Q9XXJ0	P39687
Q22459	P39748
O76665	P40121
Q9U3B6	P40123
Q8IA87	P40189
W6RXS5	P40197
O01576	P40222
P34286	P40227
P52709	P40259
O01773	P40306
P50464	P40337
Q18078	P40424
Q9U3P2	P40425
Q20437	P40426
P62784	P40429
Q20013	P40616
Q9XW79	P40692
A0A2C9C2L6	P40763
Q9XVP7	P40818
Q95XD1	P40855
I1W6S5	P40925
Q20748	P40926
Q20034	P40937
O45293	P40938
Q9XWR1	P40939
Q20741	P40967
P04630	P41002
G5EG13	P41091
E3W751	P41134
Q11193	P41146
Q9N304	P41162
Q9NAP0	P41181
P30429	P41182
G5EEE5	P41208
Q22768	P41218
P34349	P41219
O01477	P41220
G5EBK5	P41221
Q18966	P41223
Q27876	P41227
G5ED39	P41229
O45451	P41231
X5LX98	P41235
O02073	P41236
Q9BL29	P41240
Q18164	P41250
Q09477	P41252
A3QMD7	P41273
Q5WRR6	P41587
Q9U1X3	P41743
Q9N390	P42025
U4PC56	P42126
Q9N3D9	P42166
P19626	P42224
G5EFK9	P42226
Q09637	P42229
O17909	P42285
P20792	P42331
G5EBY0	P42336
O16481	P42338
Q9NEL2	P42345
Q9NAM2	P42356
G5EDH0	P42357
P12845	P42566
Q9XVE1	P42568
V6CLA2	P42574
Q17361	P42677
G5EDF0	P42684
P34650	P42694
Q93703	P42695
Q95YD5	P42696
Q21024	P42701
A0A486WXA8	P42704
Q9U285	P42765
Q17994	P42766
Q10906	P42768
Q8I111	P42772
Q17872	P42773
P90900	P42858
Q9XWF9	P42892
Q17508	P43003
P34661	P43005
Q56VX2	P43034
O44514	P43115
O62254	P43119
Q9XVS4	P43121
O17388	P43146
G5EFG0	P43220
O16368	P43243
P47208	P43246
P34561	P43250
O17526	P43304
Q86FL8	P43307
Q9GZD0	P43351
O16628	P43353
O44714	P43355
G5EDT6	P43357
P91004	P43358
A7DTF5	P43360
Q93712	P43361
Q22257	P43362
O01301	P43363
P91835	P43364
Q20365	P43378
B7WNA2	P43403
O76566	P43405
Q20733	P43487
Q10574	P43490
Q93517	P43628
Q9XUQ7	P43657
G5EDX9	P43681
Q9TXU7	P43686
Q4W525	P43694
Q18926	P43699
O16999	P43897
Q9XYB7	P45880
Q10664	P45973
Q965T2	P45974
Q19467	P45983
O17835	P45984
O45334	P45985
Q10924	P46013
O17799	P46019
Q8MXH8	P46059
O45075	P46060
Q9U213	P46063
G5EC71	P46087
A0A8S4QAX9	P46098
A9Z1L6	P46100
H2KYA1	P46108
G5EBG0	P46109
Q17473	P46199
O01900	P46379
O18054	P46459
Q21799	P46527
O01803	P46531
Q22070	P46734
O17641	P46736
O16264	P46776
P52814	P46777
Q9NAB3	P46778
O17214	P46779
Q9N5E4	P46781
G5EBL9	P46782
Q20751	P46783
Q10657	P46821
P91483	P46926
Q21502	P46934
Q9BL19	P46937
O02053	P46939
P91253	P46940
Q9U263	P46977
H2KZB2	P47224
P28548	P47755
G5EEM0	P47756
Q7YWT8	P47775
O45335	P47813
Q21621	P47871
Q9TZ23	P47895
P34554	P47902
G5EE46	P47914
Q7YTM2	P47929
Q9XTG7	P47974
P91400	P47985
O16432	P47992
Q8IAA9	P48023
O62301	P48029
A0A9J5I4G4	P48039
P47207	P48047
Q19377	P48051
Q8I7M7	P48059
Q2PJ97	P48061
Q21734	P48147
Q21312	P48163
Q8T7Y4	P48165
O17560	P48167
Q9N4X8	P48426
O17583	P48431
G5EF15	P48444
G5EBH1	P48449
Q9N3Y3	P48454
O16463	P48509
Q9XWU7	P48539
G5EFT5	P48552
O17112	P48553
Q20772	P48556
G5EGE4	P48594
Q6BER5	P48634
Q9GRZ1	P48643
O02209	P48645
P34342	P48651
Q09165	P48668
Q7YWU3	P48681
J7SEY5	P48723
Q9XVA3	P48729
Q20389	P48730
P55326	P48735
Q45EL5	P48741
O17212	P48960
Q9XVQ6	P49005
O46016	P49006
Q20924	P49023
P39745	P49116
O01836	P49137
Q86NE4	P49146
Q9XTY9	P49184
Q95Q89	P49189
O76632	P49190
Q9N360	P49207
Q9XUT6	P49247
Q17388	P49257
Q18264	P49286
Q9XWH5	P49321
Q1ZXS5	P49327
A0A2K5ATM2	P49336
Q17721	P49354
P91867	P49356
O01516	P49366
Q93576	P49368
A0A061AIT4	P49406
Q21230	P49407
Q17796	P49411
Q9XXU2	P49419
Q95R07	P49427
Q20202	P49447
Q22915	P49450
Q20981	P49454
Q18421	P49458
P91495	P49459
Q21366	P49585
P90992	P49588
Q23560	P49589
G5EC06	P49591
G5EGF5	P49638
O45603	P49639
G5ECT6	P49641
O44168	P49642
G5EGB7	P49643
P45970	P49674
Q21578	P49703
Q17880	P49711
Q22215	P49715
Q18038	P49720
Q21832	P49721
Q9N5D6	P49736
Q19153	P49746
Q8MXS1	P49748
Q95QN1	P49750
Q93646	P49755
Q9U2G0	P49756
P90897	P49757
O45923	P49759
Q17461	P49760
O16643	P49761
Q9XX47	P49768
G5ECG2	P49770
P17343	P49773
Q967F1	P49790
Q9TYN3	P49792
G5EGQ2	P49796
G5EFK8	P49810
Q17426	P49815
Q20303	P49821
V6CLF7	P49840
P34574	P49841
Q95XS1	P49848
Q9U2I4	P49862
Q9N4D0	P49901
O02058	P49902
Q9U1N6	P49903
Q21201	P49910
Q5FC36	P49915
A0A486WV52	P49916
Q19211	P49917
Q94230	P49959
Q8ITW5	P50148
Q9TYN4	P50213
Q9U2T0	P50221
G5EDD8	P50222
G5ECZ9	P50225
Q93334	P50238
G5EFR6	P50281
P91343	P50395
I2HAF5	P50402
Q9BHM0	P50406
Q22888	P50416
H2L0N3	P50452
O17167	P50453
Q93348	P50454
O02042	P50502
Q19848	P50542
Q22187	P50548
Q18616	P50552
O45430	P50570
Q9XVI2	P50579
Q19253	P50613
Q9XW26	P50748
B7WN95	P50750
A6PVA1	P50851
Q23163	P50876
O45643	P50895
Q20752	P50897
Q9BL81	P50914
Q20062	P50990
O76840	P50991
H2KZH8	P50995
Q9NAI7	P51003
Q9NEW6	P51114
A0A0K3AXF6	P51116
Q17400	P51148
P35129	P51149
Q21302	P51151
A5Z2U2	P51153
Q19014	P51159
O76384	P51178
Q18310	P51451
Q20380	P51452
Q18780	P51530
G5EF07	P51531
Q8IU06	P51553
O61881	P51570
O62504	P51571
Q19766	P51572
O01901	P51587
G5EDS1	P51608
O17982	P51610
Q18493	P51617
P34586	P51636
Q95PZ0	P51648
Q8I7I5	P51654
G5EF03	P51659
Q86NH1	P51665
H2KZG6	P51668
H2KYN1	P51671
B6VQ60	P51674
O45373	P51684
Q3V5J2	P51687
P34696	P51692
Q965K4	P51693
O44156	P51784
Q9BI75	P51790
Q9N357	P51798
Q22751	P51805
Q94251	P51809
Q20330	P51812
Q21888	P51813
P25807	P51858
Q21121	P51946
Q8I4G3	P51948
Q19694	P51955
Q09485	P51957
Q2XMY3	P51965
Q65XX4	P51970
O44985	P51991
Q20660	P52198
P34524	P52209
I2HAJ2	P52272
G5EBV4	P52292
O18000	P52294
Q8I100	P52298
Q09466	P52306
O17693	P52333
Q18508	P52434
P34324	P52435
P90989	P52564
Q09531	P52565
Q9XVQ2	P52569
O17860	P52594
Q19126	P52597
Q58AU8	P52630
Q18551	P52655
Q21774	P52701
P34545	P52732
O18687	P52735
G5EET6	P52739
G5ECC0	P52756
O76337	P52788
Q8MXT6	P52789
Q21106	P52797
Q19682	P52798
G5EGK6	P52799
P41882	P52803
Q02328	P52815
Q20402	P52888
P34430	P52895
Q17684	P52907
H2KZL1	P52926
Q9XXD0	P52948
Q19065	P52952
I7J4C6	P53004
O76406	P53007
G5EBL8	P53041
Q9XXD4	P53350
Q18316	P53355
P34673	P53365
G5EGF0	P53367
Q960A6	P53384
Q9XV46	P53396
O45420	P53567
O16502	P53597
O44901	P53602
Q8IAA5	P53611
Q19019	P53618
Q19818	P53621
G5EDW1	P53667
Q94418	P53671
Q18930	P53675
Q23672	P53680
Q21038	P53701
A0A0K3AV98	P53708
Q21853	P53778
H2L098	P53779
Q9XWC9	P53803
Q95XZ1	P53804
O01585	P53985
Q23628	P53990
Q20877	P53992
G5EDT9	P53999
O62071	P54098
Q9N5Y2	P54105
P34517	P54132
O44505	P54136
G5EDD1	P54198
Q20198	P54219
Q20010	P54252
P51875	P54253
O01854	P54259
Q23451	P54274
Q22470	P54278
O44772	P54289
Q19701	P54315
Q03571	P54577
Q9XX57	P54578
Q95YE6	P54619
G5EDR3	P54646
O01498	P54652
Q95QZ9	P54687
Q22306	P54707
P34416	P54709
Q22781	P54725
Q19130	P54727
E1B6Q7	P54760
D0Z5P0	P54764
O45944	P54802
P34600	P54819
A7DTF3	P54829
Q95QY0	P54849
G5EDX5	P54852
Q3Y407	P54886
Q18553	P55000
Q20964	P55010
A0A8S4SL88	P55011
P34447	P55036
Q9N4C2	P55040
P18831	P55055
P91205	P55058
Q23463	P55060
Q19491	P55061
P42573	P55072
G5EFY5	P55075
O62090	P55081
Q9BKR0	P55082
Q22158	P55083
P34708	P55084
Q18488	P55085
Q20448	P55196
Q9U395	P55198
Q9U2P3	P55199
Q11186	P55201
Q20780	P55209
P91393	P55210
O44509	P55265
Q95XZ5	P55268
O44656	P55273
O17184	P55316
Q9N536	P55317
Q21813	P55318
Q93535	P55327
D1MN74	P55345
G5EGG2	P55347
O16612	P55735
L8E946	P55769
O45246	P55786
Q9GRZ5	P55789
Q9N4J8	P55795
P91302	P55809
Q9XWG6	P55854
Q8T3B9	P55884
P91399	P55899
Q22853	P55957
Q18257	P56134
C9IY37	P56180
Q21921	P56181
Q20363	P56192
O18034	P56270
P46557	P56279
Q21462	P56282
Q9TXI1	P56377
Q18070	P56385
Q9U2D9	P56524
Q19655	P56537
D3YT92	P56539
O16299	P56545
Q9XUY1	P56556
Q18173	P56851
Q9N2Z7	P56945
Q9U3B4	P56962
Q9TYJ2	P57052
A0A486WVT5	P57055
Q9BKX7	P57058
A5PEX1	P57059
Q18822	P57071
D3YT51	P57075
Q95018	P57076
Q20237	P57078
Q21480	P57081
O02293	P57086
H2L056	P57088
O62519	P57105
Q9N5S5	P57678
F5GUI2	P57682
P34446	P57721
Q9TZB8	P57740
Q17987	P57775
O61743	P58012
Q20745	P58107
Q22028	P58166
Q9XUD8	P58317
G5EDC0	P58340
Q9U208	P58397
Q22752	P58546
Q22541	P58557
Q09980	P58658
P52478	P58876
Q95QF1	P59020
P34497	P59665
O61906	P59768
Q9N402	P59923
Q86DC2	P59990
Q23421	P59991
Q20310	P59998
Q9U2Q1	P60006
D7SFI3	P60033
P32085	P60174
Q18034	P60201
Q9GZH4	P60228
Q8MPP5	P60321
Q9GYS9	P60323
Q19350	P60328
B7CED8	P60329
Q09262	P60331
Q9TXV1	P60369
Q18535	P60370
Q93161	P60371
G5EEG9	P60409
Q59E83	P60410
A0A4V0IJR4	P60411
Q23296	P60412
Q9XUW9	P60468
Q10454	P60484
Q18515	P60510
Q22510	P60520
G5EF76	P60604
P04970	P60660
G5ED29	P60709
Q18938	P60842
Q9BL34	P60866
Q75MI6	P60880
P91856	P60891
Q95XL1	P60896
Q10050	P60900
Q9TXI7	P60903
A0A0K3AWU4	P60953
Q22993	P60981
Q22123	P61006
Q9BKQ7	P61009
O17200	P61011
P46549	P61019
P46548	P61020
A0A486WVA9	P61024
P34466	P61026
P42171	P61073
G5EBF5	P61077
P61866	P61081
G5ED46	P61086
Q10663	P61088
G5EEN7	P61106
Q20143	P61158
Q5H9N3	P61160
O01819	P61163
Q9N4I0	P61201
D3NQA7	P61204
Q9N4F3	P61218
Q20546	P61221
Q22615	P61224
Q95YC6	P61236
O17622	P61244
P48166	P61247
Q9BL03	P61254
Q9GRZ9	P61289
O17626	P61313
O01578	P61326
Q22206	P61328
P20154	P61353
Q95XN5	P61421
Q3Y416	P61457
Q10953	P61513
P36573	P61586
Q9NAD6	P61587
Q21216	P61601
G5EDM4	P61604
Q86MD3	P61619
H2L044	P61626
Q21427	P61758
O16487	P61764
Q21353	P61769
Q19981	P61803
Q9TYJ1	P61916
Q9N361	P61923
Q18892	P61927
Q9N5S3	P61956
Q17979	P61960
O44451	P61962
G5ECF9	P61964
Q21155	P61968
Q9XU67	P61970
O44955	P61978
Q9U1T6	P61981
Q95R01	P62068
A0A0K3ARX5	P62070
Q5FC17	P62072
Q65ZK1	P62079
Q21361	P62081
P52011	P62136
Q9XVH6	P62140
Q20051	P62166
P45971	P62191
O01542	P62195
P49180	P62241
Q19416	P62244
O01692	P62249
P90786	P62256
Q21443	P62258
O44512	P62263
Q17335	P62266
P90901	P62269
Q23419	P62273
Q9N4G9	P62277
Q20224	P62280
Q18194	P62304
P20271	P62306
C2BR91	P62308
Q09377	P62310
O61977	P62312
P30635	P62314
Q9TYS3	P62316
Q20037	P62318
O61789	P62328
Q21954	P62330
O61708	P62333
P34460	P62424
Q9TZE1	P62487
P91529	P62491
Q5WRT8	P62495
B5U8N0	P62502
P53439	P62508
Q20875	P62633
Q9XX55	P62699
Q9N599	P62701
Q22795	P62714
P34341	P62736
G5ED66	P62745
Q9N4I4	P62750
Q9U332	P62753
Q95QA6	P62805
B9WRT8	P62807
U4PR70	P62820
Q9XW16	P62826
Q20585	P62829
O45379	P62834
O76447	P62837
Q9N4L8	P62841
Q21742	P62847
P91134	P62851
P46580	P62854
Q9XUP3	P62857
Q2L6Y6	P62861
Q9TZL8	P62873
Q22968	P62875
G5EF53	P62877
O61967	P62879
Q966I8	P62888
W6SBJ9	P62891
Q93873	P62899
Q93934	P62906
O02267	P62910
Q21930	P62913
P90921	P62917
P41830	P62937
O18282	P62942
Q27365	P62979
Q9U1W1	P62987
